comparison,window,metric,mean_delta,ci95_low,ci95_high,q_value,win_fraction
sf_sink1_21_minus_sf_fifo21,full,quality_without_dynamic_degree,-0.42364637733210353,-0.7862347307219199,-0.07123905682033112,0.999998721992597,0.375
sf_sink1_21_minus_sf_fifo21,full,official_quality_score,-0.42364637733210353,-0.8002996357343158,-0.0725506400356972,,0.375
sf_sink1_21_minus_sf_fifo21,full,identity_background,-0.0020369776074533018,-0.0037863271451726863,-0.000433551251986734,0.999998721992597,0.40625
sf_sink1_21_minus_sf_fifo21,full,temporal_mechanics,-0.0033684656838503524,-0.006263095487412682,-0.0010982903103537941,0.999998721992597,0.15625
sf_sink1_21_minus_sf_fifo21,full,semantic_alignment,0.002886457989613212,-0.0031553950967888027,0.00842187101215434,0.999998721992597,0.5625
sf_sink1_21_minus_sf_fifo21,full,visual_quality,-0.0013933404069393866,-0.010674770788305124,0.008534894721380767,0.999998721992597,0.53125
sf_sink1_21_minus_sf_fifo21,full,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_13_minus_sf_sink1_21,full,quality_without_dynamic_degree,-0.25197857285771486,-0.5637677006701591,0.1263766337222268,0.999998721992597,0.25
sf_sink1_13_minus_sf_sink1_21,full,official_quality_score,-0.25197857285771486,-0.5743323879043449,0.1267033494051114,,0.25
sf_sink1_13_minus_sf_sink1_21,full,identity_background,-0.0013084748645723863,-0.003437080947284052,0.001186337173448347,0.999998721992597,0.21875
sf_sink1_13_minus_sf_sink1_21,full,temporal_mechanics,-0.002994380313663083,-0.005096677881733453,-0.00075028848453536,0.999998721992597,0.125
sf_sink1_13_minus_sf_sink1_21,full,semantic_alignment,0.0035225472102562577,6.015206143880624e-05,0.007107760971800115,0.5509208259172738,0.65625
sf_sink1_13_minus_sf_sink1_21,full,visual_quality,0.0022091505092879053,-0.0027027404633816303,0.007588220427387065,0.999998721992597,0.5
sf_sink1_13_minus_sf_sink1_21,full,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_9_minus_sf_sink1_21,full,quality_without_dynamic_degree,-0.25122077405604326,-0.5512088942362576,0.08993737931747442,0.999998721992597,0.3125
sf_sink1_9_minus_sf_sink1_21,full,official_quality_score,-0.25122077405604326,-0.5540284269331681,0.08688232100457789,,0.3125
sf_sink1_9_minus_sf_sink1_21,full,identity_background,-0.00025259728568101034,-0.002693806309602922,0.00243403561786905,0.999998721992597,0.28125
sf_sink1_9_minus_sf_sink1_21,full,temporal_mechanics,-0.002672452495143106,-0.004392910726531352,-0.0007783775423363842,0.999998721992597,0.15625
sf_sink1_9_minus_sf_sink1_21,full,semantic_alignment,0.003688984907542667,-0.0020316655126710764,0.009071272451741,0.999998721992597,0.5625
sf_sink1_9_minus_sf_sink1_21,full,visual_quality,-6.39319059749302e-05,-0.005986725397128597,0.005507280657906083,0.999998721992597,0.46875
sf_sink1_9_minus_sf_sink1_21,full,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_9_minus_sf_sink1_13,full,quality_without_dynamic_degree,0.0007577988016715942,-0.17751416764804176,0.1775563507783615,0.999998721992597,0.5625
sf_sink1_9_minus_sf_sink1_13,full,official_quality_score,0.0007577988016715942,-0.17597955987313624,0.16866627951363242,,0.5625
sf_sink1_9_minus_sf_sink1_13,full,identity_background,0.001055877578891376,-0.0007091903909101358,0.002650202082578745,0.1750091672874987,0.75
sf_sink1_9_minus_sf_sink1_13,full,temporal_mechanics,0.0003219278185199771,-0.0010436194028066131,0.001749080078734993,0.999998721992597,0.5
sf_sink1_9_minus_sf_sink1_13,full,semantic_alignment,0.00016643769728640935,-0.0046883727769212145,0.004894404723308983,0.999998721992597,0.46875
sf_sink1_9_minus_sf_sink1_13,full,visual_quality,-0.0022730824152628355,-0.007726376134684906,0.002986409104149792,0.999998721992597,0.4375
sf_sink1_9_minus_sf_sink1_13,full,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink3_9_minus_sf_sink1_9,full,quality_without_dynamic_degree,0.008501560039631872,-0.2442713360193751,0.27810552000682914,0.999998721992597,0.53125
sf_sink3_9_minus_sf_sink1_9,full,official_quality_score,0.008501560039631872,-0.24329898946696402,0.2670143025348096,,0.53125
