comparison,window,metric,mean_delta,ci95_low,ci95_high,q_value,win_fraction
sf_sink1_21_minus_sf_fifo21,full,quality_without_dynamic_degree,-0.4367449723608776,-0.8043113357247968,-0.0818693437919471,0.999998721992597,0.4375
sf_sink1_21_minus_sf_fifo21,full,official_quality_score,-0.4367449723608776,-0.8158581334723267,-0.08369740765454149,,0.4375
sf_sink1_21_minus_sf_fifo21,full,identity_background,-0.0021334344041413177,-0.003791745450026401,-0.0005906565133772274,0.999998721992597,0.3125
sf_sink1_21_minus_sf_fifo21,full,temporal_mechanics,-0.0033703424548453126,-0.006264176641855064,-0.0011019039199903105,0.999998721992597,0.15625
sf_sink1_21_minus_sf_fifo21,full,semantic_alignment,0.003109547557930148,-0.002919369463343176,0.008692189878008016,0.999998721992597,0.5625
sf_sink1_21_minus_sf_fifo21,full,visual_quality,-0.0016908407198886269,-0.011122571362073853,0.008184033663912328,0.999998721992597,0.53125
sf_sink1_21_minus_sf_fifo21,full,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_13_minus_sf_sink1_21,full,quality_without_dynamic_degree,-0.2420133671595539,-0.5518279478556258,0.1374134514792494,0.999998721992597,0.28125
sf_sink1_13_minus_sf_sink1_21,full,official_quality_score,-0.2420133671595539,-0.5580701697454841,0.1312621245221611,,0.28125
sf_sink1_13_minus_sf_sink1_21,full,identity_background,-0.0012258151649159402,-0.0033229101999234082,0.0012830712751000883,0.999998721992597,0.25
sf_sink1_13_minus_sf_sink1_21,full,temporal_mechanics,-0.002986789543027602,-0.005092625035909549,-0.000746068113965906,0.999998721992597,0.125
sf_sink1_13_minus_sf_sink1_21,full,semantic_alignment,0.0034891771928717693,9.125030483119153e-05,0.006984766363166273,0.31314037332776934,0.6875
sf_sink1_13_minus_sf_sink1_21,full,visual_quality,0.0023963488085816404,-0.0025419140662687628,0.007763345019659052,0.999998721992597,0.53125
sf_sink1_13_minus_sf_sink1_21,full,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_9_minus_sf_sink1_21,full,quality_without_dynamic_degree,-0.033047550969955264,-0.6416989151941731,0.645762618196709,0.999998721992597,0.375
sf_sink1_9_minus_sf_sink1_21,full,official_quality_score,-0.033047550969955264,-0.6309210831017285,0.6635122777368091,,0.375
sf_sink1_9_minus_sf_sink1_21,full,identity_background,0.0010006851988141954,-0.0023935969247722635,0.004820640152353347,0.999998721992597,0.3125
sf_sink1_9_minus_sf_sink1_21,full,temporal_mechanics,-0.0010226608524358076,-0.003943742302612272,0.00231022037553931,0.999998721992597,0.28125
sf_sink1_9_minus_sf_sink1_21,full,semantic_alignment,-0.05127438283864952,-0.09143090889347756,-0.015075479389233832,0.999998721992597,0.4375
sf_sink1_9_minus_sf_sink1_21,full,visual_quality,0.000463619036600001,-0.010052614132345953,0.010662804606975988,0.999998721992597,0.5
sf_sink1_9_minus_sf_sink1_21,full,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_9_minus_sf_sink1_13,full,quality_without_dynamic_degree,0.20896581618959864,-0.2600670443038065,0.7953770787004811,0.999998721992597,0.5625
sf_sink1_9_minus_sf_sink1_13,full,official_quality_score,0.20896581618959864,-0.2678064750605595,0.7924186280408776,,0.5625
sf_sink1_9_minus_sf_sink1_13,full,identity_background,0.0022265003637301356,-0.0006610596796437441,0.0052891983482616645,0.1671800583911439,0.71875
sf_sink1_9_minus_sf_sink1_13,full,temporal_mechanics,0.0019641286905917946,-0.0003523376335616065,0.004651155140527307,0.999998721992597,0.53125
sf_sink1_9_minus_sf_sink1_13,full,semantic_alignment,-0.05476356003152129,-0.09591882173027746,-0.020161356003773105,0.999998721992597,0.40625
sf_sink1_9_minus_sf_sink1_13,full,visual_quality,-0.0019327297719816394,-0.011701814131314549,0.008573434408350511,0.999998721992597,0.4375
sf_sink1_9_minus_sf_sink1_13,full,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink3_9_minus_sf_sink1_9,full,quality_without_dynamic_degree,-0.1416166808134003,-0.37802885613019294,0.09751637672488933,0.999998721992597,0.5
sf_sink3_9_minus_sf_sink1_9,full,official_quality_score,-0.1416166808134003,-0.37858491468186317,0.10659656132415103,,0.5
sf_sink3_9_minus_sf_sink1_9,full,identity_background,-0.0006793930720741005,-0.0025553531117155034,0.0011839243052633574,0.999998721992597,0.5
sf_sink3_9_minus_sf_sink1_9,full,temporal_mechanics,-0.0018482861719154378,-0.0033236566044184254,-0.0003183123001915955,0.999998721992597,0.3125
sf_sink3_9_minus_sf_sink1_9,full,semantic_alignment,-0.0010615424044469056,-0.004882695608527382,0.002658492799067363,0.999998721992597,0.46875
sf_sink3_9_minus_sf_sink1_9,full,visual_quality,0.0015682495248814567,-0.004885347769471516,0.008443220869327608,0.999998721992597,0.4375
sf_sink3_9_minus_sf_sink1_9,full,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_21_minus_sf_fifo21,early_half,quality_without_dynamic_degree,-0.2764576532935159,-0.5137113246158784,-0.07218864179850981,,0.375
sf_sink1_21_minus_sf_fifo21,early_half,official_quality_score,-0.2764576532935159,-0.5140748382574982,-0.07764796814468392,,0.375
sf_sink1_21_minus_sf_fifo21,early_half,identity_background,-0.0003815599355472578,-0.0018384066347538186,0.0010819214519892672,,0.46875
sf_sink1_21_minus_sf_fifo21,early_half,temporal_mechanics,-0.0015467020895815753,-0.0026684656234482696,-0.0004934534813996373,,0.25
sf_sink1_21_minus_sf_fifo21,early_half,semantic_alignment,-0.000662741849997216,-0.0033008350757882015,0.0015857707692443236,,0.46875
sf_sink1_21_minus_sf_fifo21,early_half,visual_quality,-0.004155535137813009,-0.00959791893997627,0.0009925713927617947,,0.5
sf_sink1_21_minus_sf_fifo21,early_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_13_minus_sf_sink1_21,early_half,quality_without_dynamic_degree,0.03002187367539877,-0.2198952631047019,0.33594058907400054,,0.375
sf_sink1_13_minus_sf_sink1_21,early_half,official_quality_score,0.03002187367539877,-0.21972166897122744,0.3263217013188503,,0.375
sf_sink1_13_minus_sf_sink1_21,early_half,identity_background,-0.0009904699188374132,-0.002669784746035884,0.0009623831323697303,,0.34375
sf_sink1_13_minus_sf_sink1_21,early_half,temporal_mechanics,-0.0004620535121371526,-0.002201853969553824,0.0015648589225220695,,0.28125
sf_sink1_13_minus_sf_sink1_21,early_half,semantic_alignment,0.0015199720926050639,-0.0006682475754392409,0.003795748169899791,,0.59375
sf_sink1_13_minus_sf_sink1_21,early_half,visual_quality,0.0035360558543886585,-6.863101089506088e-05,0.007802586904261248,,0.5
sf_sink1_13_minus_sf_sink1_21,early_half,dynamic_degree,0.0,0.0,0.0,,0.0
