candidate,control,window,prompt_count,metric,mean_delta,median_delta,win_fraction,tie_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
ours_correct,sf_fifo21,full,80,quality_without_dynamic_degree,0.07664727606163577,0.013062382497572855,0.55,0.0,-0.0260379125503712,0.18359234148983272,0.21702112767273934,,
ours_correct,sf_fifo21,full,80,official_quality_score,0.08946778888214837,0.01415937026904146,0.5375,0.0,-0.08049758966240182,0.2629950415369396,0.28821531309419657,,
ours_correct,sf_fifo21,full,80,identity_background,-1.1295381484056898e-05,0.00023482749692543825,0.5125,0.0,-0.0006635967573426862,0.0006278536066471818,0.4555360606130464,,
ours_correct,sf_fifo21,full,80,temporal_mechanics,0.00022223819466101608,-6.08850840400077e-05,0.4375,0.0,-0.0005262517431063821,0.001029492562385152,0.8907409802606482,,
ours_correct,sf_fifo21,full,80,semantic_alignment,0.0009976655027518634,0.0003741281727949741,0.575,0.0,-0.0007313829073682471,0.0026169882893251773,0.10925901973935186,,
ours_correct,sf_fifo21,full,80,visual_quality,0.001825230876356361,0.0008625321785608597,0.6,0.0,-0.0005632097997330148,0.004358212100087342,0.046455941110273104,,
ours_correct,sf_fifo21,full,80,dynamic_degree,0.001666666666666667,0.0,0.2125,0.55,-0.019187500000000003,0.023333333333333334,0.691140341485152,,
ours_correct,sf_fifo21,full,80,subject_consistency,-9.439255481596548e-05,4.056311066213958e-05,0.525,0.0,-0.0008761764866909901,0.0006768029951468698,0.3687771544921613,,
ours_correct,sf_fifo21,full,80,imaging_quality,0.0012305909340580192,0.0009499659935632287,0.55,0.0,-0.002066445837033298,0.004588990992406983,0.21702112767273934,0.21702112767273934,
ours_correct,sf_fifo21,early_half,80,quality_without_dynamic_degree,0.0411502347588403,-0.0017721528215233207,0.475,0.0,-0.011069210566882379,0.10279385175498648,0.7117846869058034,,
ours_correct,sf_fifo21,early_half,80,official_quality_score,-0.027531083922477606,-0.008740503119440746,0.4375,0.0,-0.15111961853117703,0.08656321436294814,0.8907409802606482,,
ours_correct,sf_fifo21,early_half,80,identity_background,0.00033235996449811344,-4.7395698365426675e-05,0.475,0.0,-0.00013501232068234656,0.0008715748109038125,0.7117846869058034,,
ours_correct,sf_fifo21,early_half,80,temporal_mechanics,0.00019322391926706594,1.475343366919013e-06,0.5125,0.0,-1.6891300531960972e-05,0.00044787707365128484,0.4555360606130464,,
ours_correct,sf_fifo21,early_half,80,semantic_alignment,0.00018259598208325583,6.702968052456348e-05,0.5375,0.0,-0.0005075308441051358,0.0008593798578450757,0.28821531309419657,,
ours_correct,sf_fifo21,early_half,80,visual_quality,0.000322858465569377,-9.29913776261948e-05,0.4875,0.0,-0.000636538564959259,0.0015964544361324181,0.6312228455078387,,
ours_correct,sf_fifo21,early_half,80,dynamic_degree,-0.008928571428571433,0.0,0.0625,0.8375,-0.025,0.005357142857142855,0.8665771484375,,
ours_correct,sf_fifo21,early_half,80,subject_consistency,0.00028828239046060217,2.928817444025622e-05,0.5125,0.0,-0.00037606820005758586,0.00104288379251794,0.4555360606130464,,
ours_correct,sf_fifo21,early_half,80,imaging_quality,0.00021354786625930807,-0.0001029733249119924,0.475,0.0,-0.0010881331393228974,0.0018742549769314343,0.7117846869058034,,
ours_correct,sf_fifo21,late_half,80,quality_without_dynamic_degree,0.10770718720158108,0.03754156529137731,0.55,0.0,-0.07136978957105523,0.30480192416888074,0.21702112767273934,,
ours_correct,sf_fifo21,late_half,80,official_quality_score,0.19184180258619693,0.0724941662477363,0.55,0.0,-0.12560351276573103,0.5228131302169167,0.21702112767273934,,
ours_correct,sf_fifo21,late_half,80,identity_background,-0.00031199380921847206,4.1433650402655786e-05,0.525,0.0,-0.0014970292803271207,0.0006881019352438575,0.3687771544921613,,
ours_correct,sf_fifo21,late_half,80,temporal_mechanics,0.0002476256856307299,-7.506081589853109e-05,0.4375,0.0,-0.0011559902091764875,0.0016859927187598822,0.8907409802606482,,
ours_correct,sf_fifo21,late_half,80,semantic_alignment,0.0017108513333369047,0.0006897649727761745,0.575,0.0,-0.0014187573913659434,0.004667343128094215,0.10925901973935186,,
ours_correct,sf_fifo21,late_half,80,visual_quality,0.003139806735794999,0.0013522035628557583,0.575,0.0,-0.0010829879062832063,0.007517858138593158,0.10925901973935186,,
ours_correct,sf_fifo21,late_half,80,dynamic_degree,0.0109375,0.0,0.2,0.6,-0.0296875,0.053125,0.5699749670457095,,
ours_correct,sf_fifo21,late_half,80,subject_consistency,-0.0004292331319330128,5.1200028460596236e-05,0.525,0.0,-0.0019251675715479162,0.0008859021755101222,0.3687771544921613,,
ours_correct,sf_fifo21,late_half,80,imaging_quality,0.002120503618381913,0.0025234228372573164,0.575,0.0,-0.0038414399752277027,0.007833086852356778,0.10925901973935186,,
