method,prompt_index,sample_index,video,decoded_frames,retained_frames,fps,duration_seconds,appearance_delta_mean,appearance_delta_median,appearance_delta_p95,appearance_delta_max,flow_speed_mean,flow_speed_median,flow_speed_p95,flow_speed_max,flow_accel_mean,flow_accel_median,flow_accel_p95,flow_accel_max,motion_floor,motion_coverage_fraction,low_motion_fraction,longest_low_motion_run_fraction,late_motion_median,earlier_motion_median,late_motion_ratio,luma_mean,luma_median,luma_p95,luma_max,luma_contrast_mean,luma_contrast_median,luma_contrast_p95,luma_contrast_max,edge_density_mean,edge_density_median,edge_density_p95,edge_density_max,dark_frame_fraction,bright_frame_fraction,low_contrast_frame_fraction,edge_density_outlier_fraction,appearance_jump_ratio,flow_jump_ratio,appearance_outlier_fraction,flow_accel_outlier_fraction,temporal_jump
ours_correct,0,0,/apdcephfs_gy2/share_302533218/cedricnie/v216_runs/v216_64f5c72a_eightnode_imaging80/jobs/confirm80/ours_correct/source_001/media/0-0_ema.mp4,477,60,16.0,29.8125,0.04227336643937816,0.04250794952990962,0.06335483401429418,0.08204698001637178,1.0928545988212197,0.8321171998977661,2.645011591911313,3.4368956089019775,0.35924553511471585,0.27834057807922363,0.9147920504212379,2.24064838886261,0.08321171998977661,1.0,0.0,0.0,0.5745422840118408,0.9980635643005371,0.5756570067904357,0.44411112456666224,0.44337795401099633,0.520571498658585,0.5312672852080021,0.2553442568738887,0.26622243360085235,0.30357065035224856,0.30411011638771485,0.13688107052364865,0.13814400337837837,0.1493388407939189,0.16543496621621623,0.0,0.0,0.0,0.03333333333333333,1.4904231964827235,1.099354815083295,0.01694915254237288,0.06896551724137931,1.2948890057830091
ours_correct,1,0,/apdcephfs_gy2/share_302533218/cedricnie/v216_runs/v216_64f5c72a_eightnode_imaging80/jobs/confirm80/ours_correct/source_002/media/0-0_ema.mp4,477,60,16.0,29.8125,0.030273881296098884,0.02608938217163086,0.05762364593206667,0.06630709031048942,0.6422563599327863,0.537826657295227,1.210503625869751,1.2351144552230835,0.19626561423827862,0.13955307006835938,0.5380857229232786,0.847838819026947,0.053782665729522706,1.0,0.0,0.0,0.8415948152542114,0.4078703224658966,2.063388211640674,0.3174234810407834,0.30572952893150507,0.4233022717110493,0.4291290946277159,0.20550515663372132,0.19386364776826406,0.2603926432060426,0.26362613599762386,0.07063054265202703,0.05467430320945946,0.14054845861486487,0.15347867398648649,0.0,0.0,0.0,0.26666666666666666,2.2087010552026647,1.000481689824291,0.15254237288135594,0.1206896551724138,1.604591372513478
ours_correct,2,0,/apdcephfs_gy2/share_302533218/cedricnie/v216_runs/v216_64f5c72a_eightnode_imaging80/jobs/confirm80/ours_correct/source_004/media/0-0_ema.mp4,477,60,16.0,29.8125,0.018564367880651664,0.017931384666293276,0.026281206654567343,0.036194502138624005,0.20041323705749997,0.1950874626636505,0.2973386257886886,0.4131850004196167,0.07159161953062847,0.06807365268468857,0.15921456813812251,0.19247014820575714,0.02,1.0,0.0,0.0,0.2174077033996582,0.18939580023288727,1.1479013955553745,0.2574940726572161,0.2609107959062003,0.2811977976367912,0.2820087895800212,0.18476618902865577,0.1808656472515202,0.20283819400988992,0.208252174949463,0.13144443271396397,0.14627322635135137,0.17571526604729729,0.17741765202702703,0.0,0.0,0.0,0.0,1.465654055370846,0.8161189138669751,0.03389830508474576,0.06896551724137931,1.1408864846189104
ours_correct,3,0,/apdcephfs_gy2/share_302533218/cedricnie/v216_runs/v216_64f5c72a_eightnode_imaging80/jobs/confirm80/ours_correct/source_005/media/0-0_ema.mp4,477,60,16.0,29.8125,0.06079126416983181,0.0482241761450674,0.11959058051015817,0.12284048491833256,1.0842613118179774,0.7637650966644287,2.893466997146605,6.413353443145752,0.5186027380926855,0.2415902316570282,1.761801928281784,5.349268198013306,0.07637650966644288,1.0,0.0,0.0,0.5732539296150208,1.0170048773288727,0.5636688106360432,0.4698636814663929,0.45766340214295176,0.581706997093601,0.6021264946012188,0.18424780158295886,0.17630773053827317,0.22563230897911993,0.2272787372677736,0.16037883586711713,0.14792282516891891,0.23733504011824325,0.24070945945945946,0.0,0.0,0.0,0.0,2.479888513811147,2.3067327061370775,0.15254237288135594,0.13793103448275862,2.393310609974112
ours_correct,4,0,/apdcephfs_gy2/share_302533218/cedricnie/v216_runs/v216_64f5c72a_eightnode_imaging80/jobs/confirm80/ours_correct/source_006/media/0-0_ema.mp4,477,60,16.0,29.8125,0.042055795199849665,0.03879918491139132,0.0765711346794577,0.09186912237429151,0.8300347669144809,0.6953109502792358,1.5300877094268794,1.7915911674499512,0.3097931480613248,0.24340146780014038,0.8972462087869643,1.4475551396608353,0.06953109502792358,1.0,0.0,0.0,0.5813699960708618,0.7473386228084564,0.7779204477430942,0.31390549441905136,0.30557277176073133,0.3921469315133148,0.397267177563593,0.15665471936383749,0.1508694255795476,0.20502052259617012,0.20986547940356098,0.06750202350788288,0.07251636402027027,0.08377850506756757,0.08680848817567567,0.0,0.0,0.0,0.0,1.9735243112536793,1.2904243898742447,0.11864406779661017,0.08620689655172414,1.631974350563962
ours_correct,5,0,/apdcephfs_gy2/share_302533218/cedricnie/v216_runs/v216_64f5c72a_eightnode_imaging80/jobs/confirm80/ours_correct/source_009/media/0-0_ema.mp4,477,60,16.0,29.8125,0.030016947030308,0.028097881990320542,0.04547125648049746,0.04934243594898897,0.5134448449490434,0.468767374753952,0.9000728726387023,1.2707312107086182,0.23735324267683358,0.1858820989727974,0.7305697157979011,1.1292869746685028,0.046876737475395204,1.0,0.0,0.0,0.33569735288619995,0.5689071714878082,0.5900740396860932,0.33152813141726295,0.33727601682564917,0.3812110875811473,0.38887236271197667,0.20361738742927882,0.1920424652492247,0.2483180114025156,0.2509896371024493,0.14067162865990995,0.14012352195945946,0.1577003272804054,0.16047297297297297,0.0,0.0,0.0,0.0,1.618316159778943,1.5584909597886685,0.03389830508474576,0.10344827586206896,1.5884035597838058
ours_correct,6,0,/apdcephfs_gy2/share_302533218/cedricnie/v216_runs/v216_64f5c72a_eightnode_imaging80/jobs/confirm80/ours_correct/source_010/media/0-0_ema.mp4,477,60,16.0,29.8125,0.029365294730001688,0.02832631503834444,0.04994793761010262,0.07072837679993872,0.41646790504455566,0.3971009850502014,0.7317716479301438,1.1540138721466064,0.17201322676806613,0.11187407374382019,0.5005349040031433,0.8959088623523712,0.03971009850502014,1.0,0.0,0.0,0.36050504446029663,0.4395430088043213,0.8201815004201072,0.37242588923942327,0.3758671585188129,0.3854388528004107,0.38831737297959723,0.2169624611951293,0.20980964234833405,0.25548985386812445,0.25883590707229104,0.14741518862612615,0.14904455236486486,0.1788046347128378,0.19185494087837837,0.0,0.0,0.0,0.0,1.7633051649143092,1.2604725821565659,0.06779661016949153,0.20689655172413793,1.5118888735354377
ours_correct,7,0,/apdcephfs_gy2/share_302533218/cedricnie/v216_runs/v216_64f5c72a_eightnode_imaging80/jobs/confirm80/ours_correct/source_012/media/0-0_ema.mp4,477,60,16.0,29.8125,0.04938555857239074,0.050750717462277876,0.06811485739315255,0.07793817707136566,0.2723715148739896,0.268665075302124,0.48668964207172394,0.6106295585632324,0.09683918644642008,0.07951013743877411,0.21788616925477972,0.45070260763168335,0.026866507530212403,1.0,0.0,0.0,0.2390504777431488,0.2748521715402603,0.8697420013220915,0.3394601167113805,0.34245433392951774,0.4522258069190514,0.4555232967342342,0.1946852865676461,0.19528680162163858,0.20275124912470577,0.20536943115804804,0.16650038710585588,0.16437922297297297,0.19618612753378378,0.20270270270270271,0.0,0.0,0.0,0.0,1.3421457035318,0.810995508105244,0.0,0.05172413793103448,1.076570605818522
ours_correct,8,0,/apdcephfs_gy2/share_302533218/cedricnie/v216_runs/v216_64f5c72a_eightnode_imaging80/jobs/confirm80/ours_correct/source_013/media/0-0_ema.mp4,477,60,16.0,29.8125,0.0603882065085566,0.05331275790345435,0.14297138588101255,0.15243079989564184,1.0219780949212738,0.3524174392223358,4.017368507385254,5.278746128082275,0.26439096084956465,0.12857860326766968,0.9696819007396694,2.4580068588256836,0.03524174392223358,1.0,0.0,0.0,0.3497713804244995,0.3739761412143707,0.9352772593693442,0.3515067319157393,0.34508623973237945,0.4066314648748013,0.41988740808823527,0.20295515296814753,0.1954383152232173,0.25054903178325816,0.2568653271568689,0.18148886190878377,0.17632231841216217,0.20837996199324324,0.21545080236486486,0.0,0.0,0.0,0.26666666666666666,2.681748075009056,2.751515086425417,0.0847457627118644,0.1896551724137931,2.7166315807172365
ours_correct,9,0,/apdcephfs_gy2/share_302533218/cedricnie/v216_runs/v216_64f5c72a_eightnode_imaging80/jobs/confirm80/ours_correct/source_014/media/0-0_ema.mp4,477,60,16.0,29.8125,0.03355740065113497,0.032506127450980395,0.05487699658262963,0.09272168477376302,0.28651325429900215,0.2525002360343933,0.555683547258377,1.089355230331421,0.1709613022876197,0.13463613763451576,0.42156963311135753,1.0235757380723953,0.025250023603439333,1.0,0.0,0.0,0.23809881508350372,0.26539893448352814,0.8971355350271054,0.3803195451885709,0.38975452934552196,0.4324509700417329,0.43932995495495497,0.1843872469801885,0.17346313568798546,0.2505484941628029,0.2518398634279796,0.20684649493243246,0.20948585304054054,0.2265281883445946,0.22967694256756757,0.0,0.0,0.0,0.0,1.6882046828058728,1.669581144684297,0.03389830508474576,0.08620689655172414,1.6788929137450848
ours_correct,10,0,/apdcephfs_gy2/share_302533218/cedricnie/v216_runs/v216_64f5c72a_eightnode_imaging80/jobs/confirm80/ours_correct/source_017/media/0-0_ema.mp4,477,60,16.0,29.8125,0.1145075076360883,0.10750312805175781,0.2024219303505093,0.28172188553155636,5.425717525562997,5.36396598815918,8.292304515838618,12.645482063293457,1.6872922757576252,1.3040735721588135,4.145402032136917,6.02838134765625,0.536396598815918,1.0,0.0,0.0,4.226383686065674,5.6794211864471436,0.7441574673403574,0.251611995727345,0.246382061059221,0.377197260449788,0.41235768167064124,0.20704797316519633,0.19026907635814755,0.2892502153793842,0.29592787470693854,0.09154833544481981,0.09343327702702703,0.13299989442567567,0.14495354729729729,0.0,0.0,0.0,0.03333333333333333,1.8829399108559188,0.7728240710861679,0.05084745762711865,0.06896551724137931,1.3278819909710433
