candidate,control,window,prompt_count,metric,mean_delta,median_delta,win_fraction,tie_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
ours_correct,sf_fifo21,full,64,quality_without_dynamic_degree,0.03017619945039962,0.04455078095286069,0.65625,0.0,-0.1268528377838843,0.17158474566979537,0.008429095022140565,,
ours_correct,sf_fifo21,full,64,official_quality_score,-0.06597764670344775,0.0059405451522565045,0.53125,0.0,-0.2799261726940704,0.14222420087263388,0.353990377067382,,
ours_correct,sf_fifo21,full,64,identity_background,-0.0003678884653549111,-0.00013055058474403802,0.484375,0.0,-0.0011160831396002386,0.0002489942187295339,0.646009622932618,,
ours_correct,sf_fifo21,full,64,temporal_mechanics,-0.00017621383890743803,-3.077398416428956e-06,0.5,0.0,-0.0015116532181919566,0.0008349823428360327,0.5496733768739834,,
ours_correct,sf_fifo21,full,64,semantic_alignment,0.00014726019386823242,3.211299578349813e-05,0.515625,0.0,-0.001660379312816075,0.0020559491048334176,0.45032662312601657,,
ours_correct,sf_fifo21,full,64,visual_quality,0.0019468105925867932,0.0008165049751599485,0.640625,0.0,-0.0008568754534702606,0.004864901975293953,0.0163828795494116,,
ours_correct,sf_fifo21,full,64,dynamic_degree,-0.012500000000000004,0.0,0.140625,0.609375,-0.03229166666666667,0.008333333333333328,0.9461239278316498,,
ours_correct,sf_fifo21,full,64,subject_consistency,-0.0003816294272541588,5.988027342385127e-05,0.546875,0.0,-0.0015507113652762188,0.0005038090969877662,0.26615438801392105,,
ours_correct,sf_fifo21,full,64,imaging_quality,0.003789898051569849,0.0006268894672393222,0.5625,0.0,-0.0007757851526296464,0.008777501928759729,0.19086639739666883,0.19086639739666883,
ours_correct,ours_random,full,64,quality_without_dynamic_degree,-0.056701791725588424,-0.0026391416877871166,0.484375,0.0,-0.1962084926686196,0.06152985203049053,0.646009622932618,,
ours_correct,ours_random,full,64,official_quality_score,-0.18490691993071928,-0.0026391416877729057,0.484375,0.0,-0.4164010177949191,0.03872466423786423,0.646009622932618,,
ours_correct,ours_random,full,64,identity_background,-0.0005127230813271079,-0.00013597204244786276,0.4375,0.0,-0.0013761944881460592,0.00010275229338167168,0.8697822617116733,,
ours_correct,ours_random,full,64,temporal_mechanics,-0.00045140829782582513,4.358264639459097e-06,0.515625,0.0,-0.00143442461829319,0.00029842244504382336,0.45032662312601657,,
ours_correct,ours_random,full,64,semantic_alignment,-7.360775489360146e-05,2.962201833722755e-05,0.5,0.0,-0.0017798573521819586,0.0016646664634269311,0.5496733768739834,,
ours_correct,ours_random,full,64,visual_quality,0.00016743175250789107,0.0010886746843655204,0.59375,0.0,-0.0021162771060791205,0.0023495591207911936,0.08432145571985168,,
ours_correct,ours_random,full,64,dynamic_degree,-0.016666666666666673,0.0,0.140625,0.65625,-0.04166666666666667,0.006249999999999995,0.8568606376647949,,
ours_correct,ours_random,full,64,subject_consistency,-0.0006922284479066246,-3.5789357504256714e-05,0.5,0.0,-0.002108551274564495,0.00026047453420919463,0.5496733768739834,,
ours_correct,ours_random,full,64,imaging_quality,0.00044552735115091155,0.0002546146710714625,0.515625,0.0,-0.0028699854644325894,0.0036503001039847765,0.45032662312601657,,
ours_correct,pooled_correct,full,64,quality_without_dynamic_degree,-0.0724341058159036,-0.02557367811428435,0.40625,0.0,-0.16723522786468104,0.016405601887655007,0.9482890608419595,,
ours_correct,pooled_correct,full,64,official_quality_score,-0.06442128530308466,-0.018020673198329007,0.46875,0.0,-0.26921429554131465,0.1111306610860891,0.7338456119860789,,
ours_correct,pooled_correct,full,64,identity_background,-0.00041917524651377894,-7.404715913333915e-05,0.421875,0.0,-0.0010831562685287854,0.00015609846430416578,0.9156785442801483,,
ours_correct,pooled_correct,full,64,temporal_mechanics,-0.0005017940401964936,-4.952228571564188e-05,0.390625,0.0,-0.001124745131623078,-3.5202849083637194e-05,0.9700294052165004,,
ours_correct,pooled_correct,full,64,semantic_alignment,1.3973567790042654e-05,-0.00020738591750465996,0.46875,0.0,-0.0015234183966337377,0.0016176215063508864,0.7338456119860789,,
ours_correct,pooled_correct,full,64,visual_quality,-0.0003044381377597591,-0.0003034334977466968,0.46875,0.0,-0.002174237155274015,0.0014945806959721724,0.7338456119860789,,
ours_correct,pooled_correct,full,64,dynamic_degree,0.001041666666666663,0.0,0.21875,0.671875,-0.027083333333333334,0.024999999999999998,0.09462356567382812,,
ours_correct,pooled_correct,full,64,subject_consistency,-0.00039305693733704926,4.032632528394586e-05,0.5,0.0,-0.0013634698735064054,0.0003990892909672534,0.5496733768739834,,
ours_correct,pooled_correct,full,64,imaging_quality,0.0013266934491694034,0.00020770223935440146,0.53125,0.0,-0.0012922323272097878,0.004266476791825469,0.353990377067382,,
ours_random,sf_fifo21,full,64,quality_without_dynamic_degree,0.08687799117598805,0.04315783956455732,0.5625,0.0,-0.00708008058113264,0.18542719806746505,0.19086639739666883,,
ours_random,sf_fifo21,full,64,official_quality_score,0.11892927322727154,-0.011293105449368568,0.484375,0.0,-0.0420182537064805,0.2953286402140898,0.646009622932618,,
ours_random,sf_fifo21,full,64,identity_background,0.0001448346159721968,9.163885686508388e-05,0.53125,0.0,-0.00032156283503330266,0.0006023318515888399,0.353990377067382,,
ours_random,sf_fifo21,full,64,temporal_mechanics,0.0002751944589183871,3.96178197987207e-05,0.546875,0.0,-0.0004099952385789772,0.0009957003535691652,0.26615438801392105,,
ours_random,sf_fifo21,full,64,semantic_alignment,0.00022086794876183388,0.0005177443226178635,0.59375,0.0,-0.001383548625841888,0.0017373313111602405,0.08432145571985168,,
ours_random,sf_fifo21,full,64,visual_quality,0.0017793788400789021,0.0009520773390929438,0.59375,0.0,-0.00047208924212416195,0.0039803035591690055,0.08432145571985168,,
ours_random,sf_fifo21,full,64,dynamic_degree,0.0041666666666666675,0.0,0.171875,0.65625,-0.014583333333333332,0.025000000000000005,0.5840940475463867,,
ours_random,sf_fifo21,full,64,subject_consistency,0.0003105990206524658,5.343786558120733e-05,0.53125,0.0,-0.0003426106074505404,0.0009741474844724365,0.353990377067382,,
ours_random,sf_fifo21,full,64,imaging_quality,0.0033443707004189374,4.2118867238372104e-05,0.5,0.0,-0.000206880282067397,0.00754664898798024,0.5496733768739834,,
pooled_correct,sf_fifo21,full,64,quality_without_dynamic_degree,0.10261030526630321,0.059420128729506416,0.65625,0.0,-0.0421248342850101,0.24051705156881947,0.008429095022140565,,
pooled_correct,sf_fifo21,full,64,official_quality_score,-0.0015563614003630821,0.02048626338572035,0.546875,0.0,-0.22378607214509627,0.24952026701067997,0.26615438801392105,,
pooled_correct,sf_fifo21,full,64,identity_background,5.128678115886784e-05,-0.00013173408742095383,0.46875,0.0,-0.0005257620852701411,0.0005965689261566009,0.7338456119860789,,
pooled_correct,sf_fifo21,full,64,temporal_mechanics,0.00032558020128905553,-1.0016711264271283e-05,0.46875,0.0,-0.0006821645717245538,0.001294703606499052,0.7338456119860789,,
pooled_correct,sf_fifo21,full,64,semantic_alignment,0.00013328662607818976,0.000831330815951048,0.578125,0.0,-0.0019253264697423821,0.0020353452854518176,0.13021773828832675,,
pooled_correct,sf_fifo21,full,64,visual_quality,0.0022512487303465523,0.0024215603421131604,0.671875,0.0,-0.0007940197923375944,0.004898867965439177,0.004073451114349284,,
pooled_correct,sf_fifo21,full,64,dynamic_degree,-0.013541666666666669,0.0,0.078125,0.640625,-0.04166666666666667,0.01875,0.9987002611160278,,
pooled_correct,sf_fifo21,full,64,subject_consistency,1.1427510082890474e-05,6.131012371135558e-05,0.5625,0.0,-0.000730703955453028,0.0007121754467075144,0.19086639739666883,,
pooled_correct,sf_fifo21,full,64,imaging_quality,0.0024632046024004456,0.0011831462383270486,0.609375,0.0,-0.0014516388060602777,0.006245902432322779,0.051710939158040446,,
pooled_correct,ours_random,full,64,quality_without_dynamic_degree,0.01573231409031517,0.03265738087772263,0.5625,0.0,-0.09808306137570885,0.11690322587578181,0.19086639739666883,,
pooled_correct,ours_random,full,64,official_quality_score,-0.12048563462763462,0.04117651760656571,0.578125,0.0,-0.32540709608415025,0.06738812650750428,0.13021773828832675,,
pooled_correct,ours_random,full,64,identity_background,-9.354783481332896e-05,3.7878539231428476e-05,0.53125,0.0,-0.0006322465469825686,0.00043680939367895426,0.353990377067382,,
pooled_correct,ours_random,full,64,temporal_mechanics,5.0385742370668424e-05,-1.097406635552911e-05,0.46875,0.0,-0.0005250967523976058,0.0006225675816531964,0.7338456119860789,,
pooled_correct,ours_random,full,64,semantic_alignment,-8.758132268364411e-05,0.0002779384454091455,0.53125,0.0,-0.0022025823607691587,0.0018946294022801602,0.353990377067382,,
pooled_correct,ours_random,full,64,visual_quality,0.00047186989026765016,0.0008312542835871572,0.5625,0.0,-0.0021410797099272513,0.0027395987377967636,0.19086639739666883,,
pooled_correct,ours_random,full,64,dynamic_degree,-0.017708333333333333,0.0,0.125,0.640625,-0.04273437499999999,0.007317708333332954,0.95343017578125,,
pooled_correct,ours_random,full,64,subject_consistency,-0.0002991715105695753,-6.17618278964116e-06,0.484375,0.0,-0.001091106658855693,0.00041795976097596863,0.646009622932618,,
pooled_correct,ours_random,full,64,imaging_quality,-0.0008811660980184918,0.0005710518360138028,0.578125,0.0,-0.004386243748703662,0.0022117997690957645,0.13021773828832675,,
