candidate,control,window,prompt_count,metric,mean_delta,median_delta,win_fraction,tie_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
ours_correct,sf_fifo21,full,64,quality_without_dynamic_degree,0.12445343567566147,-0.003476253571868426,0.46875,0.0,-0.3586062081222804,0.698664376756911,0.7338456119860789,,
ours_correct,sf_fifo21,full,64,official_quality_score,0.09640856388078978,-0.0011646466684567258,0.484375,0.0,-0.3934791108534193,0.6529209131301646,0.646009622932618,,
ours_correct,sf_fifo21,full,64,identity_background,0.000475473225172475,0.00017688677561278343,0.515625,0.0,-0.0009674826911988493,0.002256897029141882,0.45032662312601657,,
ours_correct,sf_fifo21,full,64,temporal_mechanics,0.0008383668313452861,-2.6889504090521488e-05,0.484375,0.0,-0.002736469294340473,0.00531911489768153,0.646009622932618,,
ours_correct,sf_fifo21,full,64,semantic_alignment,-0.001724101402214728,-0.0009395269056161198,0.4375,0.0,-0.005670767482515656,0.002145573738331825,0.8697822617116733,,
ours_correct,sf_fifo21,full,64,visual_quality,0.0008164256280288095,0.0007009567022324137,0.546875,0.0,-0.005558768521204671,0.006765700730524264,0.26615438801392105,,
ours_correct,sf_fifo21,full,64,dynamic_degree,-0.0036458333333333317,0.0,0.359375,0.421875,-0.03802083333333334,0.028124999999999994,0.09387077949941158,,
ours_correct,sf_fifo21,full,64,subject_consistency,0.000715216977711635,-0.0003449070044678204,0.453125,0.0,-0.0014599378955603719,0.0036549442709076525,0.8091336026033311,,
ours_correct,sf_fifo21,full,64,background_consistency,0.00023572947263332186,0.00023718336639660942,0.53125,0.0,-0.0006033394482910756,0.001085184033954404,0.353990377067382,,
ours_correct,sf_fifo21,full,64,temporal_flickering,0.0006171824414210117,-4.7554346471079256e-05,0.484375,0.0,-0.002998548978659617,0.005275199253793822,0.646009622932618,,
ours_correct,sf_fifo21,full,64,motion_smoothness,0.0010595512212695606,5.3567156251932424e-05,0.546875,0.0,-0.0023746630615077615,0.005547829815024717,0.26615438801392105,,
ours_correct,sf_fifo21,full,64,overall_consistency,-0.001724101402214728,-0.0009395269056161198,0.4375,0.0,-0.005731314221072051,0.002104691347218855,0.8697822617116733,,
ours_correct,sf_fifo21,full,64,aesthetic_quality,-0.0006575094380726447,0.00038724342981977244,0.5,0.0,-0.007881509115298588,0.006690531785522269,0.5496733768739834,,
ours_correct,sf_fifo21,full,64,imaging_quality,0.002290360694130255,0.0014361834228038828,0.5625,0.0,-0.004212583454391766,0.008957997553927503,0.19086639739666883,0.19086639739666883,
ours_correct,sf_fifo21,full,64,temporal_style,-0.001724101402214728,-0.0009395269056161198,0.4375,0.0,-0.0057514302371419026,0.0020571503761554174,0.8697822617116733,,
ours_correct,sf_fifo21,early_half,64,quality_without_dynamic_degree,0.005681988665980464,0.0162018644185693,0.53125,0.0,-0.21135942195604338,0.20881569892608962,0.353990377067382,,
ours_correct,sf_fifo21,early_half,64,official_quality_score,-0.002330831846839576,-0.017635561586033077,0.453125,0.0,-0.2683983366045386,0.26677970847194454,0.8091336026033311,,
ours_correct,sf_fifo21,early_half,64,identity_background,0.0003522861064124798,0.00021403727585289634,0.546875,0.0,-0.00037255286550483865,0.0010843445299056837,0.26615438801392105,,
ours_correct,sf_fifo21,early_half,64,temporal_mechanics,-0.0005151520994823768,-3.6622063272484517e-06,0.5,0.0,-0.0020622039643727608,0.0006596781911772433,0.5496733768739834,,
ours_correct,sf_fifo21,early_half,64,semantic_alignment,0.0005046999314799912,0.00013106912374495627,0.5,0.0,-0.0018892330594826431,0.002687752566222725,0.5496733768739834,,
ours_correct,sf_fifo21,early_half,64,visual_quality,0.0012423953819088616,0.0002479630112648401,0.53125,0.0,-0.0027210739665820016,0.005181533559566986,0.353990377067382,,
