method,prompt_index,sample_index,video,decoded_frames,retained_frames,fps,duration_seconds,appearance_delta_mean,appearance_delta_median,appearance_delta_p95,appearance_delta_max,flow_speed_mean,flow_speed_median,flow_speed_p95,flow_speed_max,flow_accel_mean,flow_accel_median,flow_accel_p95,flow_accel_max,motion_floor,motion_coverage_fraction,low_motion_fraction,longest_low_motion_run_fraction,late_motion_median,earlier_motion_median,late_motion_ratio,luma_mean,luma_median,luma_p95,luma_max,luma_contrast_mean,luma_contrast_median,luma_contrast_p95,luma_contrast_max,edge_density_mean,edge_density_median,edge_density_p95,edge_density_max,dark_frame_fraction,bright_frame_fraction,low_contrast_frame_fraction,edge_density_outlier_fraction,appearance_jump_ratio,flow_jump_ratio,appearance_outlier_fraction,flow_accel_outlier_fraction,temporal_jump
ours_correct,0,0,/apdcephfs_gy2/share_302533218/cedricnie/v220_runs/v220_1a1c0885_long60_64/jobs/long64/ours_correct/source_001/media/0-0_ema.mp4,957,120,16.0,59.8125,0.033776304470017636,0.02933931163713044,0.07210867189893533,0.08999787124932981,0.8890534675672275,0.4937799572944641,4.369416141510007,5.977504253387451,0.24117337710271447,0.15617617964744568,0.7342173323035233,2.8754090070724487,0.049377995729446414,1.0,0.0,0.0,0.34557512402534485,0.5564441680908203,0.6210418651902228,0.3136178216359742,0.2832529105392157,0.4542782597625199,0.4971031233439322,0.16931269975531388,0.16543867917809907,0.22090901605026375,0.23649932671983323,0.1619507935670045,0.14731577280405406,0.21161977407094595,0.21589949324324326,0.0,0.0,0.0,0.175,2.4577492747879615,1.4869322285304405,0.13445378151260504,0.11864406779661017,1.972340751659201
ours_correct,1,0,/apdcephfs_gy2/share_302533218/cedricnie/v220_runs/v220_1a1c0885_long60_64/jobs/long64/ours_correct/source_002/media/0-0_ema.mp4,957,120,16.0,59.8125,0.028471026944650587,0.025534805597043506,0.050562306198419275,0.09303291919184666,0.7949988075665065,0.521625280380249,2.3351243972778315,5.890710830688477,0.3136059151867689,0.10992848128080368,1.1938996225595464,3.472121238708496,0.0521625280380249,1.0,0.0,0.0,0.20435040444135666,0.7692718505859375,0.26564133899571063,0.27858554038873434,0.26636163967276094,0.3949363500678988,0.40484917362215156,0.20035284141984702,0.2041701678362421,0.2297913143497395,0.2379989600122189,0.11807740357545043,0.11506281672297297,0.18930004222972974,0.19391364020270271,0.0,0.0,0.0,0.0,1.9801328036847685,2.288807056454836,0.05042016806722689,0.2542372881355932,2.1344699300698022
ours_correct,2,0,/apdcephfs_gy2/share_302533218/cedricnie/v220_runs/v220_1a1c0885_long60_64/jobs/long64/ours_correct/source_004/media/0-0_ema.mp4,957,120,16.0,59.8125,0.015133741911955536,0.013716899647432215,0.02829651645585602,0.03478249568565219,0.20569098759599092,0.19282475113868713,0.36917571425437923,0.46731746196746826,0.07563852291491072,0.0658661499619484,0.17912923842668524,0.2652929648756981,0.02,1.0,0.0,0.0,0.2601395547389984,0.1738123595714569,1.4966689099692654,0.23518690450560856,0.23678602775569685,0.27947072589593264,0.28443296237413884,0.16549202238069227,0.151298445581235,0.225441493879453,0.2316994130675984,0.13528403892173424,0.14309279983108109,0.16394108952702702,0.17147909628378377,0.0,0.0,0.0,0.0,2.0628944720138045,0.9289743011147384,0.13445378151260504,0.05084745762711865,1.4959343865642714
ours_correct,3,0,/apdcephfs_gy2/share_302533218/cedricnie/v220_runs/v220_1a1c0885_long60_64/jobs/long64/ours_correct/source_005/media/0-0_ema.mp4,957,120,16.0,59.8125,0.04074517111936184,0.03784270193062576,0.06205330755196363,0.08809577343510647,1.115941112532335,0.7065930962562561,3.529383015632629,10.248970031738281,0.5312095137975984,0.2664503753185272,2.1560297250747666,6.342465877532959,0.07065930962562561,1.0,0.0,0.0,0.7203108668327332,0.6933943033218384,1.0388185529963916,0.3990193646081744,0.3619230673688394,0.5608175075351086,0.5826877773913619,0.17766918877505375,0.18778110337443255,0.19964417437976856,0.20264056874196998,0.12188907657657658,0.09906830658783783,0.23094119510135133,0.23580025337837837,0.0,0.0,0.0,0.2,1.6397694769713163,3.051303128346518,0.06722689075630252,0.1271186440677966,2.345536302658917
ours_correct,4,0,/apdcephfs_gy2/share_302533218/cedricnie/v220_runs/v220_1a1c0885_long60_64/jobs/long64/ours_correct/source_009/media/0-0_ema.mp4,957,120,16.0,59.8125,0.028602444098286068,0.02529188230925915,0.060082481608671294,0.08135381212421491,0.4684067621451466,0.32074376940727234,1.6094126582145685,3.1443862915039062,0.18203580038527312,0.08855481445789337,0.5871907442808147,1.7353748679161072,0.032074376940727234,1.0,0.0,0.0,0.14489449560642242,0.36299896240234375,0.3991595310562433,0.27768489393575563,0.3059016047297297,0.40527594747780865,0.4103087117448331,0.18284752178176547,0.17463182639655112,0.2448990365271385,0.24753143924703924,0.16035310212556306,0.16199060388513514,0.20545291385135137,0.21225717905405406,0.0,0.0,0.0,0.0,2.3755638617168318,1.8307159804411188,0.11764705882352941,0.23728813559322035,2.1031399210789754
ours_correct,5,0,/apdcephfs_gy2/share_302533218/cedricnie/v220_runs/v220_1a1c0885_long60_64/jobs/long64/ours_correct/source_010/media/0-0_ema.mp4,957,120,16.0,59.8125,0.01889732659481801,0.017250636979645375,0.03496367099238376,0.04770882924397787,0.24924758978250647,0.19955089688301086,0.5247402310371398,1.0926600694656372,0.10512198349934514,0.07984171062707901,0.305241461098194,1.043377362191677,0.02,1.0,0.0,0.0,0.22006119787693024,0.19436481595039368,1.1322069624632827,0.30677716606772215,0.31867045699191837,0.4142888016693164,0.41863728388314786,0.16069553030635894,0.1564184399983243,0.24143916183226385,0.2530205495716264,0.16404842342342343,0.17333984375,0.20856603673986487,0.21117504222972974,0.0,0.0,0.0,0.0,2.0268046353093285,1.5296421407574305,0.10084033613445378,0.1016949152542373,1.7782233880333795
ours_correct,6,0,/apdcephfs_gy2/share_302533218/cedricnie/v220_runs/v220_1a1c0885_long60_64/jobs/long64/ours_correct/source_012/media/0-0_ema.mp4,957,120,16.0,59.8125,0.05386549704038325,0.04907208610983456,0.10685482623530368,0.12658993590111825,0.6345074107917417,0.3812977075576782,2.02124328613281,4.472358703613281,0.27442206720174367,0.10232740640640259,1.2345724225044241,3.087601661682129,0.038129770755767824,1.0,0.0,0.0,0.3084241598844528,0.44890958070755005,0.6870518544031278,0.3173247017697845,0.3138208176006889,0.3906698069852941,0.41438501921038684,0.21935022391938933,0.2201809994744685,0.24045443114456636,0.2437753170293785,0.17456934473536034,0.17410525760135134,0.19298722550675676,0.19911317567567569,0.0,0.0,0.0,0.09166666666666666,2.1775073102891556,3.2378175846170607,0.07563025210084033,0.1694915254237288,2.7076624474531084
ours_correct,7,0,/apdcephfs_gy2/share_302533218/cedricnie/v220_runs/v220_1a1c0885_long60_64/jobs/long64/ours_correct/source_013/media/0-0_ema.mp4,957,120,16.0,59.8125,0.08764895937120253,0.08100945715810738,0.1522522989908854,0.17627434824027266,1.2894251662142135,0.9177173376083374,3.2057991027832013,6.710090637207031,0.48553103511616336,0.31730881333351135,1.3954359769821163,3.0442001819610596,0.09177173376083375,1.0,0.0,0.0,1.2227433919906616,0.7845273613929749,1.5585732915925434,0.32121072014109703,0.3122343046171171,0.4407914451675941,0.46608031514970855,0.1860704492640028,0.18296486483134877,0.24878010299740938,0.26240261015095484,0.15144284909909908,0.1464447846283784,0.19590635557432431,0.22260346283783783,0.0,0.0,0.0,0.125,1.8794385783098422,1.520550958118282,0.01680672268907563,0.16101694915254236,1.699994768214062
ours_correct,8,0,/apdcephfs_gy2/share_302533218/cedricnie/v220_runs/v220_1a1c0885_long60_64/jobs/long64/ours_correct/source_017/media/0-0_ema.mp4,957,120,16.0,59.8125,0.047086235639742166,0.0441404193055396,0.09714147904339959,0.12418862885119868,0.8552872832833218,0.4363529682159424,4.326923179626465,6.407818794250488,0.24208206367694726,0.12470992654561996,0.8641765177249894,2.764222502708435,0.04363529682159424,1.0,0.0,0.0,0.33691924810409546,0.48860964179039,0.6895468678627332,0.2600406728534601,0.25445171734234234,0.345259014184221,0.35862004007684156,0.2106005622287776,0.19523123310997947,0.29059946244352464,0.2960778543785044,0.18273397909628378,0.20741395692567566,0.23534892314189187,0.24464210304054054,0.0,0.0,0.0,0.0,2.2007375682362036,1.9804529375799402,0.1092436974789916,0.15254237288135594,2.090595252908072
ours_correct,9,0,/apdcephfs_gy2/share_302533218/cedricnie/v220_runs/v220_1a1c0885_long60_64/jobs/long64/ours_correct/source_018/media/0-0_ema.mp4,957,120,16.0,59.8125,0.0186296977052423,0.014290933982998718,0.05567452823414519,0.07250689338235294,0.46168117963967203,0.26705309748649597,2.309640884399414,2.8955516815185547,0.12290375894409115,0.09859763085842133,0.3377212762832638,0.7839845418930054,0.026705309748649597,1.0,0.0,0.0,0.2039317786693573,0.31919026374816895,0.6389035062493418,0.2336664677660197,0.2232250575483572,0.29843654258578434,0.3035111743177001,0.20793143179174495,0.1926782298470744,0.2673292988475969,0.2705771335875169,0.14112911739864867,0.13850031672297297,0.18416913006756758,0.19180215371621623,0.0,0.0,0.0,0.125,3.895793535984329,1.264622202333157,0.16806722689075632,0.0847457627118644,2.580207869158743
