cohort,base_seed,candidate,control,window,effective_seed,source_index,motion_group,delta_imaging_quality,delta_dynamic_degree,delta_official_quality_score,delta_subject_consistency
v219,21600,ours_correct,sf_fifo21,full,21601,1,dd_tied,-0.002625350952148442,0.0,0.10054281052897807,0.002097495690413509
v219,21600,ours_correct,sf_fifo21,full,21602,2,dd_down,0.022752815246582125,-0.06666666666666665,-0.25417385185429,0.0004942705825862204
v219,21600,ours_correct,sf_fifo21,full,21604,4,dd_tied,-0.0009832681020102152,0.0,-0.07742155161584208,0.00021099784387046405
v219,21600,ours_correct,sf_fifo21,full,21605,5,dd_tied,-0.0006134015719095887,0.0,0.05983608625126635,0.00035733339815890997
v219,21600,ours_correct,sf_fifo21,full,21609,9,dd_tied,0.008399374326070186,0.0,0.2512014584879694,0.00040080364397188095
v219,21600,ours_correct,sf_fifo21,full,21610,10,dd_tied,0.0022940680980683137,0.0,-0.07143497728476689,-5.156020095564706e-05
v219,21600,ours_correct,sf_fifo21,full,21612,12,dd_tied,-0.008551933924357158,0.0,0.13796994497427306,0.0015808013805754806
v219,21600,ours_correct,sf_fifo21,full,21613,13,dd_down,-0.015598163366317919,-0.06666666666666676,-0.4639850063614688,0.0007122695526331491
v219,21600,ours_correct,sf_fifo21,full,21617,17,dd_tied,-0.002908661206563301,0.0,0.09500451302315582,-0.0005060994864682922
v219,21600,ours_correct,sf_fifo21,full,21618,18,dd_tied,0.0008523921966552273,0.0,0.10165027634685941,0.0003845734330489847
v219,21600,ours_correct,sf_fifo21,full,21620,20,dd_up,0.002718276341756254,0.06666666666666671,0.17826931438823124,0.00035741094031471743
v219,21600,ours_correct,sf_fifo21,full,21621,21,dd_up,0.02999855772654214,0.06666666666666665,2.1192307621878115,-0.000142392572741179
v219,21600,ours_correct,sf_fifo21,full,21625,25,dd_down,0.006162482102711975,-0.06666666666666665,0.03785147415059953,0.003183992665925728
v219,21600,ours_correct,sf_fifo21,full,21626,26,dd_down,-0.001226723353068171,-0.20000000000000007,-0.6524686997273221,0.00535714884830274
v219,21600,ours_correct,sf_fifo21,full,21628,28,dd_down,0.015115968545277858,-0.06666666666666671,-0.5109744969020795,-0.00011897772898350478
v219,21600,ours_correct,sf_fifo21,full,21629,29,dd_up,0.0021661763985951765,0.06666666666666667,0.5612923365623033,-0.0004281936509448192
