candidate,control,window,prompt_count,metric,mean_delta,median_delta,win_fraction,tie_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
ours_correct,sf_fifo21,full,32,quality_without_dynamic_degree,0.024886521397222694,0.04675999955956911,0.65625,0.0,-0.07107021291145557,0.10860552737572342,0.055092082591727376,,
ours_correct,sf_fifo21,full,32,official_quality_score,-0.05524168373098304,-0.004870583519625882,0.5,0.0,-0.3166045482287282,0.22767541029218558,0.5699749670457095,,
ours_correct,sf_fifo21,full,32,identity_background,-6.443086662067873e-05,-6.62859461557086e-05,0.4375,0.0,-0.0005988956643169623,0.0005000909024025326,0.8114572062622756,,
ours_correct,sf_fifo21,full,32,temporal_mechanics,0.00013812261497265707,9.359367651112782e-05,0.5625,0.0,-0.0001620064045824072,0.0004460426256481125,0.29830744792707264,,
ours_correct,sf_fifo21,full,32,semantic_alignment,0.0005886184439684002,0.0009036739667256655,0.53125,0.0,-0.0017155002032329006,0.002941661322838633,0.4300250329542905,,
ours_correct,sf_fifo21,full,32,visual_quality,0.0004933228064328624,0.0006125499208768925,0.625,0.0,-0.0025653576840956693,0.003067775229100772,0.10766357486136258,,
ours_correct,sf_fifo21,full,32,dynamic_degree,-0.010416666666666666,0.0,0.125,0.59375,-0.04375,0.024999999999999998,0.953857421875,,
ours_correct,sf_fifo21,full,32,subject_consistency,2.362800922260308e-05,0.00010405541504199256,0.625,0.0,-0.0006521889261662352,0.0006984997379203144,0.10766357486136258,,
ours_correct,sf_fifo21,full,32,background_consistency,-0.0001524897424639987,-5.468264813546231e-05,0.46875,0.0,-0.0008027388908050201,0.00046594004090761933,0.7016925520729274,,
ours_correct,sf_fifo21,full,32,temporal_flickering,0.00018811814000012708,0.00015227855420585357,0.625,0.0,-0.00017558157262609401,0.000535431568005617,0.10766357486136258,,
ours_correct,sf_fifo21,full,32,motion_smoothness,8.812708994520094e-05,8.193958554464364e-05,0.59375,0.0,-0.00017898030456894534,0.0003778640943633088,0.18854279373772442,,
ours_correct,sf_fifo21,full,32,overall_consistency,0.0005886184439684002,0.0009036739667256655,0.53125,0.0,-0.0016745221870951338,0.0029183025004264566,0.4300250329542905,,
ours_correct,sf_fifo21,full,32,aesthetic_quality,-0.00021946864823500951,-0.00022415916124979285,0.46875,0.0,-0.0037384260088826286,0.003302974811134242,0.7016925520729274,,
ours_correct,sf_fifo21,full,32,imaging_quality,0.00120611426110071,0.00024287994702659743,0.53125,0.0,-0.002863573355848579,0.005083719505959502,0.4300250329542905,0.4300250329542905,
ours_correct,sf_fifo21,full,32,temporal_style,0.0005886184439684002,0.0009036739667256655,0.53125,0.0,-0.0016518131695920494,0.003047520158385553,0.4300250329542905,,
ours_correct,strong_e1,full,32,quality_without_dynamic_degree,-0.05098454281802223,-0.01950545441614082,0.46875,0.0,-0.16975226175733946,0.06284182746962844,0.7016925520729274,,
ours_correct,strong_e1,full,32,official_quality_score,-0.11508710692058921,-0.05975965394146954,0.375,0.0,-0.36092687522648376,0.15153925757929756,0.9449079174082726,,
ours_correct,strong_e1,full,32,identity_background,-9.08843251608421e-05,-0.00013193440811792856,0.4375,0.0,-0.0007028773429020949,0.0005318962548403536,0.8114572062622756,,
ours_correct,strong_e1,full,32,temporal_mechanics,-0.00019129199334142963,9.562912231142473e-06,0.5,0.0,-0.0006435953185259851,0.0002042679652505202,0.5699749670457095,,
ours_correct,strong_e1,full,32,semantic_alignment,0.001163924012022718,0.0009692614277203859,0.59375,0.0,-0.0009394041631215562,0.003317810840283835,0.18854279373772442,,
ours_correct,strong_e1,full,32,visual_quality,-0.0009752715186526293,0.0007242446541785852,0.53125,0.0,-0.0043892116989009055,0.0021102869377161286,0.4300250329542905,,
ours_correct,strong_e1,full,32,dynamic_degree,-0.008333333333333331,0.0,0.09375,0.75,-0.03958333333333333,0.024999999999999994,0.85546875,,
ours_correct,strong_e1,full,32,subject_consistency,-3.265594307197417e-05,-5.3047051852772586e-05,0.4375,0.0,-0.000760805489230573,0.000783882759047162,0.8114572062622756,,
ours_correct,strong_e1,full,32,background_consistency,-0.00014911270724974474,-6.65687925222036e-05,0.40625,0.0,-0.0008302259770509555,0.00048093334174502514,0.8923364251386374,,
ours_correct,strong_e1,full,32,temporal_flickering,-0.0002581069116888955,4.1731042843551336e-08,0.5,0.0,-0.0008874052733646037,0.00029210581156891404,0.5699749670457095,,
ours_correct,strong_e1,full,32,motion_smoothness,-0.00012447707499392904,3.9075541927280355e-05,0.5625,0.0,-0.000436328972420721,0.00017043808180876313,0.29830744792707264,,
ours_correct,strong_e1,full,32,overall_consistency,0.001163924012022718,0.0009692614277203859,0.59375,0.0,-0.0009435241834338086,0.0034189156318704347,0.18854279373772442,,
ours_correct,strong_e1,full,32,aesthetic_quality,-0.0008534670496980375,0.00040171146392820045,0.53125,0.0,-0.0058068816782906795,0.00383018309250475,0.4300250329542905,,
ours_correct,strong_e1,full,32,imaging_quality,-0.0010970759876072367,-0.0004764858086903634,0.46875,0.0,-0.0057390643825754335,0.0032254965785269906,0.7016925520729274,,
ours_correct,strong_e1,full,32,temporal_style,0.001163924012022718,0.0009692614277203859,0.59375,0.0,-0.0009307718166382992,0.003516000149926792,0.18854279373772442,,
ours_correct,phase_full,full,32,quality_without_dynamic_degree,-0.062130326505288824,-0.0001261102023732974,0.5,0.0,-0.18064792473753657,0.04804406766652701,0.5699749670457095,,
ours_correct,phase_full,full,32,official_quality_score,-0.14225853163349722,-0.01708390842645713,0.46875,0.0,-0.34759702896875794,0.040339498885566843,0.7016925520729274,,
ours_correct,phase_full,full,32,identity_background,-0.00021861916343881432,-0.0001091819728311072,0.375,0.0,-0.0007810818789444619,0.00037114986881730524,0.9449079174082726,,
ours_correct,phase_full,full,32,temporal_mechanics,-0.00035948864081764356,-4.928406027393528e-06,0.46875,0.0,-0.0009473981617516983,0.00015650224115370783,0.7016925520729274,,
