method,prompt_index,sample_index,video,decoded_frames,retained_frames,fps,duration_seconds,appearance_delta_mean,appearance_delta_median,appearance_delta_p95,appearance_delta_max,flow_speed_mean,flow_speed_median,flow_speed_p95,flow_speed_max,flow_accel_mean,flow_accel_median,flow_accel_p95,flow_accel_max,motion_floor,motion_coverage_fraction,low_motion_fraction,longest_low_motion_run_fraction,late_motion_median,earlier_motion_median,late_motion_ratio,luma_mean,luma_median,luma_p95,luma_max,luma_contrast_mean,luma_contrast_median,luma_contrast_p95,luma_contrast_max,edge_density_mean,edge_density_median,edge_density_p95,edge_density_max,dark_frame_fraction,bright_frame_fraction,low_contrast_frame_fraction,edge_density_outlier_fraction,appearance_jump_ratio,flow_jump_ratio,appearance_outlier_fraction,flow_accel_outlier_fraction,temporal_jump
ours_correct,0,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/ours_correct/source_001/media/0-0_ema.mp4,477,60,16.0,29.8125,0.05386412539090695,0.05093485140332989,0.08377313052906708,0.09598237579944087,2.195605288622743,1.4718468189239502,5.40645318031311,5.670947074890137,0.6169885520277352,0.4799190163612366,1.5042700171470642,1.9349327087402344,0.14718468189239503,1.0,0.0,0.0,1.4744718074798584,1.3953574895858765,1.0566982429122604,0.37138336693770974,0.3700439064984102,0.4884815048274377,0.5072103123343932,0.1880289573694301,0.17409911751380958,0.2601807925467988,0.26966654293772907,0.12213761613175676,0.12208350929054054,0.14441115920608108,0.14835831925675674,0.0,0.0,0.0,0.11666666666666667,1.6447113954589918,1.0220289216284193,0.0,0.1896551724137931,1.3333701585437057
ours_correct,1,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/ours_correct/source_002/media/0-0_ema.mp4,477,60,16.0,29.8125,0.040723176286164287,0.03998254888197955,0.0660362408207912,0.07965510499243643,1.475554813267821,1.1399585008621216,3.872317028045652,6.201598167419434,0.7139219898602058,0.5042084157466888,2.0884052038192746,4.111878991127014,0.11399585008621216,1.0,0.0,0.0,1.0633625984191895,1.3520147204399109,0.78650223429017,0.3127927703668743,0.30019945266958137,0.37885015587738474,0.383457020899576,0.22489504632951793,0.23306913904144494,0.2561983367975565,0.2608397240472466,0.06617090723536036,0.06554845861486486,0.07540646114864864,0.0806323902027027,0.0,0.0,0.0,0.016666666666666666,1.651626588782944,1.8320010791970647,0.01694915254237288,0.1206896551724138,1.7418138339900042
ours_correct,2,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/ours_correct/source_004/media/0-0_ema.mp4,477,60,16.0,29.8125,0.0198457468304772,0.017648818446140663,0.036868946225035414,0.04389759886498545,0.27929919958114624,0.23677930235862732,0.506197768449783,0.631655752658844,0.13662797777817168,0.11462859809398651,0.3282588146626949,0.47668784856796265,0.023677930235862732,1.0,0.0,0.0,0.2961384057998657,0.22857749462127686,1.2955711422532148,0.2622689216100292,0.2623227489897986,0.2752002496522257,0.27565776944223636,0.19571042357417207,0.18483149858470843,0.2344618881962456,0.23815869605707676,0.12177690385698199,0.12082981418918919,0.15702333192567566,0.16063133445945946,0.0,0.0,0.0,0.0,2.0890319846367786,1.3863492771235224,0.15254237288135594,0.06896551724137931,1.7376906308801505
ours_correct,3,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/ours_correct/source_005/media/0-0_ema.mp4,477,60,16.0,29.8125,0.043288183449985744,0.035652968462775735,0.0852083153818168,0.08726339153214997,0.693584568672261,0.5318413376808167,1.5819929838180535,1.8576111793518066,0.18927202142518143,0.1478031575679779,0.4601170301437378,1.1110609769821167,0.05318413376808167,1.0,0.0,0.0,0.3333643674850464,0.5947501063346863,0.5605116568023795,0.44763442440602375,0.4390017430113937,0.5442591114782062,0.5560338831478537,0.1809218603883979,0.1734042704449251,0.21017035941018522,0.21290466807071157,0.18450036951013513,0.17328705658783783,0.23981603673986485,0.24466849662162163,0.0,0.0,0.0,0.05,2.3899360714039957,0.8651396526455715,0.2033898305084746,0.08620689655172414,1.6275378620247836
ours_correct,4,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/ours_correct/source_009/media/0-0_ema.mp4,477,60,16.0,29.8125,0.03206907117354906,0.03134367138731713,0.05327435661764705,0.06385124804926853,0.5736062094821768,0.5095708966255188,1.1204365491867057,1.2850234508514404,0.27574159616026384,0.2213136851787567,0.6314934290945527,0.8983364105224609,0.050957089662551885,1.0,0.0,0.0,0.4040595293045044,0.5455514788627625,0.740644182922559,0.35678334182068105,0.3567749217507949,0.4015342588682433,0.40561406995230526,0.2091530704248436,0.19375263646432989,0.274528295975101,0.2762294302543502,0.14400029912725223,0.14347550675675674,0.16015361064189187,0.16242609797297297,0.0,0.0,0.0,0.03333333333333333,1.6996846336005145,1.2392651018267125,0.0847457627118644,0.05172413793103448,1.4694748677136134
ours_correct,5,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/ours_correct/source_010/media/0-0_ema.mp4,477,60,16.0,29.8125,0.02910318517257067,0.02809581195606905,0.043164063621969784,0.058969366784189264,0.3578641935551571,0.3068741261959076,0.7695533931255336,1.4621458053588867,0.1630882421701119,0.08639620244503021,0.6209713518619536,1.0774118304252625,0.03068741261959076,1.0,0.0,0.0,0.09624551981687546,0.42342573404312134,0.22730200854318858,0.4039876008821321,0.4080356033883148,0.4220754359598569,0.42690986022787497,0.23068104095739675,0.23433005710433386,0.2666561596079979,0.26866532114125086,0.18002269847972976,0.1515915329391892,0.2708337732263513,0.2719594594594595,0.0,0.0,0.0,0.0,1.5363166471024805,2.023537662036477,0.01694915254237288,0.15517241379310345,1.7799271545694788
ours_correct,6,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/ours_correct/source_012/media/0-0_ema.mp4,477,60,16.0,29.8125,0.06539894327763981,0.06344799714929918,0.09582353030934049,0.11237320993460861,1.0099643569881633,0.8888324499130249,1.9451184153556822,2.562774419784546,0.4489919584372948,0.3747347593307495,1.3099721342325208,2.0170406699180603,0.0888832449913025,1.0,0.0,0.0,0.8519011735916138,0.9163180589675903,0.9297002992077286,0.3450603671226374,0.33648420939321677,0.44969801085552463,0.4565860782657658,0.19706296665511988,0.19928922656737377,0.21706960507362202,0.21894334187451472,0.16433655335022523,0.16445840371621623,0.17659813133445945,0.17918602195945946,0.0,0.0,0.0,0.03333333333333333,1.5102687967259014,1.4738122290210103,0.06779661016949153,0.06896551724137931,1.492040512873456
ours_correct,7,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/ours_correct/source_013/media/0-0_ema.mp4,477,60,16.0,29.8125,0.06594965070456354,0.04413658964867685,0.1521605323342716,0.18525188670438877,1.234885307186741,0.3486492931842804,4.39414472579956,5.310401916503906,0.4595354261069462,0.1689775362610817,2.097007942199707,3.8984533548355103,0.034864929318428044,1.0,0.0,0.0,0.2613644003868103,0.5163279175758362,0.5061984670786703,0.3487492840956765,0.3425854738010069,0.46757491636857446,0.4976274758214096,0.2068015758521655,0.20271057383220856,0.2621654625519398,0.2632397819074723,0.1741391293637387,0.1725876266891892,0.19328547297297297,0.19607791385135134,0.0,0.0,0.0,0.06666666666666667,3.4474918326371675,6.014662823628106,0.2711864406779661,0.27586206896551724,4.731077328132637
ours_correct,8,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/ours_correct/source_033/media/0-0_ema.mp4,477,60,16.0,29.8125,0.09636855050946203,0.09307339238185508,0.16770610734528182,0.1769147237141927,4.109593119661687,3.3016433715820312,11.30729598999023,13.07929801940918,1.7064076333210385,0.9672691822052002,6.8254852294921875,8.32579517364502,0.33016433715820315,1.0,0.0,0.0,1.7691912651062012,4.287946462631226,0.41259639795515707,0.35489046663851354,0.36862470811804454,0.4540776116189719,0.4658808624801272,0.21884501310747492,0.23266975829861317,0.2792836225324711,0.2937100918901598,0.0573145411036036,0.05352618243243243,0.09533097550675672,0.1328125,0.0,0.0,0.0,0.06666666666666667,1.8018695037699797,2.067299360143084,0.03389830508474576,0.20689655172413793,1.934584431956532
ours_correct,9,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/ours_correct/source_034/media/0-0_ema.mp4,477,60,16.0,29.8125,0.06631692567510278,0.0667571273504519,0.08993425257065714,0.10401389178107767,0.6274617440619711,0.49553820490837097,1.3253648281097405,2.6450915336608887,0.2624409435124233,0.18740369379520416,0.7684804916381834,1.5135730504989624,0.0495538204908371,1.0,0.0,0.0,0.3030760586261749,0.6827304065227509,0.44391762213988256,0.5120138561125464,0.5277008913785108,0.5408400248824192,0.5437530016229465,0.1919733408426651,0.1913340645955609,0.20621530625391615,0.21367341179731733,0.22893968186936936,0.23820206925675674,0.28803183065878374,0.2956345016891892,0.0,0.0,0.0,0.0,1.347185778359415,1.5507996841137237,0.0,0.10344827586206896,1.4489927312365694
