cohort,candidate,control,window,metric,mean_delta,ci_low,ci_high,win_fraction
v219,ours_correct,sf_fifo21,full,quality_without_dynamic_degree,0.03017619945039962,-0.1268528377838843,0.17158474566979537,0.65625
v219,ours_correct,sf_fifo21,full,official_quality_score,-0.06597764670344775,-0.2799261726940704,0.14222420087263388,0.53125
v219,ours_correct,sf_fifo21,full,identity_background,-0.0003678884653549111,-0.0011160831396002386,0.0002489942187295339,0.484375
v219,ours_correct,sf_fifo21,full,temporal_mechanics,-0.00017621383890743803,-0.0015116532181919566,0.0008349823428360327,0.5
v219,ours_correct,sf_fifo21,full,semantic_alignment,0.00014726019386823242,-0.001660379312816075,0.0020559491048334176,0.515625
v219,ours_correct,sf_fifo21,full,visual_quality,0.0019468105925867932,-0.0008568754534702606,0.004864901975293953,0.640625
v219,ours_correct,sf_fifo21,full,dynamic_degree,-0.012500000000000004,-0.03229166666666667,0.008333333333333328,0.140625
v219,ours_correct,sf_fifo21,full,subject_consistency,-0.0003816294272541588,-0.0015507113652762188,0.0005038090969877662,0.546875
v219,ours_correct,sf_fifo21,full,imaging_quality,0.003789898051569849,-0.0007757851526296464,0.008777501928759729,0.5625
v219,ours_correct,ours_random,full,quality_without_dynamic_degree,-0.056701791725588424,-0.1962084926686196,0.06152985203049053,0.484375
v219,ours_correct,ours_random,full,official_quality_score,-0.18490691993071928,-0.4164010177949191,0.03872466423786423,0.484375
v219,ours_correct,ours_random,full,identity_background,-0.0005127230813271079,-0.0013761944881460592,0.00010275229338167168,0.4375
v219,ours_correct,ours_random,full,temporal_mechanics,-0.00045140829782582513,-0.00143442461829319,0.00029842244504382336,0.515625
v219,ours_correct,ours_random,full,semantic_alignment,-7.360775489360146e-05,-0.0017798573521819586,0.0016646664634269311,0.5
v219,ours_correct,ours_random,full,visual_quality,0.00016743175250789107,-0.0021162771060791205,0.0023495591207911936,0.59375
v219,ours_correct,ours_random,full,dynamic_degree,-0.016666666666666673,-0.04166666666666667,0.006249999999999995,0.140625
v219,ours_correct,ours_random,full,subject_consistency,-0.0006922284479066246,-0.002108551274564495,0.00026047453420919463,0.5
v219,ours_correct,ours_random,full,imaging_quality,0.00044552735115091155,-0.0028699854644325894,0.0036503001039847765,0.515625
v219,ours_correct,pooled_correct,full,quality_without_dynamic_degree,-0.0724341058159036,-0.16723522786468104,0.016405601887655007,0.40625
v219,ours_correct,pooled_correct,full,official_quality_score,-0.06442128530308466,-0.26921429554131465,0.1111306610860891,0.46875
v219,ours_correct,pooled_correct,full,identity_background,-0.00041917524651377894,-0.0010831562685287854,0.00015609846430416578,0.421875
v219,ours_correct,pooled_correct,full,temporal_mechanics,-0.0005017940401964936,-0.001124745131623078,-3.5202849083637194e-05,0.390625
v219,ours_correct,pooled_correct,full,semantic_alignment,1.3973567790042654e-05,-0.0015234183966337377,0.0016176215063508864,0.46875
v219,ours_correct,pooled_correct,full,visual_quality,-0.0003044381377597591,-0.002174237155274015,0.0014945806959721724,0.46875
v219,ours_correct,pooled_correct,full,dynamic_degree,0.001041666666666663,-0.027083333333333334,0.024999999999999998,0.21875
v219,ours_correct,pooled_correct,full,subject_consistency,-0.00039305693733704926,-0.0013634698735064054,0.0003990892909672534,0.5
v219,ours_correct,pooled_correct,full,imaging_quality,0.0013266934491694034,-0.0012922323272097878,0.004266476791825469,0.53125
v219,ours_correct,sf_fifo21,early_half,quality_without_dynamic_degree,-0.0012324406606434302,-0.055310219088148614,0.05121825197250186,0.515625
v219,ours_correct,sf_fifo21,early_half,official_quality_score,-0.052743429671632924,-0.1852958027833878,0.07922945486878737,0.484375
v219,ours_correct,sf_fifo21,early_half,identity_background,2.0292636620100266e-05,-0.000312854603808798,0.00038062246488950726,0.421875
v219,ours_correct,sf_fifo21,early_half,temporal_mechanics,5.474583617635573e-05,-0.00017209592622389338,0.000292089741249025,0.53125
v219,ours_correct,sf_fifo21,early_half,semantic_alignment,-0.00039667303540877417,-0.0010646433544544854,0.00024028762958810127,0.4375
v219,ours_correct,sf_fifo21,early_half,visual_quality,-0.0002129738651482022,-0.0014082093738252298,0.0009571230092385307,0.46875
v219,ours_correct,sf_fifo21,early_half,dynamic_degree,-0.00669642857142857,-0.022321428571428575,0.008928571428571437,0.09375
v219,ours_correct,sf_fifo21,early_half,subject_consistency,0.00017273731898657246,-0.0003287633059858091,0.0006816417661800357,0.515625
v219,ours_correct,sf_fifo21,early_half,imaging_quality,3.087776713074034e-05,-0.0015941445989135121,0.0017992172653321108,0.546875
v219,ours_correct,ours_random,early_half,quality_without_dynamic_degree,-0.014692866177274055,-0.043101946580918656,0.01140295040140292,0.46875
v219,ours_correct,ours_random,early_half,official_quality_score,-0.10054451452892121,-0.24317649213076994,0.033850145044896356,0.46875
v219,ours_correct,ours_random,early_half,identity_background,-0.0002768288854831484,-0.0005820925785219563,8.499555705294671e-06,0.421875
v219,ours_correct,ours_random,early_half,temporal_mechanics,0.00014315999896378356,2.615554040950028e-05,0.0002779702031851,0.5
v219,ours_correct,ours_random,early_half,semantic_alignment,-0.00027197654292519867,-0.0007359833539729696,0.00015632412853717125,0.484375
v219,ours_correct,ours_random,early_half,visual_quality,-0.0005494708132131685,-0.0013303391588768572,0.00011789140298165693,0.421875
