cohort,base_seed,candidate,control,window,motion_group,prompt_count,imaging_mean,contribution_to_full_imaging_mean,dynamic_mean,quality_mean,subject_mean,imaging_ci_low,imaging_ci_high
v219,21600,ours_correct,sf_fifo21,full,dd_down,16,9.679020692901497e-05,2.419755173225374e-05,-0.11250000000000002,-0.7950655796343327,0.0009753441400147181,-0.00970600882253301,0.009287203307573952
v219,21600,ours_correct,sf_fifo21,full,dd_tied,39,0.0037115590602923645,0.0022617313023656598,0.0,-0.025678735183083345,-0.0010424343467052566,-0.001439308511879721,0.010315875632334976
v219,21600,ours_correct,sf_fifo21,full,dd_up,9,0.010694892070911542,0.0015039691974719355,0.11111111111111109,1.0555500619187685,6.946110411148392e-05,-0.0007559632219649976,0.024551445413518835
v219,21600,ours_correct,sf_fifo21,early_half,dd_down,9,0.005875787668757971,0.0008262826409190897,-0.14285714285714285,-0.9543671764676908,0.001978071558696251,-0.0006984978358423925,0.01413193777440088
v219,21600,ours_correct,sf_fifo21,early_half,dd_tied,49,-0.0010726870826659927,-0.0008212760476661507,0.0,-0.029047144754610704,-0.00026151438146251817,-0.0026405990287096657,0.00037401453485990413
v219,21600,ours_correct,sf_fifo21,early_half,dd_up,6,0.00027595918802988023,2.5871173877801273e-05,0.14285714285714288,1.1061725303667724,0.0010111248464229616,-0.002322201005050132,0.002778795477889805
v219,21600,ours_correct,sf_fifo21,late_half,dd_down,11,-0.005455208149823295,-0.0009376139007508787,-0.23863636363636365,-1.8905845728227784,0.0011242004018902176,-0.03171199855750257,0.01725483395768835
v219,21600,ours_correct,sf_fifo21,late_half,dd_tied,46,0.006493237031542744,0.004667014116421347,0.0,-0.010954745887441768,-0.0011018540437844554,-0.0006550967802252999,0.014074886020961344
v219,21600,ours_correct,sf_fifo21,late_half,dd_up,7,0.030625285346593173,0.0033496405847836283,0.21428571428571427,2.33380900986722,-0.0024499627914941202,-0.0034641600581152283,0.07560610042086671
v219,21600,ours_correct,ours_random,full,dd_down,13,0.001591709124736282,0.0003233159159620573,-0.15897435897435896,-1.1377303955623694,0.0006502008170928403,-0.008603860038977406,0.011012696473109358
v219,21600,ours_correct,ours_random,full,dd_tied,42,-0.0009590801502030984,-0.0006293963485707833,0.0,-0.08488728721580363,-0.0011652431616852323,-0.004524459151521574,0.002028498302636637
v219,21600,ours_correct,ours_random,full,dd_up,9,0.005344766462290756,0.0007516077837596375,0.1111111111111111,0.7246353699787247,-0.0004238909441612377,-0.0018553360664181745,0.014659464704107356
v219,21600,ours_correct,ours_random,early_half,dd_down,7,-0.0013216504515433738,-0.0001445555181375565,-0.18367346938775508,-1.444706401768666,0.0013112031621037895,-0.003425816759771256,0.0004662431016260658
v219,21600,ours_correct,ours_random,early_half,dd_tied,53,0.00026422503421891545,0.00021881135646253935,0.0,-0.011513046133801384,-0.00033168104586757266,-0.0004278820877006113,0.0010208548516075285
v219,21600,ours_correct,ours_random,early_half,dd_up,4,-0.00014436521700453286,-9.022826062783304e-06,0.14285714285714285,1.0720718319052942,0.00026791714110610543,-0.0030597592251641603,0.002149662077426867
v219,21600,ours_correct,ours_random,late_half,dd_down,10,0.007997479826211929,0.0012496062228456138,-0.3,-1.9147459554609285,0.0021365001581425624,-0.01698389500267803,0.02901809928119181
v219,21600,ours_correct,ours_random,late_half,dd_tied,45,-0.0022249053890506403,-0.0015643866016762315,0.0,-0.15721606668609153,-0.0016976531136835603,-0.008547671031662148,0.002881413424077134
v219,21600,ours_correct,ours_random,late_half,dd_up,9,0.007772908632953972,0.0010930652765091522,0.18055555555555555,1.0737605530463128,-0.0024027940082343496,-0.005753175333556217,0.025051072737822887
v219,21600,ours_correct,pooled_correct,full,dd_down,7,0.005419768668356377,0.0005927871981014788,-0.2095238095238095,-1.3894145243658187,0.0019460934473595362,-0.0025055327415466505,0.014030186034384233
v219,21600,ours_correct,pooled_correct,full,dd_tied,43,-0.00010099591996318352,-6.785663372526392e-05,0.0,-0.036120459009320684,4.287688548640819e-05,-0.0029861122814259784,0.0026267433274046507
v219,21600,ours_correct,pooled_correct,full,dd_up,14,0.003665201759054576,0.0008017628847931885,0.10952380952380951,0.5111513677545787,-0.00290157172835739,-0.003505332478738945,0.012597546078158307
v219,21600,ours_correct,pooled_correct,early_half,dd_down,6,0.0019395092413538872,0.00018182899137692693,-0.14285714285714285,-0.9475318427076024,0.0017958878749755696,-0.0007752430864743273,0.0044427914704595435
v219,21600,ours_correct,pooled_correct,early_half,dd_tied,55,-0.00042394430296761697,-0.00036432713536279585,0.0,-0.029761870569370526,-0.00010267711190206085,-0.0014373635128721017,0.00036138617067369013
v219,21600,ours_correct,pooled_correct,early_half,dd_up,3,0.004550571839014676,0.00021330805495381293,0.14285714285714288,1.1266626929068622,-0.0003089107619255553,-0.0014743382590156617,0.013179375955036599
v219,21600,ours_correct,pooled_correct,late_half,dd_down,7,0.0145536125770637,0.0015918013756163422,-0.3392857142857143,-2.1269471153457857,0.003252361272413938,0.0015696377839361033,0.028245103742395115
v219,21600,ours_correct,pooled_correct,late_half,dd_tied,44,-0.0012184218418869123,-0.0008376650162972522,0.0,-0.08450775592317529,0.0002155491283723095,-0.006108513498001484,0.003738702309825878
v219,21600,ours_correct,pooled_correct,late_half,dd_up,13,0.008401010145361619,0.001706455185776579,0.22115384615384615,1.1019814967811838,-0.00639182366300072,-0.006501624338472126,0.02576707311418769
v219,21600,ours_random,sf_fifo21,full,dd_down,11,0.006565658497087865,0.0011284725541869768,-0.10303030303030303,-0.5259583440850729,0.001365640876384123,-0.0045750924271164735,0.020640378688682147
v219,21600,ours_random,sf_fifo21,full,dd_tied,42,0.0029758023099293635,0.0019528702658911448,0.0,0.014919867903877898,0.00018548952054732118,-0.0010604508312803402,0.007651327798409094
v219,21600,ours_random,sf_fifo21,full,dd_up,11,0.0015303440310738372,0.00026302788034081575,0.1272727272727273,1.1609437108653007,-0.0002667520164959121,-0.005811442737778053,0.008149043043635127
v219,21600,ours_random,sf_fifo21,early_half,dd_down,6,0.0067249793381918095,0.0006304668129554821,-0.19047619047619047,-1.2146838024205262,0.0013518159622563086,-0.0020412136543365156,0.018082723135039964
v219,21600,ours_random,sf_fifo21,early_half,dd_tied,50,-0.0016476995595863808,-0.00128726528092686,0.0,-0.020514816230507903,0.0001570294334881095,-0.0035665639924364312,-0.00023149175786544587
v219,21600,ours_random,sf_fifo21,early_half,dd_up,8,0.0049795457827193496,0.0006224432228399187,0.1785714285714286,1.4216391321143753,0.00030272821237846415,-0.0001655908141817287,0.01086374731840833
v219,21600,ours_random,sf_fifo21,late_half,dd_down,11,0.017991436178034,0.0030922780930995935,-0.17045454545454544,-1.0178085045012362,0.0009112534483785219,-0.01049617237563836,0.048605833199891126
v219,21600,ours_random,sf_fifo21,late_half,dd_tied,42,0.005385630319693261,0.0035343198972987025,0.0,0.12790402773100484,0.0007788114788012589,-0.0006211999924409888,0.012333793595588453
v219,21600,ours_random,sf_fifo21,late_half,dd_up,11,-0.0018958085098049976,-0.00032584208762273395,0.19318181818181818,1.5835069472796035,-0.001958923324284025,-0.014943903745914061,0.010520463675260487
v219,21600,pooled_correct,sf_fifo21,full,dd_down,18,0.002184746958591308,0.0006144600821038054,-0.12222222222222223,-0.7902147975860577,0.0009438711347953019,-0.007153517427819748,0.011428367466286357
