metric,window,prompt_count,mean_reassessment_difference,max_abs_prompt_difference,largest_difference_source,boundary
quality_without_dynamic_degree,full,32,0.0042711875362400065,0.05245361161334472,105,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
quality_without_dynamic_degree,early_half,32,-0.00027356780768394984,0.08819510381862017,105,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
quality_without_dynamic_degree,late_half,32,0.00824784846216664,0.053285693382193244,10,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
official_quality_score,full,32,0.03632246958752239,1.078094637254381,105,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
official_quality_score,early_half,32,0.034067091532977045,1.1870962027197294,105,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
official_quality_score,late_half,32,0.03829592538524551,0.9827182674723076,105,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
identity_background,full,32,4.913785277341903e-05,0.0007270182303612538,105,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
identity_background,early_half,32,5.757109906533858e-06,0.0006442813159360794,105,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
identity_background,late_half,32,8.709600278193619e-05,0.0008061775193536347,100,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
temporal_mechanics,full,32,5.924900209931805e-07,5.7028627765909334e-05,74,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
temporal_mechanics,early_half,32,1.5048764137257087e-07,4.3847043914246875e-05,74,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
temporal_mechanics,late_half,32,9.792421031794285e-07,6.856251363618338e-05,74,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
semantic_alignment,full,32,-5.563035762558288e-05,0.0012992722292741177,101,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
semantic_alignment,early_half,32,-1.183218721831792e-05,0.0017305953162057297,106,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
semantic_alignment,late_half,32,-9.395375673193485e-05,0.002319874707609415,101,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
visual_quality,full,32,7.160409850379655e-05,0.001342992385228614,13,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
visual_quality,early_half,32,-1.6195843262329854e-05,0.0024567608322414447,9,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
visual_quality,late_half,32,0.00014842904754914718,0.002043606042861912,10,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
dynamic_degree,full,32,0.004166666666666669,0.13333333333333341,105,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
dynamic_degree,early_half,32,0.004464285714285712,0.1428571428571428,105,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
dynamic_degree,late_half,32,0.00390625,0.125,44,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
subject_consistency,full,32,1.4375017658531386e-05,0.0007038426292116373,98,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
subject_consistency,early_half,32,1.0378985163816967e-05,0.0007417942020943036,98,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
subject_consistency,late_half,32,1.787154609141431e-05,0.0008419607890011171,105,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
imaging_quality,full,32,-1.712121938662707e-05,0.0013717752297718322,106,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
imaging_quality,early_half,32,4.089150045587589e-06,0.0013442933559417725,9,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
imaging_quality,late_half,32,-3.568029263988689e-05,0.0016557680070400371,106,"Same claimed reference videos, repeated evaluation; not new method/seed evidence."
