feature,variant,axis,family_split_spearman,seed_replicate_spearman,within_layer_permutation_p,bh_fdr_q,threshold_free_screen_pass
full_semantic.q_shift,full_semantic,q_shift,0.9884151051811979,0.9911335093210766,0.000999000999000999,0.000999000999000999,1
full_semantic.k_shift,full_semantic,k_shift,0.9931804986749665,0.9959510100692285,0.000999000999000999,0.000999000999000999,1
full_semantic.v_shift,full_semantic,v_shift,0.9544596833644315,0.9631089181138768,0.000999000999000999,0.000999000999000999,1
full_semantic.value_scale_shift,full_semantic,value_scale_shift,0.9381227777893253,0.9481407533683922,0.000999000999000999,0.000999000999000999,1
full_semantic.policy_shift,full_semantic,policy_shift,0.8901169053302302,0.9062832521874369,0.000999000999000999,0.000999000999000999,1
identity.q_shift,identity,q_shift,0.9816793171500918,0.988284125197502,0.000999000999000999,0.000999000999000999,1
identity.k_shift,identity,k_shift,0.9902508181266045,0.9942995233182809,0.000999000999000999,0.000999000999000999,1
identity.v_shift,identity,v_shift,0.9273693211278969,0.9635072681077691,0.000999000999000999,0.000999000999000999,1
identity.value_scale_shift,identity,value_scale_shift,0.9083154351083871,0.9505829605861297,0.000999000999000999,0.000999000999000999,1
identity.policy_shift,identity,policy_shift,0.9118254139323407,0.9190503837286412,0.000999000999000999,0.000999000999000999,1
paraphrase.q_shift,paraphrase,q_shift,0.9872499528044949,0.9852693076597377,0.000999000999000999,0.000999000999000999,1
paraphrase.k_shift,paraphrase,k_shift,0.9894421590968303,0.9935503747593597,0.000999000999000999,0.000999000999000999,1
paraphrase.v_shift,paraphrase,v_shift,0.9448839075998857,0.9678341633952516,0.000999000999000999,0.000999000999000999,1
paraphrase.value_scale_shift,paraphrase,value_scale_shift,0.8902288077945616,0.9405609986597331,0.000999000999000999,0.000999000999000999,1
paraphrase.policy_shift,paraphrase,policy_shift,0.8836775306970099,0.9096696542441642,0.000999000999000999,0.000999000999000999,1
scene.q_shift,scene,q_shift,0.9892989353320498,0.9899059990825705,0.000999000999000999,0.000999000999000999,1
scene.k_shift,scene,k_shift,0.9921320893272098,0.994705276528643,0.000999000999000999,0.000999000999000999,1
scene.v_shift,scene,v_shift,0.9547489782849423,0.9645835818868348,0.000999000999000999,0.000999000999000999,1
scene.value_scale_shift,scene,value_scale_shift,0.9159643814171292,0.9355994199295156,0.000999000999000999,0.000999000999000999,1
scene.policy_shift,scene,policy_shift,0.8775690228921689,0.9016146699859652,0.000999000999000999,0.000999000999000999,1
