feature,threshold_name,threshold,discovery_positive_fraction,validation_positive_fraction,label_agreement,positive_jaccard
full_semantic.q_shift,zero,0.0,0.5057471264367817,0.49712643678160917,0.9396551724137931,0.8864864864864865
full_semantic.q_shift,p10,-0.11443155258893965,0.8994252873563219,0.8936781609195402,0.9827586206896551,0.9809523809523809
full_semantic.q_shift,p20,-0.06256015002727508,0.7988505747126436,0.7873563218390804,0.9655172413793104,0.9574468085106383
full_semantic.q_shift,p30,-0.037163463979959496,0.6982758620689655,0.6982758620689655,0.9655172413793104,0.9518072289156626
full_semantic.q_shift,p40,-0.01555845737457275,0.6005747126436781,0.5977011494252874,0.9741379310344828,0.9577464788732394
full_semantic.q_shift,p50,0.0015783123672008514,0.5,0.49137931034482757,0.9339080459770115,0.875
full_semantic.q_shift,p60,0.017391255497932433,0.3994252873563218,0.4109195402298851,0.9540229885057471,0.8926174496644296
full_semantic.q_shift,p70,0.04455171823501583,0.3017241379310345,0.28448275862068967,0.9655172413793104,0.8888888888888888
full_semantic.q_shift,p80,0.07703314125537873,0.20114942528735633,0.1839080459770115,0.9540229885057471,0.7866666666666666
full_semantic.q_shift,p90,0.12116392701864248,0.10057471264367816,0.09770114942528736,0.985632183908046,0.8648648648648649
full_semantic.k_shift,zero,0.0,0.5057471264367817,0.5172413793103449,0.9540229885057471,0.9139784946236559
full_semantic.k_shift,p10,-0.1539429664611816,0.8994252873563219,0.9022988505747126,0.985632183908046,0.9841772151898734
full_semantic.k_shift,p20,-0.09602539241313932,0.7988505747126436,0.7959770114942529,0.985632183908046,0.9821428571428571
full_semantic.k_shift,p30,-0.05630917400121689,0.6982758620689655,0.6954022988505747,0.9626436781609196,0.9477911646586346
full_semantic.k_shift,p40,-0.026616846024990058,0.6005747126436781,0.603448275862069,0.9741379310344828,0.9579439252336449
full_semantic.k_shift,p50,0.00023710355162620544,0.5,0.514367816091954,0.9626436781609196,0.9289617486338798
full_semantic.k_shift,p60,0.023409301042556757,0.3994252873563218,0.39655172413793105,0.9626436781609196,0.9103448275862069
full_semantic.k_shift,p70,0.05654917880892753,0.3017241379310345,0.2959770114942529,0.9712643678160919,0.908256880733945
full_semantic.k_shift,p80,0.11562512814998627,0.20114942528735633,0.19540229885057472,0.9770114942528736,0.8904109589041096
full_semantic.k_shift,p90,0.16796365156769752,0.10057471264367816,0.10057471264367816,0.9885057471264368,0.8918918918918919
full_semantic.v_shift,zero,0.0,0.4942528735632184,0.49712643678160917,0.9109195402298851,0.8351063829787234
full_semantic.v_shift,p10,-0.0943617969751358,0.8994252873563219,0.882183908045977,0.9655172413793104,0.9620253164556962
full_semantic.v_shift,p20,-0.05738468319177627,0.7988505747126436,0.8247126436781609,0.9396551724137931,0.9283276450511946
full_semantic.v_shift,p30,-0.02652844563126564,0.6982758620689655,0.6982758620689655,0.9252873563218391,0.8984375
full_semantic.v_shift,p40,-0.012540325522422784,0.6005747126436781,0.6091954022988506,0.9051724137931034,0.8546255506607929
full_semantic.v_shift,p50,-0.0003412514925003052,0.5,0.5,0.9022988505747126,0.8219895287958116
full_semantic.v_shift,p60,0.008126269280910484,0.3994252873563218,0.4281609195402299,0.9080459770114943,0.8
full_semantic.v_shift,p70,0.029350761324167238,0.3017241379310345,0.2959770114942529,0.9252873563218391,0.7777777777777778
full_semantic.v_shift,p80,0.05018511414527898,0.20114942528735633,0.23563218390804597,0.9425287356321839,0.7674418604651163
full_semantic.v_shift,p90,0.07893871143460274,0.10057471264367816,0.11781609195402298,0.9425287356321839,0.5833333333333334
full_semantic.value_scale_shift,zero,0.0,0.5201149425287356,0.5,0.8936781609195402,0.8112244897959183
full_semantic.value_scale_shift,p10,-0.02184708695858717,0.8994252873563219,0.8908045977011494,0.9626436781609196,0.9591194968553459
