layer,head,cphi_score_category_count,cphi_score_dominant_category,cphi_score_dominant_value,cphi_score_range,cphi_score_std,cphi_score_positive_fraction,cphi_score_absolute_entropy,age_js_score_category_count,age_js_score_dominant_category,age_js_score_dominant_value,age_js_score_range,age_js_score_std,age_js_score_positive_fraction,age_js_score_absolute_entropy,age_w1_score_category_count,age_w1_score_dominant_category,age_w1_score_dominant_value,age_w1_score_range,age_w1_score_std,age_w1_score_positive_fraction,age_w1_score_absolute_entropy
0,0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
0,1,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
0,2,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
0,3,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
0,4,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
0,5,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
0,6,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
0,7,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
0,8,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
0,9,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
0,10,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
0,11,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0,8,action,0.0,0.0,0.0,0.0,0.0
1,0,8,appearance,-1.2395138921309525,1.5704964117975246,0.45273652904051753,0.125,0.8477325761101488,8,appearance,-0.21514330889336736,0.23321196578208825,0.082587524834908,0.125,0.8436456861484458,8,appearance,-1.3526256743386438,1.3697838085545264,0.44205183634595524,0.25,0.7523177827929588
1,1,8,appearance,-0.8958419072786501,1.13938795257871,0.3862914277432388,0.25,0.8722856120576619,8,appearance,-0.1133281128095959,0.16007180646251704,0.048836573092963104,0.125,0.9513376724564383,8,appearance,-1.1353047674898762,1.461967353778306,0.5215308825411471,0.25,0.8365731510007897
1,2,8,appearance,-1.9776677259182769,1.8997424395758538,0.6962784520439702,0.0,0.8690793114273005,8,appearance,-0.3483306218397818,0.3543599499855391,0.11890273432055744,0.125,0.893615245220169,8,identity,-1.9135163215473403,1.7510964757450354,0.6264606224954432,0.0,0.8979618741639513
1,3,8,style,0.8495025512373786,1.5960266499429436,0.5790363632281491,0.5,0.8786572004450772,8,appearance,-0.30816738978153313,0.4291211456266333,0.1280793501556131,0.125,0.9418029633952095,8,appearance,-1.2464280801149688,1.4443432098626021,0.5173845182317638,0.25,0.8645110993688153
1,4,8,appearance,-1.2375627346416231,1.1097856925046254,0.4107368340445594,0.0,0.8870378184621605,8,appearance,-0.1232074093640363,0.17042867220767144,0.05550551052366504,0.25,0.8539766701740502,8,identity,-1.203021431828407,1.3464969386306256,0.45781816433080336,0.125,0.8999152212954362
1,5,8,identity,-0.7105467224922972,0.9905867413820407,0.365247857628122,0.375,0.9076565127137102,8,appearance,-0.005368722305015576,0.004887675802431589,0.001640926898185192,0.0,0.9161138527983255,8,appearance,-0.7686597850013444,0.6359278530778725,0.20255157772396826,0.0,0.9422970032130977
1,6,8,appearance,-1.3233659874015609,1.0755279274542169,0.342195393543579,0.0,0.9535958871446469,8,appearance,-0.06319701508299806,0.041274715922499094,0.015235944272054913,0.0,0.9687056334901553,8,identity,-1.3952830970855756,0.7128784319517849,0.2680225920435227,0.0,0.983721542308398
1,7,8,object,-1.3939862916619536,1.643047807316488,0.5582643031988006,0.125,0.9255655227980852,8,appearance,-0.17363166296071436,0.21603014043008628,0.06803334204243434,0.125,0.9472302847029062,8,appearance,-1.4088392016543374,1.8108400821784936,0.589007930990131,0.125,0.9173236926260075
1,8,8,appearance,-1.4452129502293278,1.4810109054551532,0.5501906167598897,0.125,0.868781889942102,8,appearance,-0.5493874621833612,0.45810964371436624,0.1524817850314667,0.0,0.9530506229249559,8,appearance,-1.6468568999659885,1.649526900289844,0.5813507588091974,0.125,0.8738634570708516
1,9,8,appearance,-0.8594667613745417,1.3111464175925898,0.4345905763150869,0.25,0.8831218573498062,8,identity,-0.46646175699718495,0.48024477519052267,0.1523293891004288,0.125,0.9212974478820323,8,appearance,-1.58550361166579,1.6848224948715351,0.6304136362871073,0.25,0.8665754469614689
1,10,8,identity,-1.2935346827381315,1.3028934972394126,0.44701258754729545,0.125,0.8254446714705503,8,identity,-0.09206394780732868,0.1441355868525728,0.043398698161082605,0.125,0.9410125473695761,8,appearance,-1.4534811196388757,1.874640965738223,0.53835394079959,0.125,0.9248015997603971
1,11,8,identity,-1.5391659787732062,1.3486241390645752,0.5065806596286254,0.0,0.8989099822358942,8,appearance,-0.8207707406566395,0.6071151482586177,0.20693395142037302,0.0,0.9684791282016526,8,appearance,-1.7301308712595833,1.4275444622124616,0.4550719427650187,0.0,0.9422888208415193
2,0,8,appearance,-0.7540781785917068,0.8521420758438815,0.2977867989278212,0.25,0.8335686798797809,8,appearance,-0.16451995384880544,0.16539704979357892,0.05317573718074523,0.125,0.9211332966125726,8,identity,-1.3269449600639842,1.0130394885154503,0.3495112980869329,0.0,0.9616981500564808
