mode,nominal_timestep,layer,head,temporal_reach_ratio,temporal_reach_ratio_samples,expected_age,expected_age_samples,normalized_expected_age,normalized_expected_age_samples,recent_mass,recent_mass_samples,old_mass,old_mass_samples,old12_mass,old12_mass_samples,old_mass_excess,old_mass_excess_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples,sign_switch_rate,sign_switch_rate_samples,dominant_period,dominant_period_samples,spectral_peak_ratio,spectral_peak_ratio_samples,middle_recent_margin,middle_recent_margin_samples,age_logit_correlation,age_logit_correlation_samples
clean,0,0,0,0.11731653288006783,128,6.651935577392578,128,0.36955197155475616,128,0.40172892808914185,128,0.5982710421085358,128,0.12604618072509766,128,-0.17950674891471863,128,0.9388644993305206,128,1.0,128,0.8333333134651184,128,0.11764705926179886,128,18.0,128,0.7179943323135376,128,-1.4754453301429749,128,-0.900231659412384,128
clean,0,0,1,0.16177047044038773,128,3.576382040977478,128,0.19868789613246918,128,0.7952680587768555,128,0.20473191142082214,128,0.11790256947278976,128,-0.5730458498001099,128,0.4718705713748932,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5597504675388336,128,-1.3185320496559143,128,-0.3529859185218811,128
clean,0,0,2,0.15687350928783417,128,9.538694858551025,128,0.5299274921417236,128,0.2303619384765625,128,0.7696380615234375,128,0.3449859619140625,128,-0.008139729499816895,128,0.9981175363063812,128,18.0,128,1.0,128,0.0,128,18.0,128,0.6102571785449982,128,-0.5703933835029602,128,0.09843471273779869,128
clean,0,0,3,0.1459505409002304,128,9.477532386779785,128,0.5265295803546906,128,0.2229580283164978,128,0.7770419716835022,128,0.33074964582920074,128,-0.0007358193397521973,128,0.9993017613887787,128,10.0,128,1.0,128,0.0,128,18.0,128,0.4116552919149399,128,-0.11100922524929047,128,-0.06652739271521568,128
clean,0,0,4,0.365525484085083,128,13.776894092559814,128,0.7653830051422119,128,0.05398027412593365,128,0.9460196793079376,128,0.6061196327209473,128,0.16824188828468323,128,0.6239430904388428,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8550674915313721,128,0.365833044052124,128,0.08513011038303375,128
clean,0,0,5,0.34970490634441376,128,14.849056720733643,128,0.8249475955963135,128,0.04144744388759136,128,0.9585525989532471,128,0.6584144830703735,128,0.18077480792999268,128,0.5822891592979431,128,18.0,128,1.0,128,0.0,128,6.0,128,0.7619089186191559,128,0.7018081545829773,128,0.39734381437301636,128
clean,0,0,6,0.2227243110537529,128,8.260355472564697,128,0.4589086323976517,128,0.27720579504966736,128,0.722794234752655,128,0.25446082651615143,128,-0.054983556270599365,128,0.744245171546936,128,1.0,128,1.0,128,0.0,128,6.0,128,0.6027520000934601,128,-0.35148046910762787,128,-0.30499349534511566,128
clean,0,0,7,0.15313968062400818,128,7.615201950073242,128,0.42306677997112274,128,0.3924470841884613,128,0.6075528860092163,128,0.21859382092952728,128,-0.17022490501403809,128,0.9511143863201141,128,1.0,128,1.0,128,0.0,128,18.0,128,0.43279699981212616,128,-1.6183438301086426,128,-0.6117797493934631,128
clean,0,0,8,0.1574471816420555,128,9.474135875701904,128,0.5263408720493317,128,0.22403797507286072,128,0.7759620547294617,128,0.33069857954978943,128,-0.0018157362937927246,128,0.99937903881073,128,8.0,128,1.0,128,0.0,128,18.0,128,0.4177885353565216,128,-0.257404088973999,128,-0.12467604875564575,128
clean,0,0,9,0.1911257654428482,128,10.151260375976562,128,0.5639589130878448,128,0.23965025693178177,128,0.7603497207164764,128,0.41954681277275085,128,-0.017428070306777954,128,0.9790555834770203,128,18.0,128,0.6666666865348816,128,0.11764705926179886,128,18.0,128,0.7156116366386414,128,-0.4580851346254349,128,0.28011728823184967,128
clean,0,0,10,0.2798248678445816,128,14.94401741027832,128,0.8302232027053833,128,0.006124708568677306,128,0.9938752353191376,128,0.8179719150066376,128,0.21609744429588318,128,0.7749598324298859,128,18.0,128,1.0,128,0.0,128,18.0,128,0.5634905993938446,128,1.9219608902931213,128,0.9798697829246521,128
