layer,head,cphi_score_category_count,cphi_score_dominant_category,cphi_score_dominant_value,cphi_score_range,cphi_score_std,cphi_score_positive_fraction,cphi_score_absolute_entropy,age_js_score_category_count,age_js_score_dominant_category,age_js_score_dominant_value,age_js_score_range,age_js_score_std,age_js_score_positive_fraction,age_js_score_absolute_entropy,age_w1_score_category_count,age_w1_score_dominant_category,age_w1_score_dominant_value,age_w1_score_range,age_w1_score_std,age_w1_score_positive_fraction,age_w1_score_absolute_entropy
0,0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
0,1,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
0,2,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
0,3,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
0,4,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
0,5,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
0,6,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
0,7,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
0,8,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
0,9,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
0,10,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
0,11,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0,5,clean:0,0.0,0.0,0.0,0.0,0.0
1,0,5,noisy:1000,-0.5627991131288443,0.7741245074303045,0.294362916738819,0.2,0.9493693556685883,5,noisy:1000,-0.3011589324284011,0.21999457001625947,0.08041671537347538,0.0,0.9226733062509473,5,clean:0,-0.6364995858496354,0.30977900849960666,0.13168596137236732,0.0,0.9747488381176697
1,1,5,clean:0,-0.6452044880670882,0.5405324265173671,0.20205699142507658,0.0,0.8952050042019986,5,noisy:1000,-0.1492264111280774,0.11939915135960746,0.04425911187766087,0.0,0.8891632693606871,5,clean:0,-0.8035271133614666,0.5761434515762476,0.21686868942417167,0.0,0.933038812552525
1,2,5,clean:0,-1.324526158947743,0.30207397821781257,0.12279470633546011,0.0,0.9964587927693652,5,noisy:1000,-0.30189611405898215,0.20987020467222633,0.07528806032944635,0.0,0.9622622280049554,5,clean:0,-1.2639396793756505,0.37455520450821833,0.12991180737870975,0.0,0.9954572216151742
