left_axis,right_axis,spearman
reverse_relative_log,phase_shift_relative_log,0.9414290748128201
reverse_relative_log,freeze_latest_relative_log,0.09091016648791016
reverse_relative_log,value_mismatch_relative_log,-0.4492771291959558
reverse_relative_log,history_specificity,-0.6146258844589851
reverse_relative_log,hard_history_specificity,-0.7161207519605347
reverse_relative_log,correct_margin,0.11694303196783927
reverse_relative_log,v136_cphi_score,-0.014901494987535577
reverse_relative_log,v136_age_js_score,0.06517286910726923
reverse_relative_log,v136_middle_recent_margin,0.4985622317044628
reverse_relative_log,v136_old_mass_excess,0.36481891578381526
reverse_relative_log,v136_temporal_reach_ratio,0.12960310907748776
phase_shift_relative_log,freeze_latest_relative_log,0.04639490531048337
phase_shift_relative_log,value_mismatch_relative_log,-0.4758089697194166
phase_shift_relative_log,history_specificity,-0.6440731281362768
phase_shift_relative_log,hard_history_specificity,-0.7384228787773569
phase_shift_relative_log,correct_margin,0.19115193790075544
phase_shift_relative_log,v136_cphi_score,-0.05792087937431507
phase_shift_relative_log,v136_age_js_score,0.04491848231879818
phase_shift_relative_log,v136_middle_recent_margin,0.49537959397834863
phase_shift_relative_log,v136_old_mass_excess,0.3250148535096722
phase_shift_relative_log,v136_temporal_reach_ratio,0.14037428272337493
freeze_latest_relative_log,value_mismatch_relative_log,-0.022095335097750243
freeze_latest_relative_log,history_specificity,-0.16071111659812193
freeze_latest_relative_log,hard_history_specificity,-0.16426078390522564
freeze_latest_relative_log,correct_margin,-0.24710915979289966
freeze_latest_relative_log,v136_cphi_score,0.12453424390628405
freeze_latest_relative_log,v136_age_js_score,0.10590001258253648
freeze_latest_relative_log,v136_middle_recent_margin,0.40297455998888887
freeze_latest_relative_log,v136_old_mass_excess,0.6051288975995186
freeze_latest_relative_log,v136_temporal_reach_ratio,0.1149854551346847
value_mismatch_relative_log,history_specificity,0.43970298124728335
value_mismatch_relative_log,hard_history_specificity,0.508714830618549
value_mismatch_relative_log,correct_margin,0.1332445980807465
value_mismatch_relative_log,v136_cphi_score,0.2705366408556875
value_mismatch_relative_log,v136_age_js_score,-0.28617490919275484
value_mismatch_relative_log,v136_middle_recent_margin,-0.11296666383742675
value_mismatch_relative_log,v136_old_mass_excess,-0.19226125715990608
value_mismatch_relative_log,v136_temporal_reach_ratio,0.1730633209618387
history_specificity,hard_history_specificity,0.9071289130317365
history_specificity,correct_margin,-0.23000331792683587
history_specificity,v136_cphi_score,-0.15547795296153438
history_specificity,v136_age_js_score,-0.2512561735254123
history_specificity,v136_middle_recent_margin,-0.48184862537519585
history_specificity,v136_old_mass_excess,-0.3934500523409389
history_specificity,v136_temporal_reach_ratio,-0.10020216205371957
hard_history_specificity,correct_margin,-0.04949395185662441
hard_history_specificity,v136_cphi_score,-0.1195224103917787
hard_history_specificity,v136_age_js_score,-0.2398498829528834
hard_history_specificity,v136_middle_recent_margin,-0.470384030740978
hard_history_specificity,v136_old_mass_excess,-0.364568913854788
hard_history_specificity,v136_temporal_reach_ratio,-0.14290105119123864
correct_margin,v136_cphi_score,0.0788593117983524
correct_margin,v136_age_js_score,-0.07774945772147007
correct_margin,v136_middle_recent_margin,0.19369130934652276
correct_margin,v136_old_mass_excess,0.024440260598718615
correct_margin,v136_temporal_reach_ratio,0.2063369830528528
v136_cphi_score,v136_age_js_score,0.35302753954844185
v136_cphi_score,v136_middle_recent_margin,0.10754010169522249
v136_cphi_score,v136_old_mass_excess,0.14986952465413714
v136_cphi_score,v136_temporal_reach_ratio,0.032090343927728054
v136_age_js_score,v136_middle_recent_margin,-0.09188614364814596
v136_age_js_score,v136_old_mass_excess,0.06253776945080122
v136_age_js_score,v136_temporal_reach_ratio,-0.2667232696983625
v136_middle_recent_margin,v136_old_mass_excess,0.7980033282149812
v136_middle_recent_margin,v136_temporal_reach_ratio,0.5206151282031498
v136_old_mass_excess,v136_temporal_reach_ratio,0.3305120667083337
