mode,current_frame,layer,head,old_history_effect,old_history_effect_samples,reverse_effect,reverse_effect_samples,reverse_relative_log,reverse_relative_log_samples,phase_shift_effect,phase_shift_effect_samples,phase_shift_relative_log,phase_shift_relative_log_samples,freeze_latest_effect,freeze_latest_effect_samples,freeze_latest_relative_log,freeze_latest_relative_log_samples,value_mismatch_effect,value_mismatch_effect_samples,value_mismatch_relative_log,value_mismatch_relative_log_samples,reverse_vs_phase_log,reverse_vs_phase_log_samples,correct_top1,correct_top1_samples,correct_margin,correct_margin_samples,hard_wrong_top1,hard_wrong_top1_samples,random_wrong_top1,random_wrong_top1_samples,wrong_top1,wrong_top1_samples,history_specificity,history_specificity_samples,hard_history_specificity,hard_history_specificity_samples,correct_peak_age,correct_peak_age_samples
clean,21,0,0,0.08992038294672966,128,0.0378874484449625,128,-0.8331875688824892,128,0.009648987092077732,128,-2.2601319892307172,128,0.08695302531123161,128,-0.15612666127099678,128,0.017263573594391346,128,-1.6074551779746329,128,1.3972454318419594,128,0.5361413955688477,128,0.029587343335151672,128,0.5007703900337219,128,0.5943662524223328,128,0.6059403717517853,128,-0.0759606659412384,128,0.027798131108283997,128,5.0,128
clean,21,0,1,0.047109080478549004,128,0.016495008021593094,128,-0.8546341281916795,128,0.010461271740496159,128,-1.3325073331172466,128,0.04003271833062172,128,-0.1347370583184867,128,0.009997693356126547,128,-1.36402185261925,128,0.49232413759938265,128,0.8613495230674744,128,0.05650082230567932,128,0.8627403974533081,128,0.8669339418411255,128,0.8681839108467102,128,-0.0057763755321502686,128,0.0001423358917236328,128,18.0,128
clean,21,0,2,0.12284038960933685,128,0.0059448047541081905,128,-2.9589345412404375,128,0.0025624375557526946,128,-3.760610534930416,128,0.13290849328041077,128,0.015494040599073527,128,0.03478415310382843,128,-1.2827273054386208,128,0.7644140173058078,128,0.3396906852722168,128,0.02000112645328045,128,0.26476140320301056,128,0.5102794170379639,128,0.5315771996974945,128,-0.181875079870224,128,0.0520392507314682,128,6.0,128
clean,21,0,3,0.1142939068377018,128,0.0006049069052096456,128,-4.9919382193672215,128,0.00033472859649918973,128,-5.602000130241173,128,0.14684513211250305,128,0.1363229520805988,128,0.03940993919968605,128,-1.1449007773459252,128,0.5027742531644155,128,0.2941967844963074,128,0.03205316886305809,128,0.27930082380771637,128,0.4970325827598572,128,0.5201021432876587,128,-0.20813556015491486,128,0.008698463439941406,128,11.0,128
clean,21,0,4,0.07808633148670197,128,0.0389935914427042,128,-0.6089003321324798,128,0.02080888208001852,128,-1.2545701683860928,128,0.07516730949282646,128,-0.06129100859487763,128,0.023846624419093132,128,-1.118716003831579,128,0.623598756582272,128,0.7737360298633575,128,0.047271728515625,128,0.7720969915390015,128,0.7804034948348999,128,0.7819033265113831,128,-0.009039640426635742,128,0.0020931661128997803,128,6.0,128
clean,21,0,5,0.0858798399567604,128,0.05258854106068611,128,-0.4165944206489034,128,0.022837551310658455,128,-1.2399204337760779,128,0.07778623327612877,128,-0.07583643818800442,128,0.024817212484776974,128,-1.18747392847916,128,0.8260021581344656,128,0.8581974506378174,128,0.009219527244567871,128,0.8565182983875275,128,0.8612841963768005,128,0.8624552190303802,128,-0.0029946863651275635,128,0.0021317005157470703,128,11.0,128
clean,21,0,6,0.08524148911237717,128,0.01625247485935688,128,-1.6280784091404201,128,0.01983748283237219,128,-1.3503498451313711,128,0.06536262854933739,128,-0.27441581809617305,128,0.021390571258962154,128,-1.2975228111558805,128,-0.20240176191438125,128,0.7904499769210815,128,0.02209317684173584,128,0.7677191495895386,128,0.7868395149707794,128,0.7962999939918518,128,-0.0059944987297058105,128,0.018342196941375732,128,6.0,128
clean,21,0,7,0.07985600456595421,128,0.00643715588375926,128,-2.361796564857497,128,0.005048149963840842,128,-2.671925392684157,128,0.0692618116736412,128,-0.14526266622934336,128,0.008066543377935886,128,-2.2276566098196344,128,0.22981426916432643,128,0.8551585674285889,128,0.008190304040908813,128,0.8133010864257812,128,0.8224638998508453,128,0.8332714736461639,128,0.017627447843551636,128,0.03782472014427185,128,5.0,128
clean,21,0,8,0.13623882085084915,128,0.00047072922461666167,128,-5.370273002076681,128,0.0002920516999438405,128,-5.813442564098368,128,0.16575372964143753,128,0.12084983623998775,128,0.04819557070732117,128,-1.103164788893951,128,0.46383171993439354,128,0.337863489985466,128,0.02345849573612213,128,0.28917570412158966,128,0.43533872067928314,128,0.4643511325120926,128,-0.12431871891021729,128,0.024355217814445496,128,12.0,128
clean,21,0,9,0.13353781402111053,128,0.03135026432573795,128,-1.4200743252432728,128,0.018684024922549725,128,-1.98893280953147,128,0.1551879495382309,128,0.0576046224227194,128,0.05126606859266758,128,-1.0034106027562892,128,0.5646188953667339,128,0.225014328956604,128,0.04056786000728607,128,0.19193755090236664,128,0.30976004898548126,128,0.3249436467885971,128,-0.09135589003562927,128,0.029715821146965027,128,3.5,128
clean,21,0,10,0.1614687815308571,128,0.08776529133319855,128,-0.58588316706717,128,0.038612909615039825,128,-1.5050790364983826,128,0.18511585891246796,128,0.05244932110508879,128,0.06382662802934647,128,-0.9635752868792563,128,0.9813199995952175,128,0.8428140878677368,128,0.018479138612747192,128,0.834767758846283,128,0.8530893921852112,128,0.8565035760402679,128,-0.014350086450576782,128,0.006750702857971191,128,18.0,128
