mode,nominal_timestep,layer,head,old_history_effect,old_history_effect_samples,reverse_effect,reverse_effect_samples,reverse_relative_log,reverse_relative_log_samples,phase_shift_effect,phase_shift_effect_samples,phase_shift_relative_log,phase_shift_relative_log_samples,freeze_latest_effect,freeze_latest_effect_samples,freeze_latest_relative_log,freeze_latest_relative_log_samples,value_mismatch_effect,value_mismatch_effect_samples,value_mismatch_relative_log,value_mismatch_relative_log_samples,reverse_vs_phase_log,reverse_vs_phase_log_samples,correct_top1,correct_top1_samples,correct_margin,correct_margin_samples,hard_wrong_top1,hard_wrong_top1_samples,random_wrong_top1,random_wrong_top1_samples,wrong_top1,wrong_top1_samples,history_specificity,history_specificity_samples,hard_history_specificity,hard_history_specificity_samples,correct_peak_age,correct_peak_age_samples
clean,0,0,0,0.0798114761710167,128,0.033115606755018234,128,-0.8321187250240702,128,0.0076110821682959795,128,-2.3303669837260674,128,0.06811897456645966,128,-0.18458100073423228,128,0.015554171986877918,128,-1.7609978095141805,128,1.573080940701311,128,0.528211772441864,128,0.0513790100812912,128,0.5002743154764175,128,0.5811072885990143,128,0.590734213590622,128,-0.0621393620967865,128,0.030346989631652832,128,1.0,128
clean,0,0,1,0.03078531287610531,128,0.013002625200897455,128,-0.8683039592440547,128,0.00828062416985631,128,-1.307260139852147,128,0.028536388650536537,128,-0.1501825470164803,128,0.008132160641252995,128,-1.3393938670886096,128,0.44575141582859645,128,0.8720501065254211,128,0.05669248104095459,128,0.8689008057117462,128,0.8759433925151825,128,0.8786717653274536,128,-0.006161153316497803,128,0.0027419626712799072,128,1.0,128
clean,0,0,2,0.10669847205281258,128,0.005734003847464919,128,-2.8984583293171475,128,0.002382710576057434,128,-3.6574362519719648,128,0.09943583607673645,128,-0.032227112341693086,128,0.023043183609843254,128,-1.5982832210217919,128,0.8127628318580449,128,0.32272471487522125,128,0.030402548611164093,128,0.2601368576288223,128,0.4286028742790222,128,0.44927652180194855,128,-0.11899279057979584,128,0.027749471366405487,128,17.0,128
clean,0,0,3,0.10253743454813957,128,0.0006070691742934287,128,-4.8733477228318005,128,0.0003551094850990921,128,-5.416325179622017,128,0.1055525653064251,128,0.013817991346744886,128,0.024924496188759804,128,-1.4712276827919757,128,0.4966408270687024,128,0.2381705418229103,128,0.028922682628035545,128,0.19714124500751495,128,0.4260690212249756,128,0.45391830801963806,128,-0.1873503252863884,128,0.03059358522295952,128,10.0,128
clean,0,0,4,0.05600958317518234,128,0.03406260162591934,128,-0.4923736008363913,128,0.018249938264489174,128,-1.1626859150992972,128,0.05798688158392906,128,-0.03318435044330027,128,0.01818969752639532,128,-1.121155596387832,128,0.6644699907831606,128,0.7929641008377075,128,0.054673343896865845,128,0.7918573319911957,128,0.8019055426120758,128,0.8047025203704834,128,-0.009039640426635742,128,0.0018427073955535889,128,18.0,128
clean,0,0,5,0.06462649255990982,128,0.04633728042244911,128,-0.36321229873811034,128,0.020033671520650387,128,-1.2109813974645554,128,0.0661311186850071,128,-0.031328548881410054,128,0.019763445481657982,128,-1.1982975993221359,128,0.8393045220405174,128,0.8545910716056824,128,0.021864205598831177,128,0.8514588475227356,128,0.8585284352302551,128,0.8593586385250092,128,-0.004318445920944214,128,0.002510666847229004,128,11.0,128
clean,0,0,6,0.07068634778261185,128,0.01343640498816967,128,-1.6109438834363536,128,0.015561537817120552,128,-1.4755263260242248,128,0.05418063700199127,128,-0.26451520452475985,128,0.019065982662141323,128,-1.3980821053447412,128,-0.1405870246676356,128,0.7675449550151825,128,0.028300940990447998,128,0.739439070224762,128,0.7580607831478119,128,0.767400324344635,128,-0.004500061273574829,128,0.021349012851715088,128,6.0,128
clean,0,0,7,0.06332919374108315,128,0.005719035863876343,128,-2.383081616485322,128,0.00416800263337791,128,-2.7979481301865565,128,0.06352019682526588,128,-0.1135453098430704,128,0.006248975405469537,128,-2.3681290344581605,128,0.34388085804302837,128,0.8298097252845764,128,0.022793710231781006,128,0.7868934869766235,128,0.7983298301696777,128,0.8052097856998444,128,0.018883585929870605,128,0.04061952233314514,128,18.0,128
clean,0,0,8,0.10907386988401413,128,0.0004174230562057346,128,-5.300361834311918,128,0.00026427187549415976,128,-5.723555267822729,128,0.11438383162021637,128,0.034233665309167535,128,0.028546194545924664,128,-1.3193498518553528,128,0.4510286432033106,128,0.29286058247089386,128,0.021858319640159607,128,0.26171189546585083,128,0.4073837101459503,128,0.42009851336479187,128,-0.12805339694023132,128,0.03563524782657623,128,12.0,128
clean,0,0,9,0.11003543063998222,128,0.029006418772041798,128,-1.403762916178584,128,0.015253759454935789,128,-2.0204056189360244,128,0.11424684524536133,128,-0.028390545546242252,128,0.03993660770356655,128,-1.1349757714364077,128,0.6178636120502121,128,0.33795902132987976,128,0.047809768468141556,128,0.32206328213214874,128,0.4124079942703247,128,0.4410752207040787,128,-0.10282327234745026,128,0.02507053315639496,128,18.0,128
