dataset_index,job_id,kind,records,states,bad_layer_groups,tensor_failures,max_rope_reconstruction_error,max_rope_reconstruction_rms_error,max_recent_value_preservation_error,run_commit,passed
0,moviebench_history_intervention_000,history_intervention,270,9,0,0,0.005263158120214939,1.9259092368884012e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
1,moviebench_history_intervention_001,history_intervention,270,9,0,0,0.0054054055362939835,2.6119378162547946e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
2,moviebench_history_intervention_002,history_intervention,270,9,0,0,0.005586592014878988,1.6444957509520464e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
3,moviebench_history_intervention_003,history_intervention,270,9,0,0,0.0049019609577953815,1.645645716052968e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
4,moviebench_history_intervention_004,history_intervention,270,9,0,0,0.005291005130857229,1.809983587008901e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
5,moviebench_history_intervention_005,history_intervention,270,9,0,0,0.0052083334885537624,1.564471676829271e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
6,moviebench_history_intervention_006,history_intervention,270,9,0,0,0.004975124262273312,1.660204361542128e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
7,moviebench_history_intervention_007,history_intervention,270,9,0,0,0.005319148767739534,1.6410387615906075e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
8,moviebench_history_intervention_008,history_intervention,270,9,0,0,0.0047846888191998005,1.644887925067451e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
9,moviebench_history_intervention_009,history_intervention,270,9,0,0,0.005347593687474728,1.3418569324130658e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
10,moviebench_history_intervention_010,history_intervention,270,9,0,0,0.005102040711790323,1.4975388694438152e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
11,moviebench_history_intervention_011,history_intervention,270,9,0,0,0.005181347019970417,1.2948446965310723e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
12,moviebench_history_intervention_012,history_intervention,270,9,0,0,0.005376344081014395,1.3887831300962716e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
13,moviebench_history_intervention_013,history_intervention,270,9,0,0,0.004878048785030842,1.702517329249531e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
14,moviebench_history_intervention_014,history_intervention,270,9,0,0,0.005025125574320555,1.6399688320234418e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
15,moviebench_history_intervention_015,history_intervention,270,9,0,0,0.005102040711790323,1.6211655747611076e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
16,moviebench_history_intervention_016,history_intervention,270,9,0,0,0.0055555556900799274,1.6272271750494838e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
17,moviebench_history_intervention_017,history_intervention,270,9,0,0,0.006802720949053764,2.2732418074156158e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
18,moviebench_history_intervention_018,history_intervention,270,9,0,0,0.0052083334885537624,1.7088868844439276e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
19,moviebench_history_intervention_019,history_intervention,270,9,0,0,0.005235602147877216,1.3590039998234715e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
20,moviebench_history_intervention_020,history_intervention,270,9,0,0,0.005494505632668734,1.3044563274888787e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
21,moviebench_history_intervention_021,history_intervention,270,9,0,0,0.005263158120214939,2.022392800427042e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
22,moviebench_history_intervention_022,history_intervention,270,9,0,0,0.005347593687474728,1.4626900338043924e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
23,moviebench_history_intervention_023,history_intervention,270,9,0,0,0.005347593687474728,1.4501702025881968e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
24,moviebench_history_intervention_024,history_intervention,270,9,0,0,0.00657894741743803,1.6910731574171223e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
25,moviebench_history_intervention_025,history_intervention,270,9,0,0,0.005586592014878988,1.7164114979095757e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
26,moviebench_history_intervention_026,history_intervention,270,9,0,0,0.005347593687474728,1.6398962543462403e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
27,moviebench_history_intervention_027,history_intervention,270,9,0,0,0.0054054055362939835,2.338926788070239e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
28,moviebench_history_intervention_028,history_intervention,270,9,0,0,0.0054054055362939835,1.3447960554913152e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
29,moviebench_history_intervention_029,history_intervention,270,9,0,0,0.005494505632668734,1.6911937564145774e-05,0.0,1ad4dd3bf8dbd808bfe1eaca52e746b992870d19,1
