dataset_index,job_id,switch_type,states,captured_calls,records,bad_groups,tensor_failures,run_commit,passed
0,aba_scene_action_00,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
1,aba_scene_action_01,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
2,aba_scene_action_02,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
3,aba_scene_action_03,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
4,aba_scene_action_04,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
5,aba_scene_action_05,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
6,aba_scene_action_06,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
7,aba_scene_action_07,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
8,aba_scene_action_08,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
9,aba_scene_action_09,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
10,aba_scene_action_10,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
11,aba_scene_action_11,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
12,aba_scene_action_12,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
13,aba_scene_action_13,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
14,aba_scene_action_14,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
15,aba_scene_action_15,scene_action,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
16,aba_identity_scene_00,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
17,aba_identity_scene_01,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
18,aba_identity_scene_02,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
19,aba_identity_scene_03,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
20,aba_identity_scene_04,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
21,aba_identity_scene_05,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
22,aba_identity_scene_06,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
23,aba_identity_scene_07,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
24,aba_identity_scene_08,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
25,aba_identity_scene_09,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
26,aba_identity_scene_10,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
27,aba_identity_scene_11,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
28,aba_identity_scene_12,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
29,aba_identity_scene_13,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
30,aba_identity_scene_14,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
31,aba_identity_scene_15,identity_scene,21,105,3150,0,0,9803aedf03220cfe11988af891f0708891e602ae,1
