dataset_index,family_index,switch_type,group_count,matching_parity_p99,reconstruction_max,reconstruction_rms
0,0,scene_action,630,0.0,0.0,0.0
1,1,scene_action,630,0.0,0.0,0.0
2,2,scene_action,630,0.0,0.0,0.0
3,3,scene_action,630,0.0,0.0,0.0
4,4,scene_action,630,0.0,0.0,0.0
5,5,scene_action,630,0.0,0.0,0.0
6,6,scene_action,630,0.0,0.0,0.0
7,7,scene_action,630,0.0,0.0,0.0
8,8,scene_action,630,0.0,0.0,0.0
9,9,scene_action,630,0.0,0.0,0.0
10,10,scene_action,630,0.0,0.0,0.0
11,11,scene_action,630,0.0,0.0,0.0
12,12,scene_action,630,0.0,0.0,0.0
13,13,scene_action,630,0.0,0.0,0.0
14,14,scene_action,630,0.0,0.0,0.0
15,15,scene_action,630,0.0,0.0,0.0
16,0,identity_scene,630,0.0,0.0,0.0
17,1,identity_scene,630,0.0,0.0,0.0
18,2,identity_scene,630,0.0,0.0,0.0
19,3,identity_scene,630,0.0,0.0,0.0
20,4,identity_scene,630,0.0,0.0,0.0
21,5,identity_scene,630,0.0,0.0,0.0
22,6,identity_scene,630,0.0,0.0,0.0
23,7,identity_scene,630,0.0,0.0,0.0
24,8,identity_scene,630,0.0,0.0,0.0
25,9,identity_scene,630,0.0,0.0,0.0
26,10,identity_scene,630,0.0,0.0,0.0
27,11,identity_scene,630,0.0,0.0,0.0
28,12,identity_scene,630,0.0,0.0,0.0
29,13,identity_scene,630,0.0,0.0,0.0
30,14,identity_scene,630,0.0,0.0,0.0
31,15,identity_scene,630,0.0,0.0,0.0
