mode,current_frame,nominal_timestep,layer,head,best_policy,policy_need,recent_budget_loss,boundary_recent_loss,uniform_recent_loss
clean,21,0,0,0,recent_budget,-0.013080835342407227,0.04733900912106037,0.07278122007846832,0.0604198444634676
clean,21,0,0,1,boundary_recent,0.005837483098730445,0.010048591066151857,0.0042111079674214125,0.006857986329123378
clean,21,0,0,2,boundary_recent,0.02174389362335205,0.11133026704192162,0.08958637341856956,0.0972055159509182
clean,21,0,0,3,uniform_recent,0.022138580679893494,0.11102784425020218,0.09085039794445038,0.08888926357030869
clean,21,0,0,4,boundary_recent,0.00975266587920487,0.013661208562552929,0.00390854268334806,0.010446887463331223
clean,21,0,0,5,boundary_recent,0.008409058558754623,0.011866253800690174,0.003457195241935551,0.008571778424084187
clean,21,0,0,6,boundary_recent,0.003142162226140499,0.010997931938618422,0.007855769712477922,0.010963082313537598
clean,21,0,0,7,boundary_recent,0.010531185194849968,0.06437825039029121,0.053847065195441246,0.060756826773285866
clean,21,0,0,8,uniform_recent,0.01822398602962494,0.12513016536831856,0.1123388446867466,0.10690617933869362
clean,21,0,0,9,boundary_recent,0.037328362464904785,0.11744111403822899,0.0801127515733242,0.08643355965614319
clean,21,0,0,10,boundary_recent,0.14004494808614254,0.196614608168602,0.05656966008245945,0.1046343594789505
clean,21,0,0,11,boundary_recent,0.005698303924873471,0.0100874206982553,0.004389116773381829,0.007852258160710335
clean,21,0,1,0,boundary_recent,0.01614525681361556,0.026678187772631645,0.010532930959016085,0.021772797219455242
clean,21,0,1,1,boundary_recent,0.029582454124465585,0.03646249882876873,0.006880044704303145,0.026457729749381542
clean,21,0,1,2,boundary_recent,0.009268330177292228,0.015353896655142307,0.0060855664778500795,0.011354072485119104
clean,21,0,1,3,boundary_recent,0.04999182606115937,0.05695865862071514,0.006966832559555769,0.039612261578440666
clean,21,0,1,4,boundary_recent,0.009418330271728337,0.012037711217999458,0.0026193809462711215,0.004397526849061251
clean,21,0,1,5,boundary_recent,0.07147581875324249,0.20342069119215012,0.13194487243890762,0.14589260518550873
clean,21,0,1,6,boundary_recent,0.17191231995821,0.26384466886520386,0.09193234890699387,0.18234901875257492
clean,21,0,1,7,recent_budget,-0.0020557940006256104,0.0255866264924407,0.028172039426863194,0.02764242049306631
clean,21,0,1,8,boundary_recent,0.022830385249108076,0.03181890398263931,0.008988518733531237,0.024483058601617813
clean,21,0,1,9,boundary_recent,0.05533040687441826,0.15360692888498306,0.0982765220105648,0.13257382810115814
