prompt_split,switch_type,mode,current_frame,nominal_timestep,episode,stale_a_visible,boundary_offset,layer,head,prompt_history_excess,policy_prompt_score,stale_a_mass,persistent_content,persistent_positioned,persistent_output
all,identity_scene,clean,54,0,A,1,-3,0,0,0.0,0.0,1.0,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,0,1,0.0,0.0,1.0,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,0,2,0.0,0.0,1.0,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,0,3,0.0,0.0,1.0,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,0,4,0.0,0.0,1.0,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,0,5,0.0,0.0,1.0000000596046448,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,0,6,0.0,0.0,1.0,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,0,7,0.0,0.0,1.0,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,0,8,0.0,0.0,1.0,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,0,9,0.0,0.0,1.0,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,0,10,0.0,0.0,1.0,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,0,11,0.0,0.0,1.0,0.0,0.0,0.0
all,identity_scene,clean,54,0,A,1,-3,1,0,0.3507343530654907,0.08679821960140877,1.0,-0.00043195486068725586,-0.00039511919021606445,0.0003706514835357666
all,identity_scene,clean,54,0,A,1,-3,1,1,0.017682380974292755,-0.1864516515269377,1.0,0.00023946166038513184,-0.00019824504852294922,0.00043278932571411133
all,identity_scene,clean,54,0,A,1,-3,1,2,-0.20501676201820374,-0.11074306284721988,1.0,-0.00033864378929138184,-0.0006307661533355713,-0.0005143284797668457
all,identity_scene,clean,54,0,A,1,-3,1,3,0.4696595370769501,-0.012997057579142594,1.0,-0.0005711019039154053,-0.0004401206970214844,0.0012737810611724854
all,identity_scene,clean,54,0,A,1,-3,1,4,-0.5657002329826355,-0.028988267288033578,1.0,0.00041171908378601074,2.2858381271362305e-05,-0.00037723779678344727
all,identity_scene,clean,54,0,A,1,-3,1,5,0.13937024027109146,0.2918380641839732,1.0,-0.0007756203413009644,-3.997981548309326e-05,-4.652142524719238e-05
all,identity_scene,clean,54,0,A,1,-3,1,6,-0.22637704014778137,-0.0012973257121876025,1.0,-0.0010402798652648926,3.378093242645264e-05,0.0009837448596954346
all,identity_scene,clean,54,0,A,1,-3,1,7,0.20110181719064713,0.31830458870915,1.0,-0.0002498328685760498,-0.000597536563873291,0.0006273090839385986
all,identity_scene,clean,54,0,A,1,-3,1,8,-0.34653617441654205,-0.26255062791385847,1.0,-0.0011591911315917969,-0.0010687410831451416,0.0013813674449920654
all,identity_scene,clean,54,0,A,1,-3,1,9,-0.07449549436569214,0.13720555415062102,1.0,-0.00027748942375183105,-0.0009146928787231445,0.0005977451801300049
all,identity_scene,clean,54,0,A,1,-3,1,10,0.18377362936735153,0.10370842581626197,1.0,-0.0007002651691436768,-0.0016109049320220947,0.0016005933284759521
all,identity_scene,clean,54,0,A,1,-3,1,11,-0.38777755200862885,0.08782734290882035,1.0,-0.0017186105251312256,-0.0010927319526672363,0.0012746155261993408
all,identity_scene,clean,54,0,A,1,-3,2,0,0.6211369931697845,0.21443035078545436,1.0,-5.2422285079956055e-05,-0.0001080632209777832,7.3909759521484375e-06
all,identity_scene,clean,54,0,A,1,-3,2,1,0.06353476643562317,0.4735738451740731,1.0,-0.0012512803077697754,-0.00043588876724243164,0.0007658004760742188
all,identity_scene,clean,54,0,A,1,-3,2,2,-0.15750399231910706,-0.14909822640562537,1.0,-0.0005353391170501709,-0.0007417500019073486,4.4286251068115234e-05
all,identity_scene,clean,54,0,A,1,-3,2,3,0.002272695302963257,0.1839270569365178,1.0,-0.00012999773025512695,1.0222196578979492e-05,8.627772331237793e-05
all,identity_scene,clean,54,0,A,1,-3,2,4,0.193241648375988,0.23222331145571345,1.0,-0.0003973543643951416,-0.00047138333320617676,0.0009734928607940674
all,identity_scene,clean,54,0,A,1,-3,2,5,0.08877403289079666,0.34167754038323683,1.0,-2.5816261768341064e-05,-0.0004184991121292114,-0.006369233131408691
all,identity_scene,clean,54,0,A,1,-3,2,6,0.3030339777469635,0.016445522307535217,1.0,-0.0003021657466888428,9.796023368835449e-05,-0.00020700693130493164
all,identity_scene,clean,54,0,A,1,-3,2,7,-0.15790152549743652,-0.0410843743525324,1.0,-0.0010077357292175293,-0.001000732183456421,0.0004283785820007324
all,identity_scene,clean,54,0,A,1,-3,2,8,0.2458605095744133,-0.23324118858065637,1.0,-0.0002899169921875,3.4689903259277344e-05,0.0004455447196960449
all,identity_scene,clean,54,0,A,1,-3,2,9,-0.1817212477326393,0.2781759646250431,1.0,-0.00015269219875335693,-0.00022175908088684082,0.00013083219528198242
all,identity_scene,clean,54,0,A,1,-3,2,10,-0.22763150930404663,0.8602536372141877,1.0,-0.0011179447174072266,-0.001317530870437622,-0.00022780895233154297
all,identity_scene,clean,54,0,A,1,-3,2,11,-0.6555827856063843,0.1392563012582652,1.0,-0.001058131456375122,-0.0003255009651184082,0.0008680820465087891
all,identity_scene,clean,54,0,A,1,-3,3,0,0.12093997001647949,0.3799696965117663,1.0,-0.0030659139156341553,0.0006997734308242798,-1.8596649169921875e-05
all,identity_scene,clean,54,0,A,1,-3,3,1,0.02400076389312744,-0.2350908436060466,1.0,-0.0003859102725982666,0.0004500746726989746,0.0005336403846740723
all,identity_scene,clean,54,0,A,1,-3,3,2,-0.4626433551311493,0.8476669287017369,1.0,-0.0005182921886444092,-0.0004062652587890625,0.0006361305713653564
all,identity_scene,clean,54,0,A,1,-3,3,3,-0.18852068483829498,0.3296605587422643,1.0,-0.0006294846534729004,-0.00027444958686828613,0.00040349364280700684
all,identity_scene,clean,54,0,A,1,-3,3,4,0.07626327872276306,0.35703440046087087,1.0,-0.0003934502601623535,-0.00017786026000976562,0.0014700889587402344
all,identity_scene,clean,54,0,A,1,-3,3,5,-0.42078210413455963,-0.038844675755744754,1.0,-0.0005658864974975586,-0.000463142991065979,-0.0001868903636932373
all,identity_scene,clean,54,0,A,1,-3,3,6,0.39226382970809937,0.26316914734418223,1.0,-0.0004114806652069092,-0.0004965066909790039,-0.00027424097061157227
all,identity_scene,clean,54,0,A,1,-3,3,7,-0.28432604670524597,0.12746140317798207,1.0,-5.2094459533691406e-05,-1.5169382095336914e-05,-2.8431415557861328e-05
all,identity_scene,clean,54,0,A,1,-3,3,8,-0.0720498263835907,0.17067869354579784,1.0,0.0006220042705535889,-6.702542304992676e-05,0.00014072656631469727
all,identity_scene,clean,54,0,A,1,-3,3,9,-0.07894161343574524,0.6855473328894068,1.0,-0.0003331303596496582,-0.00026702880859375,9.018182754516602e-05
all,identity_scene,clean,54,0,A,1,-3,3,10,0.5750874578952789,0.11914815514494136,1.0,-8.96453857421875e-05,0.00011920928955078125,0.0006390213966369629
all,identity_scene,clean,54,0,A,1,-3,3,11,0.1591355800628662,0.05874555861048476,1.0,-6.219744682312012e-05,-7.450580596923828e-05,0.0012413859367370605
all,identity_scene,clean,54,0,A,1,-3,4,0,0.09587940573692322,0.15804909005018447,0.9999999701976776,-0.00020968914031982422,-5.581974983215332e-05,0.00011098384857177734
all,identity_scene,clean,54,0,A,1,-3,4,1,0.42704862356185913,0.002624238888408001,1.0,3.4332275390625e-05,-0.00015661120414733887,0.0002903938293457031
all,identity_scene,clean,54,0,A,1,-3,4,2,0.3131762892007828,0.23993244478325448,1.0,-0.0006390810012817383,-0.00021964311599731445,0.0007911026477813721
all,identity_scene,clean,54,0,A,1,-3,4,3,0.17017154395580292,0.0977612009777073,1.0,-0.00018078088760375977,-2.35140323638916e-05,2.0563602447509766e-05
all,identity_scene,clean,54,0,A,1,-3,4,4,0.13941559940576553,0.20030666502254252,1.0,0.0002352893352508545,0.0007330477237701416,0.00024303793907165527
all,identity_scene,clean,54,0,A,1,-3,4,5,-0.16378067433834076,-0.4330206983538232,1.0,0.00016060471534729004,0.00020973384380340576,0.0007161498069763184
all,identity_scene,clean,54,0,A,1,-3,4,6,-0.09538941085338593,-0.06094223883123415,1.0,-0.00021955370903015137,-0.00012718141078948975,-0.0005558133125305176
all,identity_scene,clean,54,0,A,1,-3,4,7,-0.17062000930309296,0.43966930982743874,1.0,-0.00020608305931091309,-0.0001798868179321289,0.00017398595809936523
all,identity_scene,clean,54,0,A,1,-3,4,8,-0.05947042256593704,0.17442939676675248,1.0,-0.00023162364959716797,-0.0004302561283111572,-0.0002777576446533203
all,identity_scene,clean,54,0,A,1,-3,4,9,0.06765185296535492,0.6787733906538227,1.0,-0.0007430166006088257,-0.0011531561613082886,0.0003567337989807129
all,identity_scene,clean,54,0,A,1,-3,4,10,-0.4370664656162262,0.21317546099088794,1.0,-0.000932157039642334,-0.000534743070602417,0.00014030933380126953
all,identity_scene,clean,54,0,A,1,-3,4,11,0.047573477029800415,0.06781171496510069,1.0,-0.0005602836608886719,-0.0005145072937011719,0.00020119547843933105
all,identity_scene,clean,54,0,A,1,-3,5,0,-0.09009930491447449,0.08415710617751564,1.0,-0.0005099773406982422,-0.00030735135078430176,0.00016504526138305664
all,identity_scene,clean,54,0,A,1,-3,5,1,-0.2905348539352417,0.2613140352153041,1.0,-7.76052474975586e-05,-7.554888725280762e-05,0.0009905099868774414
all,identity_scene,clean,54,0,A,1,-3,5,2,-0.10001726448535919,0.45024520067888335,1.0,0.00017711520195007324,0.00015476346015930176,-0.00101470947265625
all,identity_scene,clean,54,0,A,1,-3,5,3,0.08863723278045654,0.8315470127029452,1.0,-0.0006382465362548828,-0.000553429126739502,0.00017571449279785156
all,identity_scene,clean,54,0,A,1,-3,5,4,-0.34417542815208435,0.6412853429472648,1.0,-0.0012088418006896973,-0.00013560056686401367,-0.005394399166107178
all,identity_scene,clean,54,0,A,1,-3,5,5,-0.11686941981315613,0.2792889487319068,1.0,-0.0005053579807281494,-5.027651786804199e-05,-0.0007663369178771973
all,identity_scene,clean,54,0,A,1,-3,5,6,-0.16128472983837128,0.525520813105941,1.0,-0.00010085105895996094,-0.00016874074935913086,0.0014861822128295898
all,identity_scene,clean,54,0,A,1,-3,5,7,0.27264294028282166,-0.09270456649767975,1.0,-0.00022813677787780762,-0.0003687739372253418,0.0002664923667907715
all,identity_scene,clean,54,0,A,1,-3,5,8,-0.0878649353981018,0.6616140137857356,1.0,-0.0003078877925872803,-1.385807991027832e-05,-0.00038191676139831543
all,identity_scene,clean,54,0,A,1,-3,5,9,0.15928605198860168,-0.16582328110526282,1.0,-0.00011903047561645508,-0.0004693269729614258,0.0004399418830871582
all,identity_scene,clean,54,0,A,1,-3,5,10,0.40915602445602417,0.19199151345989196,1.0,-0.0002624392509460449,-0.0001850128173828125,0.00027042627334594727
all,identity_scene,clean,54,0,A,1,-3,5,11,0.10576412081718445,0.44339865719912663,1.0,-0.0004757046699523926,-0.00037097930908203125,0.001893162727355957
all,identity_scene,clean,54,0,A,1,-3,6,0,0.09316450357437134,0.7632854915600988,1.0,-0.0002721846103668213,-0.0002588629722595215,0.0019777119159698486
all,identity_scene,clean,54,0,A,1,-3,6,1,0.15555720031261444,0.5159283942971263,1.0,-6.902217864990234e-05,9.441375732421875e-05,-0.0005875527858734131
all,identity_scene,clean,54,0,A,1,-3,6,2,-0.3996502459049225,0.8595025412534991,1.0,-8.955597877502441e-05,8.654594421386719e-05,0.0020909905433654785
all,identity_scene,clean,54,0,A,1,-3,6,3,0.053759217262268066,0.4857905523000927,1.0,0.0007300078868865967,0.0005535036325454712,0.0011538863182067871
all,identity_scene,clean,54,0,A,1,-3,6,4,0.25466540455818176,0.15193162114771472,1.0,-0.0003293156623840332,-4.2945146560668945e-05,8.022785186767578e-05
all,identity_scene,clean,54,0,A,1,-3,6,5,0.13421612977981567,0.7022902468763623,1.0,-0.0001563429832458496,0.00022643804550170898,0.0009118318557739258
all,identity_scene,clean,54,0,A,1,-3,6,6,0.08631479740142822,0.4119860147748426,1.0,0.0005812793970108032,0.0008413791656494141,0.0016349554061889648
all,identity_scene,clean,54,0,A,1,-3,6,7,0.05345731973648071,0.6146419552697723,1.0,0.00020390748977661133,0.0005286335945129395,0.002806931734085083
all,identity_scene,clean,54,0,A,1,-3,6,8,0.050914451479911804,1.0774484907349757,1.0,-0.00017192959785461426,-0.0002092421054840088,0.0006232857704162598
all,identity_scene,clean,54,0,A,1,-3,6,9,-0.12891295552253723,0.7521350745626516,1.0,0.00018420815467834473,0.0004347264766693115,0.0018877387046813965
