variant,minimum_feature_split_spearman,excluded_feature_groups,selection_status,selected_clusters,accepted_feature_count,best_diagnostic_k,best_split_label_agreement,best_split_ari,best_discovery_silhouette,best_bootstrap_ari_median,best_minimum_cluster_fraction,best_passed
rho_030,0.3,,no_stable_k,,23,3,0.9472222222222222,0.8479599221967643,0.2342512142079561,0.6942138122941055,0.022222222222222223,0
drop_episodic_compatibility,0.3,episodic_compatibility,no_stable_k,,23,3,0.9472222222222222,0.8479599221967643,0.2342512142079561,0.6942138122941055,0.022222222222222223,0
drop_history_intervention,0.3,history_intervention,no_stable_k,,19,2,0.9666666666666667,0.8644533459110065,0.2196170904918485,0.0941930185917147,0.2638888888888889,0
drop_history_specificity,0.3,history_specificity,no_stable_k,,22,2,0.9972222222222222,0.9685103215611683,0.45519800982886793,0.09549219743740968,0.05,0
drop_output_policy,0.3,output_policy,no_stable_k,,22,4,0.8916666666666667,0.7065169404195013,0.12742563660265532,0.5513867560725116,0.022222222222222223,0
drop_prompt_modulation,0.3,prompt_modulation,no_stable_k,,21,2,0.9694444444444444,0.8749485624284163,0.2651424247438088,0.6860572668354449,0.25555555555555554,0
drop_switch_plasticity,0.3,switch_plasticity,no_stable_k,,20,2,0.9638888888888889,0.8530588604101552,0.23291761318922458,0.11077514440723621,0.25555555555555554,0
drop_temporal_allocation,0.3,temporal_allocation,no_stable_k,,11,3,0.9694444444444444,0.7874287253214802,0.47479250389673033,0.2648192893890906,0.025,0
rho_050,0.5,,no_stable_k,,20,3,0.9333333333333333,0.7933119116578018,0.23816870206135268,0.7359264751409808,0.019444444444444445,0
rho_070,0.7,,no_stable_k,,20,3,0.9333333333333333,0.7933119116578018,0.23816870206135268,0.7359264751409808,0.019444444444444445,0
