variant,minimum_feature_split_spearman,excluded_feature_groups,selection_status,selected_clusters,accepted_feature_count,best_diagnostic_k,best_split_label_agreement,best_split_ari,best_discovery_silhouette,best_bootstrap_ari_median,best_minimum_cluster_fraction,best_passed
rho_030,0.3,,no_stable_k,,23,2,0.9833333333333333,0.8495901626696969,0.40120880137600634,0.08217989230239917,0.06111111111111111,0
drop_episodic_compatibility,0.3,episodic_compatibility,no_stable_k,,23,2,0.9833333333333333,0.8495901626696969,0.40120880137600634,0.08217989230239917,0.06111111111111111,0
drop_history_intervention,0.3,history_intervention,no_stable_k,,19,2,0.9833333333333333,0.8495901626696969,0.4256725701059242,0.1987844341302488,0.06111111111111111,0
drop_history_specificity,0.3,history_specificity,no_stable_k,,22,5,0.9388888888888889,0.87492852005637,0.1884143000340137,0.4989337267063385,0.002777777777777778,0
drop_output_policy,0.3,output_policy,no_stable_k,,22,3,0.9472222222222222,0.8523163037503068,0.1996844839943541,0.9029420598612801,0.03333333333333333,0
drop_prompt_modulation,0.3,prompt_modulation,validated_candidate,3,21,3,0.9638888888888889,0.8907579265799965,0.19755098609725433,0.839259656043924,0.05555555555555555,1
drop_switch_plasticity,0.3,switch_plasticity,no_stable_k,,20,2,0.9861111111111112,0.8721506864898596,0.4353723312127946,0.09288381899374856,0.06111111111111111,0
drop_temporal_allocation,0.3,temporal_allocation,no_stable_k,,11,2,0.9861111111111112,0.8721506864898596,0.4375091913852202,0.26685484553768796,0.06111111111111111,0
rho_050,0.5,,no_stable_k,,22,3,0.9694444444444444,0.9040935876987672,0.21984356085825804,0.2495242298444299,0.06111111111111111,0
rho_070,0.7,,no_stable_k,,22,3,0.9694444444444444,0.9040935876987672,0.21984356085825804,0.2495242298444299,0.06111111111111111,0
