layer,head,cluster,validation_cluster,split_agree,cluster_margin,pf_official,legacy_v98,forcing_kv,head_forcing,dummy_forcing
0,0,1,1,1,0.2798164236139333,-1,10,dynamic,memory,context
0,1,1,1,1,0.2166028279322364,1,10,static,memory,context
0,2,1,1,1,0.2823428500861088,1,10,dynamic,anchor,context
0,3,1,1,1,0.19290029553389829,1,10,dynamic,anchor,context
0,4,1,1,1,0.4316881452213409,-1,10,static,local,dummy
0,5,1,1,1,0.39895849776214315,-1,10,static,local,dummy
0,6,1,1,1,0.4560613590001805,-1,10,static,local,dummy
0,7,1,1,1,0.31165490440801485,-1,10,static,memory,context
0,8,1,1,1,0.17899239023349883,1,10,dynamic,anchor,context
0,9,0,0,1,0.21264326043596454,-1,10,dynamic,anchor,context
0,10,0,0,1,0.447359275105127,-1,10,dynamic,anchor,context
0,11,1,1,1,0.4546074616355434,-1,10,static,local,dummy
1,0,1,1,1,0.36231404450240307,-1,10,static,local,dummy
1,1,1,1,1,0.43290302667473884,-1,10,static,local,dummy
1,2,1,1,1,0.2361188772748997,-1,10,static,memory,dummy
1,3,1,1,1,0.4106624630913798,-1,10,static,memory,dummy
1,4,1,1,1,0.2166123720988262,-1,10,static,memory,context
1,5,0,0,1,0.16666533732286773,-1,10,dynamic,anchor,context
1,6,0,0,1,0.2628807598660038,-1,11,dynamic,anchor,context
1,7,2,2,1,0.1997843768381455,1,10,static,memory,context
1,8,1,1,1,0.26593109382201957,-1,10,static,local,dummy
1,9,1,1,1,0.49474506897571585,-1,11,static,memory,context
1,10,1,1,1,0.032357161355512434,-1,10,dynamic,memory,context
1,11,1,1,1,0.15098120966711617,1,10,static,local,dummy
2,0,2,2,1,0.4837122852783082,1,10,dynamic,memory,context
2,1,1,1,1,0.2111893728498573,-1,10,static,memory,context
2,2,1,1,1,0.19312892656077849,-1,10,dynamic,memory,context
2,3,1,1,1,0.3055964119132357,-1,10,static,local,dummy
2,4,0,0,1,0.5787840943058898,-1,11,static,memory,dummy
2,5,1,1,1,0.285615922232128,-1,10,dynamic,anchor,context
2,6,1,1,1,0.03074289909148554,2,10,dynamic,anchor,context
2,7,1,1,1,0.36984927119285627,-1,10,static,local,dummy
2,8,1,1,1,0.46819183450262114,-1,10,static,local,dummy
2,9,1,1,1,0.32328122512546126,1,10,dynamic,anchor,context
2,10,1,1,1,0.3863611821826482,-1,10,static,memory,context
2,11,1,1,1,0.3947207312829253,-1,10,static,local,dummy
3,0,1,1,1,0.5070386521959267,-1,11,static,anchor,dummy
3,1,1,1,1,0.4954159428017503,-1,10,static,memory,context
3,2,1,1,1,0.492770578229406,-1,10,static,memory,context
3,3,2,2,1,0.1671861717592985,1,10,dynamic,anchor,context
3,4,1,1,1,0.5051727131270826,-1,10,static,local,dummy
3,5,2,2,1,0.4090382099207601,1,10,dynamic,memory,context
3,6,2,2,1,0.4904446757222784,1,10,dynamic,memory,context
3,7,1,1,1,0.4443451271827677,-1,10,static,anchor,dummy
3,8,1,1,1,0.3618802018130818,-1,11,static,memory,dummy
3,9,1,1,1,0.22440116507910682,1,10,static,memory,context
3,10,1,2,0,0.12201145766103601,1,10,dynamic,anchor,context
3,11,1,1,1,0.1500518559561421,-1,11,static,memory,context
4,0,1,1,1,0.31781069509206183,-1,10,static,local,dummy
4,1,2,2,1,0.216465324582152,1,10,dynamic,memory,context
4,2,1,1,1,0.35098951216969393,1,10,static,memory,context
4,3,0,0,1,0.03271554788716349,2,11,static,memory,context
4,4,1,1,1,0.4320995637099315,-1,10,static,memory,context
4,5,1,1,1,0.3837455465271581,-1,10,static,memory,dummy
4,6,1,1,1,0.2823863684870603,1,10,dynamic,anchor,context
