feature,conceptual_group,coordinate_system,finite_heads,discovery_iqr,split_spearman,raw_discovery_iqr,raw_split_spearman,layer_residual_discovery_iqr,layer_residual_split_spearman,discovery_layer_eta_squared,validation_layer_eta_squared,minimum_split_spearman,excluded_by_group_ablation,accepted,reason
v136_prompt.age_js_score,prompt_modulation,raw,360,0.05414060816333669,0.7946498133790418,0.05414060816333669,0.7946498133790418,0.03575430926510324,0.7575674020474678,0.2892684923984859,0.26744874653150613,0.7,0,1,accepted
v136_prompt.cphi_score,prompt_modulation,raw,360,0.362640589976959,0.7658424616115892,0.362640589976959,0.7658424616115892,0.13844563930572135,0.45792958380092535,0.6555965358086573,0.5757319230720088,0.7,0,1,accepted
v136_temporal.middle_recent_margin,temporal_allocation,raw,360,1.0912010073661804,0.9939472269590558,1.0912010073661804,0.9939472269590558,0.7367213636171073,0.9895323266383227,0.20093827179969947,0.21295590777567316,0.7,0,1,accepted
v136_temporal.old_mass_excess,temporal_allocation,raw,360,0.2895287089049816,0.9941923420190998,0.2895287089049816,0.9941923420190998,0.2123739868402481,0.9888725993256121,0.20436505938236643,0.2257203991289314,0.7,0,1,accepted
v136_temporal.positive_logit_fraction,temporal_allocation,raw,360,0.0,0.9810388287290688,0.0,0.9810388287290688,0.0,0.9810388287290688,0.06703302031019341,0.06727348919091392,0.7,0,0,near_zero_discovery_iqr
v136_temporal.sign_switch_rate,temporal_allocation,raw,360,0.0,0.978811553536358,0.0,0.978811553536358,0.0,0.978811553536358,0.07876347067720325,0.08214104923699102,0.7,0,0,near_zero_discovery_iqr
v136_temporal.spectral_peak_ratio,temporal_allocation,raw,360,0.1605774089694023,0.9867079735697547,0.1605774089694023,0.9867079735697547,0.11126431077718735,0.9782786389812679,0.3119577038305354,0.301971335585334,0.7,0,1,accepted
v136_temporal.temporal_reach_ratio,temporal_allocation,raw,360,0.14460090547800064,0.9949770702963242,0.14460090547800064,0.9949770702963242,0.12158353254199028,0.9925506112444282,0.1343996542674554,0.1347411489945325,0.7,0,1,accepted
v138_cross.history_specificity,history_specificity,raw,360,0.06731262430548668,0.9629729653263785,0.06731262430548668,0.9629729653263785,0.03776179812848568,0.9346458434607262,0.3764674988272622,0.3621835279369817,0.7,0,1,accepted
v138_local.freeze_latest_relative_log,history_intervention,raw,360,0.1615665449147698,0.9564078426531069,0.1615665449147698,0.9564078426531069,0.1316724744054146,0.9221110245192222,0.17833151522379626,0.17399883574474884,0.7,0,1,accepted
v138_local.phase_shift_relative_log,history_intervention,raw,360,1.4874991603387955,0.9977715877437325,1.4874991603387955,0.9977715877437325,1.008796353036662,0.9957183311599626,0.350679490404601,0.34894548117097723,0.7,0,1,accepted
v138_local.reverse_relative_log,history_intervention,raw,360,1.217348359485217,0.9967756952857145,1.217348359485217,0.9967756952857145,0.849501483431274,0.9921779231835636,0.37601422946704605,0.37332592767704975,0.7,0,1,accepted
v138_local.value_mismatch_relative_log,history_intervention,raw,360,0.9971451285674596,0.9905490525904262,0.9971451285674596,0.9905490525904262,0.5129481933814439,0.9806405399218615,0.5445520454189031,0.5298968961268976,0.7,0,1,accepted
v143_ab.persistent_content,episodic_compatibility,raw,360,0.0005674483254551888,0.2903426889034271,0.0005674483254551888,0.2903426889034271,0.0004511927254498005,0.13914559469852955,0.32608507223790306,0.33301968552404526,0.7,0,0,insufficient_split_spearman
v143_ab.persistent_output,episodic_compatibility,raw,360,0.0017738137394189835,0.2267642053002873,0.0017738137394189835,0.2267642053002873,0.0014359001070261002,0.16573242585125314,0.2674423284380584,0.13852634359883953,0.7,0,0,insufficient_split_spearman
v143_ab.policy_prompt_score,switch_plasticity,raw,360,0.32971498528733756,0.8101280213838822,0.32971498528733756,0.8101280213838822,0.1389559101631697,0.3786868602949669,0.6866866308959777,0.6999117154860279,0.7,0,1,accepted
v143_ab.prompt_history_excess,switch_plasticity,raw,360,0.17045848030829802,0.44745226575153685,0.17045848030829802,0.44745226575153685,0.1424406511359848,0.3554535734228915,0.2157773561466953,0.21770571386597748,0.7,0,0,insufficient_split_spearman
v143_ab.stale_a_mass_B_visible,switch_plasticity,raw,360,0.16826460883021355,0.9429463190302394,0.16826460883021355,0.9429463190302394,0.11366796027868986,0.9360396299354161,0.19973598723576022,0.15307485147216324,0.7,0,1,accepted
v143_natural.current_mass,temporal_allocation,raw,360,0.40643310546875,0.9970639530453868,0.40643310546875,0.9970639530453868,0.308746337890625,0.9964833808722007,0.11802728327139111,0.11698811387435365,0.7,0,1,accepted
v143_natural.history_mean_logit,temporal_allocation,raw,360,1.8284904807806015,0.9987312144898237,1.8284904807806015,0.9987312144898237,1.4991024418009653,0.9979899536261853,0.10817211891447702,0.10897928546977281,0.7,0,1,accepted
v143_natural.history_positive_rate,temporal_allocation,raw,360,0.4722222222222222,0.9899175813183448,0.4722222222222222,0.9899175813183448,0.25,0.9914969066100253,0.07894433326227573,0.0780548635001128,0.7,0,1,accepted
v143_natural.last4_mass,temporal_allocation,raw,360,0.33270263671875,0.9958117558005772,0.33270263671875,0.9958117558005772,0.2537078857421875,0.9939801451530362,0.1166481617685734,0.11796917242835736,0.7,0,1,accepted
v143_natural.middle_mass,temporal_allocation,raw,360,0.16591358184814453,0.9939953871805977,0.16591358184814453,0.9939953871805977,0.1266946792602539,0.9900945737750033,0.1233595021102127,0.13108840168250696,0.7,0,1,accepted
v143_natural.oldest1_mass,temporal_allocation,raw,360,0.017400503158569336,0.9899758054865824,0.017400503158569336,0.9899758054865824,0.013033151626586914,0.9866643072509841,0.13764873850365664,0.15271582557573773,0.7,0,1,accepted
v143_natural.policy_need,output_policy,raw,360,0.033044358948245645,0.9829615454851761,0.033044358948245645,0.9829615454851761,0.026997884968295693,0.9801806598301942,0.10815509774584711,0.11585716276584945,0.7,0,1,accepted
v143_natural.recent4_mass,temporal_allocation,raw,360,0.17029190063476562,0.993201396359417,0.17029190063476562,0.993201396359417,0.10741841793060303,0.9898774913071908,0.13463346317980157,0.1332975616572574,0.7,0,1,accepted
v143_natural.recent4_non_oldest_ratio,temporal_allocation,raw,360,0.17596054077148438,0.9937381802791697,0.17596054077148438,0.9937381802791697,0.1112060546875,0.9897273453464236,0.1357217041796996,0.13456904993002575,0.7,0,1,accepted
