variant,measure,mode,current_frame,nominal_timestep,raw_split_spearman,layer_residual_split_spearman,discovery_layer_eta_squared,validation_layer_eta_squared
action,query_shift,clean,63,0,0.9792408377636659,0.9542895135507733,0.38306790327607615,0.35928041552175805
action,key_shift,clean,63,0,0.9853000408953771,0.9638297106201951,0.542841303468326,0.5886109546235451
action,value_shift,clean,63,0,0.9264868298880907,0.8061355926100252,0.637799244578356,0.6572578042194455
action,value_scale_shift,clean,63,0,0.8276144106050201,0.8079205858069892,0.5041217240518082,0.3093419684567254
action,compatibility_loss,clean,63,0,0.8898990990156816,0.7937406924436144,0.35117992744538984,0.3477985902769817
action,policy_shift,clean,63,0,0.7025854108956601,0.6713452007088531,0.1329683206801051,0.16657202073458283
action,topology_normalized_entropy_shift,clean,63,0,0.6242522646746664,0.4583956892588493,0.3007421850888556,0.2529999823910815
action,topology_diagonal_mass_shift,clean,63,0,0.736742731990892,0.5837416730684898,0.35871395920732374,0.2357039440744157
action,topology_expected_displacement_shift,clean,63,0,0.8519768341183004,0.8067205255390699,0.09661763222071988,0.07122291421795784
action,topology_directional_coherence_shift,clean,63,0,0.46159465566142377,0.3219184824980917,0.2494966639581915,0.2518782661656929
action,topology_top1_displacement_shift,clean,63,0,0.870664193451297,0.7814650737234528,0.11217883026031772,0.11798670826875311
action,query_shift,clean,117,0,0.9763691592270517,0.9582077536606506,0.36319404173726627,0.3566695718765256
action,key_shift,clean,117,0,0.9871519070363197,0.9745620465178485,0.4881990078775605,0.518715833680184
action,value_shift,clean,117,0,0.8882334483033563,0.8147961532624993,0.4811327880707265,0.5637355369155121
action,value_scale_shift,clean,117,0,0.8645761155564472,0.7221223414789723,0.48480871459730834,0.4324097014924829
action,compatibility_loss,clean,117,0,0.9253078084450239,0.8525199525716505,0.3438133797619922,0.3429324377558532
action,policy_shift,clean,117,0,0.6617936866796812,0.6230590771019324,0.14387937610990711,0.15972841461374226
action,topology_normalized_entropy_shift,clean,117,0,0.6321721084181452,0.5189329716360731,0.2535876101396025,0.23738158975165263
action,topology_diagonal_mass_shift,clean,117,0,0.6626733024214979,0.619503857298723,0.22844531532443355,0.30178615904920864
action,topology_expected_displacement_shift,clean,117,0,0.8190562586473161,0.7840400229502861,0.0740003329502808,0.10645560780343444
action,topology_directional_coherence_shift,clean,117,0,0.3824900251526078,0.2692618686140761,0.16840114598373424,0.17517753479997902
