variant,measure,context_count,median_layer_residual_split_spearman,minimum_layer_residual_split_spearman,median_layer_residual_cross_context_spearman,minimum_layer_residual_cross_context_spearman,state_interpretation
action,query_shift,6,0.9420290022813962,0.9085435128672136,0.831081772750304,0.7565750496051828,context_stable_candidate
action,key_shift,6,0.9691958785690218,0.9638297106201951,0.9545199680038684,0.9545199680038684,context_stable_candidate
action,value_shift,6,0.8104658729362623,0.8061355926100252,0.8445654158854105,0.8445654158854105,context_stable_candidate
action,value_scale_shift,6,0.7650214636429807,0.7221223414789723,0.7536020082459484,0.7536020082459484,context_stable_candidate
action,compatibility_loss,6,0.7726568106235387,0.6415219253234979,0.7373220472380188,0.604857804972775,context_stable_candidate
action,policy_shift,6,0.63246655709792,0.5546573147426549,0.5705090317054915,0.4007116824461094,context_stable_candidate
action,topology_normalized_entropy_shift,6,0.42933948355669793,0.4065839394994066,0.5716010640829724,0.4582540581835723,state_conditioned_or_unstable
action,topology_diagonal_mass_shift,6,0.6148888033809605,0.5198135366032741,0.5907389061326914,0.43667212647896375,context_stable_candidate
action,topology_expected_displacement_shift,6,0.7883202125056337,0.7516612307726552,0.7479657273436567,0.6986123925748771,context_stable_candidate
action,topology_directional_coherence_shift,6,0.2607252558016705,0.1908932278721087,0.29515149231494986,0.1709779359123073,state_conditioned_or_unstable
action,topology_top1_displacement_shift,6,0.7742495700700871,0.7256666784470759,0.730475602179352,0.6769746400452984,context_stable_candidate
action_excess_seed,query_shift,6,0.41646476181657777,0.10114892861827636,0.33113835754905513,-0.004113200461937721,state_conditioned_or_unstable
action_excess_seed,key_shift,6,0.04194914055406806,-0.0027605665681576757,0.32532504108828,0.32532504108828,state_conditioned_or_unstable
action_excess_seed,value_shift,6,0.11618711049725176,0.09167097482748066,0.1741829283662168,0.1741829283662168,state_conditioned_or_unstable
action_excess_seed,value_scale_shift,6,-0.10431137585938163,-0.169600588481907,0.14133390946946606,0.14133390946946606,state_conditioned_or_unstable
action_excess_seed,compatibility_loss,6,0.03595320951550551,-0.008411587537969686,0.14308418017628735,0.03758773858851791,state_conditioned_or_unstable
action_excess_seed,policy_shift,6,0.03478434761585095,-0.017870765463725284,0.05912082654958757,-0.05988857938718663,state_conditioned_or_unstable
