feature,raw_split_spearman,layer_residual_split_spearman,discovery_layer_eta_squared,validation_layer_eta_squared,raw_discovery_iqr,layer_residual_discovery_iqr
seed_control.query_shift,0.9901233805816402,0.9772714295634997,0.44237573358019777,0.4265949614404818,0.19251928105950356,0.10836793296039104
seed_control.key_shift,0.991329408405929,0.9784746281478509,0.520617962404126,0.5372027488483366,0.3226275220513344,0.15281721204519272
seed_control.value_shift,0.9588777691185888,0.9136770602653826,0.5798672355578385,0.5397425768190256,0.15936728566884995,0.08503120578825474
seed_control.value_scale_shift,0.8926200562247136,0.8304886611779412,0.4987642051336665,0.38984620326401453,0.04904767218977213,0.023171571781858802
seed_control.compatibility_loss,0.9225847936069465,0.8540549438395872,0.4413554629738923,0.43054527479543986,0.10274570249021053,0.05187813472002745
seed_control.policy_shift,0.8393933080759366,0.7783449975179849,0.3140361757149987,0.2704387815435755,0.05866913264617324,0.0405296478420496
seed_control.topology_normalized_entropy_shift,0.7031246895466327,0.6250489490974397,0.41390218422609754,0.26610201147779683,0.045665740966796875,0.02868783473968506
seed_control.topology_diagonal_mass_shift,0.7586785230353872,0.7065015381135928,0.43178933195466235,0.3646237393482031,0.05663299560546875,0.03572845458984375
seed_control.topology_expected_displacement_shift,0.8738847082920657,0.8585451866327655,0.13357619464659579,0.19203799825706172,0.020136356353759766,0.016609735786914825
seed_control.topology_directional_coherence_shift,0.6764849916460218,0.5493366492031809,0.2962103754640598,0.29860003382637135,0.09367847442626953,0.0647430419921875
seed_control.topology_top1_displacement_shift,0.902584088597602,0.8693359022966703,0.19294011779298906,0.22107509347994217,0.02494049072265625,0.01776719093322754
paraphrase.query_shift,0.9846107351651375,0.9623461600783957,0.5286137124977884,0.5166678643174706,0.18144511058926582,0.08619736507534981
paraphrase.key_shift,0.9860395013336007,0.9694015128717556,0.5396505541259545,0.5836747191574699,0.3006417788565159,0.1607164740562439
paraphrase.value_shift,0.9378449422192043,0.8451911923188706,0.6309824080853889,0.7192738079379664,0.16207845136523247,0.07470142096281052
paraphrase.value_scale_shift,0.8787192288006337,0.8323965977103732,0.44637635519155183,0.36048294228308103,0.03820706810802221,0.02239099843427539
paraphrase.compatibility_loss,0.918448444818247,0.8310833159720881,0.4281975273685937,0.437086369775452,0.0933041013777256,0.04586055688560009
paraphrase.policy_shift,0.8808445024009957,0.8142943489790301,0.2846102873554335,0.33232197701827587,0.05901715997606516,0.03922280692495406
paraphrase.topology_normalized_entropy_shift,0.7523452707719513,0.6720423584089625,0.3707423544492245,0.3440521211847789,0.042784929275512695,0.02555227279663086
paraphrase.topology_diagonal_mass_shift,0.8082567581494585,0.78588920305051,0.35337504309482864,0.32907666710619676,0.06121826171875,0.043712615966796875
paraphrase.topology_expected_displacement_shift,0.8943555105506318,0.8771947828815551,0.1185717066531967,0.18188741079636073,0.018599271774291992,0.014569073915481567
paraphrase.topology_directional_coherence_shift,0.6785984395699387,0.5420457313317055,0.30895399490377223,0.37937719386866536,0.09158086776733398,0.06641662120819092
paraphrase.topology_top1_displacement_shift,0.9259869014711135,0.8958866362814133,0.2190997483141182,0.21122010548233847,0.02708911895751953,0.017653226852416992
identity.query_shift,0.984518399061721,0.9626805247982879,0.5095196834456528,0.508959866913212,0.1765494905412197,0.09031966142356396
identity.key_shift,0.9884070607540696,0.9707544039691663,0.5274860406623131,0.5679171677438113,0.289593618363142,0.14151049964129925
identity.value_shift,0.9446304884039741,0.8559142688858197,0.6165233171198415,0.6669099000411031,0.15830498188734055,0.08587429858744144
identity.value_scale_shift,0.8702562005365267,0.8492244024516649,0.4168114476317514,0.347021746292721,0.04044675547629595,0.024565993109717965
identity.compatibility_loss,0.8885945622008401,0.8071199109046622,0.40550199868089054,0.4314698257747275,0.08771696221083403,0.04481801018118858
identity.policy_shift,0.8585475196567874,0.7879783023017152,0.32566057814605814,0.31278049536579744,0.056861016899347305,0.03672229719813913
identity.topology_normalized_entropy_shift,0.7516959252718548,0.6243429246772305,0.3770661837484335,0.40344987520000947,0.032989501953125,0.02059483528137207
identity.topology_diagonal_mass_shift,0.8296297220334921,0.7141578012195074,0.4020974323457296,0.42555054286927774,0.053379058837890625,0.03512763977050781
identity.topology_expected_displacement_shift,0.9081050821406014,0.8755947190950547,0.1389307353444234,0.23770767066921106,0.018529653549194336,0.014866232872009277
identity.topology_directional_coherence_shift,0.7271181595221318,0.6092946459585188,0.3542419598411766,0.34026767010748155,0.08951187133789062,0.06893301010131836
identity.topology_top1_displacement_shift,0.9346902910465713,0.9139993533733072,0.21812174330716752,0.23885266009715037,0.02586984634399414,0.01677989959716797
scene.query_shift,0.9881326244801271,0.9676435260560138,0.4911944468090864,0.49456917321922533,0.17124617099761963,0.09182932786643505
scene.key_shift,0.9888103560469859,0.9748377688099445,0.5167401386303522,0.5394655158099557,0.30993685871362686,0.14770911820232868
scene.value_shift,0.9488203355478565,0.8822465193918676,0.5641054835994836,0.5377376911124704,0.16104589775204659,0.08396215736865997
scene.value_scale_shift,0.8790602808149239,0.7922782325995313,0.48135033138989847,0.41530529433106445,0.0426602684892714,0.023067663423717022
scene.compatibility_loss,0.9282010920866157,0.8671947057204659,0.41759097005847756,0.432158131201324,0.0951913958415389,0.048930189572274685
scene.policy_shift,0.8470155376713296,0.7553327314768374,0.2896246517414802,0.29685324560846166,0.053979167714715004,0.039242395432665944
scene.topology_normalized_entropy_shift,0.7351867140034978,0.6456860506037241,0.33639940784339467,0.2798450651426371,0.044178009033203125,0.027824759483337402
scene.topology_diagonal_mass_shift,0.8324290543594742,0.7752184192537666,0.3454755924295845,0.30077796893219055,0.0655975341796875,0.045291900634765625
scene.topology_expected_displacement_shift,0.8861040447976837,0.8439649539431897,0.16872805384511827,0.12578493096576945,0.020073413848876953,0.013786911964416504
scene.topology_directional_coherence_shift,0.6604065850842157,0.529157700439784,0.33542667942015597,0.341416175972749,0.09569644927978516,0.0672156810760498
scene.topology_top1_displacement_shift,0.928131302116542,0.8825082863270197,0.22963098990357744,0.21445780304857476,0.029081344604492188,0.01849055290222168
action.query_shift,0.9852424272821034,0.9586043616591692,0.5167209847300316,0.4994056877936975,0.18786439299583435,0.09916960261762142
action.key_shift,0.988157316028673,0.97173743624565,0.5210002300772199,0.5615218692414226,0.31440043076872826,0.1586586982011795
