dataset_index,family_index,variant,seed,state_count,record_count,path
0,0,base,144000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00000_v144_f00_base.pt
1,0,seed_control,154000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00001_v144_f00_seed_control.pt
2,0,paraphrase,144000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00002_v144_f00_paraphrase.pt
3,0,identity,144000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00003_v144_f00_identity.pt
4,0,scene,144000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00004_v144_f00_scene.pt
5,0,action,144000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00005_v144_f00_action.pt
6,0,camera,144000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00006_v144_f00_camera.pt
7,0,full_semantic,144000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00007_v144_f00_full_semantic.pt
8,1,base,144001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00008_v144_f01_base.pt
9,1,seed_control,154001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00009_v144_f01_seed_control.pt
10,1,paraphrase,144001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00010_v144_f01_paraphrase.pt
11,1,identity,144001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00011_v144_f01_identity.pt
12,1,scene,144001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00012_v144_f01_scene.pt
13,1,action,144001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00013_v144_f01_action.pt
14,1,camera,144001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00014_v144_f01_camera.pt
15,1,full_semantic,144001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00015_v144_f01_full_semantic.pt
16,2,base,144002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00016_v144_f02_base.pt
17,2,seed_control,154002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00017_v144_f02_seed_control.pt
18,2,paraphrase,144002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00018_v144_f02_paraphrase.pt
19,2,identity,144002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00019_v144_f02_identity.pt
20,2,scene,144002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00020_v144_f02_scene.pt
21,2,action,144002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00021_v144_f02_action.pt
22,2,camera,144002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00022_v144_f02_camera.pt
23,2,full_semantic,144002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00023_v144_f02_full_semantic.pt
24,3,base,144003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00024_v144_f03_base.pt
25,3,seed_control,154003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00025_v144_f03_seed_control.pt
26,3,paraphrase,144003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v144_deep_head_profile/factorized128/profiles/00026_v144_f03_paraphrase.pt
