variant,axis,mode,current_frame,nominal_timestep,layer_residual_family_split_spearman,layer_residual_seed_replicate_spearman,median_seed_delta_direction_cosine,median_cross_factor_specificity_margin,reproducible_context_candidate
paraphrase,q_shift,clean,63,0,0.9711888209013958,0.9756754810350903,0.08137039840221405,0.09983711846871302,1
paraphrase,k_shift,clean,63,0,0.978899528545745,0.9847221043372247,0.10380008816719055,0.14144157990813255,1
paraphrase,v_shift,clean,63,0,0.8931048850685576,0.915670131199572,0.08590742386877537,0.1172960214316845,1
paraphrase,q_shift,clean,117,0,0.9781320329117766,0.9689588654233442,0.08311588782817125,0.10822287946939468,1
paraphrase,k_shift,clean,117,0,0.9839831583062626,0.9787102266735596,0.02032470703125,0.05921103060245514,0
paraphrase,v_shift,clean,117,0,0.9187599184150083,0.919890585575506,0.01581361924763769,0.053012434393167496,0
paraphrase,q_shift,noisy,63,500,0.9585313158280542,0.9668528820952835,0.06637441413477063,0.10313605330884457,1
paraphrase,k_shift,noisy,63,500,0.978899528545745,0.9847221043372247,0.10380008816719055,0.14144157990813255,1
paraphrase,v_shift,noisy,63,500,0.8931048850685576,0.915670131199572,0.08590742386877537,0.1172960214316845,1
paraphrase,q_shift,noisy,63,1000,0.9386701105784799,0.9537317375490216,0.08882910199463367,0.12780915899202228,1
paraphrase,k_shift,noisy,63,1000,0.978899528545745,0.9847221043372247,0.10380008816719055,0.14144157990813255,1
paraphrase,v_shift,noisy,63,1000,0.8931048850685576,0.915670131199572,0.08590742386877537,0.1172960214316845,1
paraphrase,q_shift,noisy,117,500,0.974325419177617,0.9575025013053085,0.09498262125998735,0.11729888059198856,1
paraphrase,k_shift,noisy,117,500,0.9839831583062626,0.9787102266735596,0.02032470703125,0.05921103060245514,0
paraphrase,v_shift,noisy,117,500,0.9187599184150083,0.919890585575506,0.01581361924763769,0.053012434393167496,0
paraphrase,q_shift,noisy,117,1000,0.9576758430866394,0.956242394530415,0.05903413612395525,0.10520930588245392,1
paraphrase,k_shift,noisy,117,1000,0.9839831583062626,0.9787102266735596,0.02032470703125,0.05921103060245514,0
paraphrase,v_shift,noisy,117,1000,0.9187599184150083,0.919890585575506,0.01581361924763769,0.053012434393167496,0
identity,q_shift,clean,63,0,0.9651198440317182,0.9746602983047709,-0.04468591045588255,0.022757796570658684,0
identity,k_shift,clean,63,0,0.9767549646730813,0.9829864942373525,-0.07938399910926819,0.018053263425827026,0
identity,v_shift,clean,63,0,0.8661242242095488,0.9060417132848245,-0.055580934742465615,0.013628290966153145,0
identity,q_shift,clean,117,0,0.9786374380460754,0.9775893332510281,-0.044844331219792366,0.010706230998039246,0
identity,k_shift,clean,117,0,0.9817953842236435,0.9877252139291198,0.056057654321193695,0.045952850952744484,1
identity,v_shift,clean,117,0,0.8871791706211726,0.9172280135906399,0.023782574804499745,0.03188352659344673,0
identity,q_shift,noisy,63,500,0.9467480458954158,0.9694737870919785,-0.04053303971886635,0.028536341967992485,0
identity,k_shift,noisy,63,500,0.9767549646730813,0.9829864942373525,-0.07938399910926819,0.018053263425827026,0
identity,v_shift,noisy,63,500,0.8661242242095488,0.9060417132848245,-0.055580934742465615,0.013628290966153145,0
identity,q_shift,noisy,63,1000,0.9525776224096391,0.9519487364021084,-0.02189292898401618,0.02160406205803156,0
identity,k_shift,noisy,63,1000,0.9767549646730813,0.9829864942373525,-0.07938399910926819,0.018053263425827026,0
identity,v_shift,noisy,63,1000,0.8661242242095488,0.9060417132848245,-0.055580934742465615,0.013628290966153145,0
identity,q_shift,noisy,117,500,0.9702520852784356,0.9759452876436803,-0.01785045606084168,0.03350948914885521,0
identity,k_shift,noisy,117,500,0.9817953842236435,0.9877252139291198,0.056057654321193695,0.045952850952744484,1
identity,v_shift,noisy,117,500,0.8871791706211726,0.9172280135906399,0.023782574804499745,0.03188352659344673,0
identity,q_shift,noisy,117,1000,0.9671091331995997,0.9592034316341751,-0.018604853365104645,0.038578633684664965,0
identity,k_shift,noisy,117,1000,0.9817953842236435,0.9877252139291198,0.056057654321193695,0.045952850952744484,1
identity,v_shift,noisy,117,1000,0.8871791706211726,0.9172280135906399,0.023782574804499745,0.03188352659344673,0
scene,q_shift,clean,63,0,0.9741782987008645,0.9812303078470255,0.1565795447677374,0.145747191272676,1
scene,k_shift,clean,63,0,0.9836343901830519,0.9901285246542539,0.17840837500989437,0.1717644811142236,1
scene,v_shift,clean,63,0,0.9063614173977679,0.9314979282247547,0.19916125014424324,0.17601820919662714,1
scene,q_shift,clean,117,0,0.9755070126569905,0.9802799404316389,0.167497880756855,0.15403504855930805,1
scene,k_shift,clean,117,0,0.9877442469977906,0.9883255272031419,0.22898577898740768,0.17527151107788086,1
scene,v_shift,clean,117,0,0.9098154049542563,0.9433048608914162,0.2020922675728798,0.1657742630923167,1
scene,q_shift,noisy,63,500,0.960207254685607,0.9711222051610481,0.16360053420066833,0.16817618254572153,1
scene,k_shift,noisy,63,500,0.9836343901830519,0.9901285246542539,0.17840837500989437,0.1717644811142236,1
scene,v_shift,noisy,63,500,0.9063614173977679,0.9314979282247547,0.19916125014424324,0.17601820919662714,1
scene,q_shift,noisy,63,1000,0.9463420054441724,0.9700405907978932,0.22668477520346642,0.18909367825835943,1
