variant,axis,raw_family_split_spearman,layer_residual_family_split_spearman,raw_seed_replicate_spearman,layer_residual_seed_replicate_spearman,median_seed_delta_direction_cosine,median_cross_factor_specificity_margin,discovery_layer_residual_iqr,reproducible_factor_axis_candidate
paraphrase,q_shift,0.9919623865410484,0.9736073066407405,0.9908906190119777,0.970954765597471,0.07733560143969953,0.10384931083535776,0.08577637374401093,1
paraphrase,k_shift,0.992539294284678,0.9835574862974764,0.9950452292584562,0.98687104067161,0.054824758670292795,0.09674055059440434,0.14228218793869019,1
paraphrase,v_shift,0.9713665486102001,0.9257666597221686,0.9776307430355686,0.936341586997842,0.044450863264501095,0.08505843859165907,0.07502696197479963,0
paraphrase,value_scale_shift,0.9260392955706962,0.8624508419560849,0.9536084383367155,0.9103825389599198,nan,nan,0.022114995634183288,1
paraphrase,policy_shift,0.9223371065105954,0.8688269199608021,0.9345864294220377,0.8792863628062974,nan,nan,0.03399693439132534,1
identity,q_shift,0.9890721893430248,0.9674627119036411,0.9936619881326244,0.9748706908746724,-0.02468622289597988,0.026657976355636492,0.07748101744800806,0
identity,k_shift,0.9905356780016307,0.9858288515600685,0.9950218237280637,0.9870119882612262,0.00038068427238613367,0.03698072908446193,0.14662760309875011,0
identity,v_shift,0.9460888329899664,0.8931295766171035,0.9716947404429561,0.9416703318184039,-0.011139290407299995,0.0220881886780262,0.08030246570706367,0
identity,value_scale_shift,0.9269623994012298,0.8944060782362003,0.9445818769177745,0.9089599456785931,nan,nan,0.02227457065600902,1
identity,policy_shift,0.9102619104571279,0.8783632589757637,0.9288160659675871,0.8973065635794514,nan,nan,0.04181759036146104,1
scene,q_shift,0.9930210366849538,0.9806330810165717,0.9947630768755931,0.9864217059288007,0.1909307693131268,0.16310248780064285,0.09119655191898346,1
scene,k_shift,0.9954925063722199,0.9883175538905907,0.9959778496233251,0.9920745273240277,0.20420758915133774,0.17663976282346994,0.1510158833116293,1
scene,v_shift,0.9684097356718288,0.9287026391664546,0.9754113329063752,0.9458738107547126,0.19358530826866627,0.16456692467909306,0.07518503349274397,1
scene,value_scale_shift,0.9487210549464117,0.8984163972458635,0.9632540888947188,0.9169857277705332,nan,nan,0.024234615499153733,1
scene,policy_shift,0.925372623759957,0.8882236745653901,0.9219425561411223,0.8970524463923333,nan,nan,0.04243050457444042,1
full_semantic,q_shift,0.9936666177979767,0.9829978111971028,0.9955398318402662,0.9881629745085481,0.30974046513438225,0.29024184173067624,0.11071938648819923,1
full_semantic,k_shift,0.9952425044431926,0.9907972540940387,0.9972692690530018,0.9923394470636345,0.3595835701562464,0.3269183248048648,0.1720936680212617,1
full_semantic,v_shift,0.9696764635529596,0.9369712214857625,0.9553525361564004,0.9465872936262366,0.3553559638094157,0.32420415757223964,0.0826759235933423,1
full_semantic,value_scale_shift,0.9492953906537345,0.8980254477272199,0.9692700818164749,0.9270925444383573,nan,nan,0.024795396369881928,1
full_semantic,policy_shift,0.9139651283317514,0.8823666334873983,0.9238396901210657,0.8919294644763205,nan,nan,0.04625340283382684,1
