variant,layer,head,discovery_q_shift_seed0,discovery_q_shift_seed1,discovery_q_shift_mean,discovery_q_shift_seed_gap,discovery_k_shift_seed0,discovery_k_shift_seed1,discovery_k_shift_mean,discovery_k_shift_seed_gap,discovery_v_shift_seed0,discovery_v_shift_seed1,discovery_v_shift_mean,discovery_v_shift_seed_gap,discovery_value_scale_shift_seed0,discovery_value_scale_shift_seed1,discovery_value_scale_shift_mean,discovery_value_scale_shift_seed_gap,discovery_policy_shift_seed0,discovery_policy_shift_seed1,discovery_policy_shift_mean,discovery_policy_shift_seed_gap,discovery_q_delta_seed_cosine,discovery_q_delta_cross_factor_cosine,discovery_q_delta_specificity_margin,discovery_k_delta_seed_cosine,discovery_k_delta_cross_factor_cosine,discovery_k_delta_specificity_margin,discovery_v_delta_seed_cosine,discovery_v_delta_cross_factor_cosine,discovery_v_delta_specificity_margin,validation_q_shift_seed0,validation_q_shift_seed1,validation_q_shift_mean,validation_q_shift_seed_gap,validation_k_shift_seed0,validation_k_shift_seed1,validation_k_shift_mean,validation_k_shift_seed_gap,validation_v_shift_seed0,validation_v_shift_seed1,validation_v_shift_mean,validation_v_shift_seed_gap,validation_value_scale_shift_seed0,validation_value_scale_shift_seed1,validation_value_scale_shift_mean,validation_value_scale_shift_seed_gap,validation_policy_shift_seed0,validation_policy_shift_seed1,validation_policy_shift_mean,validation_policy_shift_seed_gap,validation_q_delta_seed_cosine,validation_q_delta_cross_factor_cosine,validation_q_delta_specificity_margin,validation_k_delta_seed_cosine,validation_k_delta_cross_factor_cosine,validation_k_delta_specificity_margin,validation_v_delta_seed_cosine,validation_v_delta_cross_factor_cosine,validation_v_delta_specificity_margin,all_q_shift_seed0,all_q_shift_seed1,all_q_shift_mean,all_q_shift_seed_gap,all_k_shift_seed0,all_k_shift_seed1,all_k_shift_mean,all_k_shift_seed_gap,all_v_shift_seed0,all_v_shift_seed1,all_v_shift_mean,all_v_shift_seed_gap,all_value_scale_shift_seed0,all_value_scale_shift_seed1,all_value_scale_shift_mean,all_value_scale_shift_seed_gap,all_policy_shift_seed0,all_policy_shift_seed1,all_policy_shift_mean,all_policy_shift_seed_gap,all_q_delta_seed_cosine,all_q_delta_cross_factor_cosine,all_q_delta_specificity_margin,all_k_delta_seed_cosine,all_k_delta_cross_factor_cosine,all_k_delta_specificity_margin,all_v_delta_seed_cosine,all_v_delta_cross_factor_cosine,all_v_delta_specificity_margin
paraphrase,0,0,0.0006353110074996948,0.0005427896976470947,0.0005655810236930847,0.00023783743381500244,0.12939858436584473,0.12755540013313293,0.12984225153923035,0.022811025381088257,0.6411135047674179,0.5857052803039551,0.6074530258774757,0.05914832651615143,0.2553468681871891,0.228478342294693,0.25195482932031155,0.05279722064733505,0.03235895000398159,0.04787196032702923,0.044708685018122196,0.03964006155729294,0.18547009024769068,-0.15152129624038935,0.2402680367231369,0.19431237876415253,-0.0538818365894258,0.30910910677630454,0.1158871641382575,-0.061093275900930166,0.10220825811848044,0.00046725571155548096,0.0006049424409866333,0.00056447833776474,0.00017938017845153809,0.10343514382839203,0.13127069175243378,0.11596931517124176,0.027555450797080994,0.5303414613008499,0.5877393037080765,0.5735811591148376,0.08323989808559418,0.22896887362003326,0.28096069395542145,0.2679969649761915,0.038528602570295334,0.029316214844584465,0.037206901237368584,0.03368993941694498,0.02210043929517269,0.12791370693594217,-0.11953798867762089,0.11322770174592733,-0.1021661190316081,-0.06663236115127802,-0.037582889664918184,0.07966765947639942,-0.04628251744361478,0.014408312737941742,0.0005093961954116821,0.0005427896976470947,0.0005655810236930847,0.00020478665828704834,0.12278728187084198,0.12755540013313293,0.1235736533999443,0.02396896481513977,0.5874210298061371,0.5877393037080765,0.5759977027773857,0.08306244015693665,0.24640079587697983,0.264544241130352,0.26582104340195656,0.04386317357420921,0.029316214844584465,0.04016011022031307,0.04014304466545582,0.02353641390800476,0.18547009024769068,-0.11953798867762089,0.12781041953712702,-0.05803980305790901,-0.06226349575445056,0.12860511895269156,0.07966765947639942,-0.061093275900930166,0.0785221541300416
paraphrase,0,1,0.00111350417137146,0.000924333930015564,0.0009416118264198303,0.0004382580518722534,0.008321300148963928,0.007614210247993469,0.007902517914772034,0.002155974507331848,0.6312425136566162,0.47397464513778687,0.5427541881799698,0.1634981334209442,0.10672795213758945,0.106114961206913,0.10087368730455637,0.01466362178325653,0.02873513102531433,0.029718763194978237,0.03306787135079503,0.0215132012963295,0.16756366938352585,-0.15643231943249702,0.2769807823933661,0.17217007372528315,-0.06873984215781093,0.2720922436565161,-0.06369912624359131,-0.1440451741218567,0.16016842797398567,0.0007878243923187256,0.0008190274238586426,0.0008122995495796204,0.00025628507137298584,0.0059652626514434814,0.006216615438461304,0.006224095821380615,0.0014768540859222412,0.4474584609270096,0.5067567527294159,0.44093969464302063,0.15373429656028748,0.0815765606239438,0.09050056524574757,0.0906036039814353,0.01706459280103445,0.023476756177842617,0.02610598225146532,0.019210116006433964,0.015408962965011597,0.25878463312983513,-0.016207667998969555,0.19729239027947187,0.17528016841970384,-0.011261333711445332,0.14039598125964403,-0.06959832459688187,-0.19967040605843067,0.049823349341750145,0.0009425878524780273,0.0008685141801834106,0.000902809202671051,0.0003370940685272217,0.006875485181808472,0.007115676999092102,0.0071813613176345825,0.0020484328269958496,0.49629178643226624,0.4845336973667145,0.4973115622997284,0.15373429656028748,0.09068258106708527,0.09443983621895313,0.0906036039814353,0.01585265528410673,0.02495453879237175,0.028603514656424522,0.023553069680929184,0.018758883699774742,0.23797936085611582,-0.051931981928646564,0.25820773281157017,0.17528016841970384,-0.06873984215781093,0.251994657330215,-0.06369912624359131,-0.16422925144433975,0.11093598045408726
paraphrase,0,2,0.0005377829074859619,0.000504717230796814,0.0005054473876953125,0.0001913309097290039,0.4454467296600342,0.439064621925354,0.45798470824956894,0.06815165281295776,0.6610095798969269,0.6047015935182571,0.6446645110845566,0.13154783844947815,0.28264612704515457,0.27394865453243256,0.28294365480542183,0.02564108371734619,0.08469852432608604,0.061378760263323784,0.07924531679600477,0.04678997024893761,0.19996701180934906,0.03441264480352402,0.14320291206240654,0.06916473509045318,-0.09491804614663124,0.16072612814605236,-0.04839503765106201,-0.1264679990708828,0.11671069916337729,0.00045849382877349854,0.00038442015647888184,0.0004320889711380005,0.00010797381401062012,0.3660563975572586,0.4221518188714981,0.40585262328386307,0.08311361074447632,0.5222219377756119,0.5729387104511261,0.5736774057149887,0.09936133027076721,0.23758364468812943,0.28318117931485176,0.2564444448798895,0.05344132333993912,0.046585025265812874,0.036360908299684525,0.04039936698973179,0.022312289103865623,0.02723720856010914,-0.015449276106664911,0.030180567875504494,0.07504861615598202,-0.046072923578321934,0.07598758116364479,0.156062925234437,-0.006236745975911617,0.2217153599485755,0.00048607587814331055,0.00041957199573516846,0.0004854947328567505,0.00017161667346954346,0.39858095347881317,0.4221518188714981,0.40976857393980026,0.0767635703086853,0.5917897969484329,0.5729387104511261,0.5856389254331589,0.11761267483234406,0.28024541959166527,0.279378704726696,0.26956577226519585,0.03249499201774597,0.06441176496446133,0.04522767663002014,0.05362086370587349,0.03535451181232929,0.1604859009385109,0.023670455440878868,0.08915642066858709,0.07504861615598202,-0.05778313148766756,0.12151499465107918,-0.010889004915952682,-0.05164194293320179,0.15494009479880333
paraphrase,0,3,0.0005904287099838257,0.0005238503217697144,0.0005494728684425354,0.00027313828468322754,0.5709153860807419,0.504050150513649,0.5374155193567276,0.07513502240180969,0.7328793555498123,0.6581372171640396,0.6924056112766266,0.11444565653800964,0.2984864115715027,0.2789307087659836,0.28543643839657307,0.03459997847676277,0.12962247617542744,0.06736774742603302,0.09574769716709852,0.0686448086053133,0.24194683507084846,-0.11583410436287522,0.08477272745221853,-0.018331453204154968,-0.21789541095495224,0.14105813577771187,0.06108790636062622,-0.09120329469442368,0.1353028193116188,0.0004219859838485718,0.0005010515451431274,0.0004425048828125,0.00012992322444915771,0.4006931930780411,0.4168945550918579,0.422241747379303,0.08905364573001862,0.5364378839731216,0.6090957522392273,0.5915482118725777,0.07803761959075928,0.25729240104556084,0.2687150612473488,0.26768901385366917,0.05728419870138168,0.05937723070383072,0.07248636148869991,0.0675837304443121,0.04995184391736984,0.13839420769363642,-0.1321285213343799,0.13408326636999846,0.04365414381027222,-0.16427905717864633,0.01238636439666152,-0.001202191924676299,-0.08046658430248499,-0.002407628810033202,0.00048792362213134766,0.0005155950784683228,0.0004874765872955322,0.00020056962966918945,0.4569816291332245,0.42633385956287384,0.46762724965810776,0.08604703843593597,0.6760872602462769,0.6116037964820862,0.6328746229410172,0.09931075572967529,0.2875377908349037,0.2687150612473488,0.278424272313714,0.04861794039607048,0.07293286919593811,0.06736774742603302,0.09166323859244585,0.05981207452714443,0.22734214831143618,-0.1321285213343799,0.08477272745221853,0.006273671984672546,-0.19287813687697053,0.08153000520542264,-0.001202191924676299,-0.08046658430248499,0.059129763627424836
paraphrase,0,4,0.0005393475294113159,0.0004363209009170532,0.0004758313298225403,0.0001662224531173706,0.005894526839256287,0.00496557354927063,0.005514331161975861,0.000977829098701477,0.5464391857385635,0.41032011806964874,0.4689791053533554,0.11559318006038666,0.09183283150196075,0.07789536006748676,0.08519597165286541,0.020075423642992973,0.043448121286928654,0.04018548596650362,0.04472275637090206,0.02678066398948431,0.365633275359869,-0.10793244576780125,0.32670587091706693,0.326974768191576,-0.056934649124741554,0.30831659957766533,0.12153906933963299,-0.13694338547065854,0.26309876469895244,0.00030772387981414795,0.0003882944583892822,0.0003418922424316406,0.00014451146125793457,0.0035926252603530884,0.004353150725364685,0.003715910017490387,0.0011183321475982666,0.4270394742488861,0.5054081231355667,0.4314638078212738,0.12540222704410553,0.06795388646423817,0.07383147161453962,0.070699043571949,0.01635346096009016,0.03088085725903511,0.030202889814972878,0.031446429435163736,0.015703311190009117,0.13130673952400684,-0.053008070681244135,-0.011614203453063965,0.10717754950746894,-0.03748292103409767,0.1251012785360217,0.03011348773725331,-0.15918037295341492,-0.015616472577676177,0.0004889369010925293,0.00041875243186950684,0.0004571974277496338,0.00015109777450561523,0.004675671458244324,0.004857301712036133,0.00486503541469574,0.0010583102703094482,0.48826341331005096,0.4241591691970825,0.46203990280628204,0.11649009585380554,0.08585730753839016,0.07401742413640022,0.07715224381536245,0.017653288319706917,0.040313392877578735,0.03661515284329653,0.03761847596615553,0.018929610960185528,0.28310150653123856,-0.09965405211551115,0.16201446438208222,0.15419695898890495,-0.056934649124741554,0.20819716108962893,0.12153906933963299,-0.13694338547065854,0.21289604669436812
paraphrase,0,5,0.0008043348789215088,0.0006907731294631958,0.0007033571600914001,0.0003037452697753906,0.006023019552230835,0.006303533911705017,0.006061539053916931,0.0014757663011550903,0.5933612138032913,0.46282926201820374,0.4972238838672638,0.11512942612171173,0.09512323141098022,0.0921467449516058,0.09431872237473726,0.020665742456912994,0.03230646066367626,0.020518936216831207,0.029878421686589718,0.019278299063444138,0.33913921006023884,-0.042435046285390854,0.26387962605804205,0.004645530134439468,-0.08977872645482421,0.1296070832759142,0.19803233817219734,-0.06002579862251878,0.24436521716415882,0.0006321519613265991,0.0007036179304122925,0.0007014498114585876,0.00025588274002075195,0.0042977482080459595,0.0047493427991867065,0.005217880010604858,0.0018633455038070679,0.44119153916835785,0.5273692309856415,0.4369484931230545,0.12538598477840424,0.08797622658312321,0.09255905821919441,0.08653662540018559,0.02319936640560627,0.02092994563281536,0.027938561514019966,0.019452747888863087,0.020664557814598083,0.17402371484786272,0.0803417656570673,0.02062265109270811,0.03926555812358856,0.012143461033701897,0.02075341483578086,0.10088784852996469,-0.21459710504859686,0.07172226533293724,0.0006981790065765381,0.0007036179304122925,0.0007029995322227478,0.0002760589122772217,0.005220130085945129,0.005032464861869812,0.005549214780330658,0.0014757663011550903,0.5155810564756393,0.4929187595844269,0.48246265947818756,0.11512942612171173,0.09059849940240383,0.09255905821919441,0.09242953266948462,0.022257434204220772,0.027099931612610817,0.022895291447639465,0.02153538167476654,0.020664557814598083,0.31226150318980217,0.0803417656570673,0.14247945323586464,0.03926555812358856,-0.009853528812527657,0.043556107208132744,0.13253634003922343,-0.14282961143180728,0.22299168538302183
paraphrase,0,6,0.003945246338844299,0.0031131505966186523,0.0033747628331184387,0.0015530884265899658,0.04229065775871277,0.04557622969150543,0.04630414396524429,0.012144729495048523,0.621850848197937,0.4922782927751541,0.5450732707977295,0.10236527025699615,0.16258614882826805,0.162424236536026,0.16994109563529491,0.03083414025604725,0.06130759883671999,0.06347236689180136,0.06344092404469848,0.026107562705874443,0.1673304799478501,-0.1520522341288597,0.1473218477331102,0.024507710710167885,-0.07297270931303501,0.11700648069381714,-0.009372469037771225,-0.22151048388332129,0.25054347049444914,0.0032310038805007935,0.0036029815673828125,0.003479279577732086,0.0005443394184112549,0.03481239080429077,0.04009650647640228,0.03571866452693939,0.01197195053100586,0.38654059171676636,0.4851052463054657,0.46584995836019516,0.1586187332868576,0.15775277838110924,0.14098103530704975,0.1571638872846961,0.0323657039552927,0.03444881830364466,0.039728657342493534,0.04178815381601453,0.02701032068580389,0.2783582732081413,-0.06536894524469972,0.11180142778903246,-0.0984024628996849,-0.31246596202254295,0.23792913905344903,0.06670226156711578,-0.1359002385288477,0.04619122203439474,0.0033526718616485596,0.0031131505966186523,0.0033747628331184387,0.0011189132928848267,0.036815136671066284,0.04380735754966736,0.04051366448402405,0.01197195053100586,0.49680182337760925,0.4922782927751541,0.49298201501369476,0.12430983781814575,0.15892909094691277,0.14722910523414612,0.16184062510728836,0.031790031120181084,0.058121136389672756,0.05478179641067982,0.05826665833592415,0.026107562705874443,0.18589820340275764,-0.07582028602882929,0.14029361447319388,-0.0414907147642225,-0.0838747275993228,0.13278253725729883,0.03833203390240669,-0.17608332261443138,0.17815517913550138
paraphrase,0,7,0.0023064762353897095,0.002150237560272217,0.00223686546087265,0.0011691898107528687,0.04565750062465668,0.04705095291137695,0.046354226768016815,0.011905670166015625,0.6408089995384216,0.518522322177887,0.5753954201936722,0.1339976191520691,0.16655395738780499,0.17527353763580322,0.17839482240378857,0.0305153988301754,0.03295989893376827,0.028457799926400185,0.03628301341086626,0.02206205017864704,0.32543472573161125,-0.14782188217213843,0.2888340335339308,0.23186096688732505,-0.012416622135788202,0.12905063526704907,0.0348019078373909,-0.03301015170291066,0.033818811643868685,0.0013643056154251099,0.0018082261085510254,0.0016259178519248962,0.0005028098821640015,0.029931411147117615,0.0390508770942688,0.03322649002075195,0.010513350367546082,0.5058262348175049,0.5292539000511169,0.5155676528811455,0.09427857398986816,0.1793479062616825,0.17234421521425247,0.17973247729241848,0.04343307390809059,0.029453886672854424,0.03787001594901085,0.03154858388006687,0.0165459793061018,0.0959387585753575,-0.09837886318564415,0.2137073870981112,-0.13457543402910233,-0.2934720851480961,0.26467791572213173,-0.16747717186808586,-0.05600778275402263,-0.012489359825849533,0.0018422454595565796,0.0018082261085510254,0.0019192546606063843,0.0009709447622299194,0.030544772744178772,0.040765181183815,0.039713166654109955,0.010933443903923035,0.546901524066925,0.5196538865566254,0.5272625982761383,0.1161264181137085,0.175350584089756,0.17234421521425247,0.17973247729241848,0.03708043694496155,0.03169441223144531,0.032514357939362526,0.03555385209619999,0.019611047580838203,0.24790195561945438,-0.09837886318564415,0.26925840752664953,0.11543017439544201,-0.18163601029664278,0.18076759995892644,-0.0314958281815052,-0.03301015170291066,0.004484056029468775
paraphrase,0,8,0.0007361918687820435,0.000729292631149292,0.0006727278232574463,0.0002471059560775757,0.4269535690546036,0.3743281364440918,0.4156757816672325,0.07807612419128418,0.757906898856163,0.6612905114889145,0.7012348622083664,0.12170243263244629,0.3687056601047516,0.29427869617938995,0.3328474648296833,0.04457364231348038,0.11326153017580509,0.06195923499763012,0.08963425736874342,0.03628011234104633,0.03713796031661332,-0.10346358641982079,0.2357301563024521,0.018135830760002136,-0.09790760604664683,0.1856065820902586,0.12287352979183197,0.022505324333906174,0.2170979306101799,0.0005800873041152954,0.0006339550018310547,0.0006366968154907227,0.00023986399173736572,0.2879185229539871,0.3368139863014221,0.3201471269130707,0.08369533717632294,0.5228262841701508,0.6672463417053223,0.599349856376648,0.1686401218175888,0.2720407620072365,0.31575675308704376,0.30326011776924133,0.06845027208328247,0.05192037299275398,0.07264328747987747,0.059463271871209145,0.03230701759457588,0.04841909371316433,-0.03672055806964636,-0.041116129606962204,-0.0788743831217289,-0.09641997190192342,0.0012445026077330112,0.0683603584766388,-0.07982061058282852,0.03153714467771351,0.0006448179483413696,0.0006807446479797363,0.0006456747651100159,0.00024046003818511963,0.34333664178848267,0.3585733473300934,0.3701920360326767,0.07807612419128418,0.6813336759805679,0.6612905114889145,0.6453258767724037,0.13126997649669647,0.3183111697435379,0.2991493493318558,0.3197408262640238,0.05610743165016174,0.06987872533500195,0.06705396249890327,0.07786865811794996,0.035515300929546356,0.03713796031661332,-0.0746274096891284,0.09117920324206352,-0.0506402850151062,-0.09641997190192342,0.05695015238597989,0.0683603584766388,-0.020270295441150665,0.14340338041074574
paraphrase,0,9,0.0008632391691207886,0.0006599873304367065,0.0007590427994728088,0.00033117830753326416,0.2739321440458298,0.24555201828479767,0.2663302719593048,0.04542642831802368,0.713506817817688,0.679522842168808,0.6979721337556839,0.08878470957279205,0.34750109910964966,0.3192822113633156,0.32522594556212425,0.06479385495185852,0.06246180273592472,0.029736950993537903,0.04471956845372915,0.04107554443180561,0.13448205031454563,-0.05932607676368207,0.19102851941715926,0.20491208881139755,-0.0417779553681612,0.21899951552040875,0.21008657943457365,-0.032615877222269773,0.23086002003401518,0.0005576908588409424,0.0007132738828659058,0.0006081834435462952,0.0002197176218032837,0.18995548784732819,0.21874205768108368,0.1951994225382805,0.04031050205230713,0.5662715435028076,0.6446126401424408,0.603095643222332,0.16442665457725525,0.31163691729307175,0.34956105053424835,0.3483336567878723,0.09886707365512848,0.03247303515672684,0.04402972012758255,0.0408437168225646,0.017103854566812515,0.12611875124275684,-6.967864464968443e-05,0.1289441928965971,0.06730518117547035,-0.09561301907524467,0.15421608183532953,0.015391945838928223,-0.0679633840918541,0.06425473466515541,0.0006886124610900879,0.0007086098194122314,0.0006987228989601135,0.00032679736614227295,0.20577074587345123,0.21874205768108368,0.2367812767624855,0.04194381833076477,0.6468502581119537,0.679522842168808,0.6185331866145134,0.1154572069644928,0.33222000300884247,0.321719154715538,0.3359300307929516,0.07155788689851761,0.044677551835775375,0.03660380281507969,0.0408437168225646,0.026882844045758247,0.13144585536792874,-0.013855137629434466,0.14066093123983592,0.13776236586272717,-0.0846909680403769,0.18522449140436947,0.06349353492259979,-0.05655085435137153,0.11045735515654087
