comparison,left_probe,right_probe,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
recent4:top>random:x0,top_recent4,random_recent4,x0_relative_rms,log_ratio,clean,64,32,-0.023930199288091532,-0.02318651719238861,0.296875,-0.037653707183711756,-0.010738444994563785,0.20161290322580644
recent4:top>random:x0,top_recent4,random_recent4,x0_relative_rms,log_ratio,noisy_t1000,64,32,-0.44044531515789664,-0.5237577654488605,0.171875,-0.5780891375623027,-0.29259196863658143,0.43768328445747795
recent4:top>random:x0,top_recent4,random_recent4,x0_relative_rms,log_ratio,noisy_t500,64,32,-0.24916681194978046,-0.18921728788543296,0.15625,-0.3601373637015978,-0.15688116419730733,0.21480938416422285
recent4:top>random:x0,top_recent4,random_recent4,x0_relative_rms,log_ratio,pooled,192,32,-0.23784744213192288,-0.09143431731476506,0.20833333333333334,-0.31966874399753464,-0.156099128655214,0.4497800586510263
recent4:top>bottom:x0,top_recent4,bottom_recent4,x0_relative_rms,log_ratio,clean,64,32,-0.023332693709957573,-0.02229780353405314,0.328125,-0.04526171605007785,-0.001558004158957471,0.4794721407624633
recent4:top>bottom:x0,top_recent4,bottom_recent4,x0_relative_rms,log_ratio,noisy_t1000,64,32,0.20696231581746988,0.18226915968380858,0.71875,0.12671501459374196,0.29247709995816523,0.21737536656891493
recent4:top>bottom:x0,top_recent4,bottom_recent4,x0_relative_rms,log_ratio,noisy_t500,64,32,0.11188065429351154,0.1091957816628624,0.75,0.07285684972795232,0.15527047051795792,0.1224340175953079
recent4:top>bottom:x0,top_recent4,bottom_recent4,x0_relative_rms,log_ratio,pooled,192,32,0.09850342546700795,0.04711826821712098,0.5989583333333334,0.06529069664798433,0.1357378776312044,0.19354838709677416
q_retrieval8:top>random:x0,top_q_retrieval8,random_q_retrieval8,x0_relative_rms,log_ratio,clean,64,32,0.01538463490585901,0.014730377504343547,0.734375,0.004718305340435901,0.02628820822935215,0.41239002932551316
q_retrieval8:top>random:x0,top_q_retrieval8,random_q_retrieval8,x0_relative_rms,log_ratio,noisy_t1000,64,32,-0.023263345460125085,0.026046148897539992,0.515625,-0.1534553494667209,0.09689472544616118,0.34640762463343105
q_retrieval8:top>random:x0,top_q_retrieval8,random_q_retrieval8,x0_relative_rms,log_ratio,noisy_t500,64,32,0.008544148798020852,0.019709668481067852,0.546875,-0.06282355998677625,0.06822907284770675,0.10850439882697946
q_retrieval8:top>random:x0,top_q_retrieval8,random_q_retrieval8,x0_relative_rms,log_ratio,pooled,192,32,0.0002218127479182546,0.01583963779709288,0.5989583333333334,-0.0643662068707544,0.057389515985768,0.2166422287390029
q_retrieval8:top>bottom:x0,top_q_retrieval8,bottom_q_retrieval8,x0_relative_rms,log_ratio,clean,64,32,0.10190830676421551,0.10196882192645329,1.0,0.09076445429418449,0.11328648995010114,0.3903958944281524
q_retrieval8:top>bottom:x0,top_q_retrieval8,bottom_q_retrieval8,x0_relative_rms,log_ratio,noisy_t1000,64,32,0.3183947090070439,0.32825686225649686,0.828125,0.21204650876689612,0.4222314866326781,0.6096041055718474
q_retrieval8:top>bottom:x0,top_q_retrieval8,bottom_q_retrieval8,x0_relative_rms,log_ratio,noisy_t500,64,32,0.23007386752518552,0.24290584422899492,0.921875,0.18193299193593862,0.2785755123305878,0.24266862170087974
q_retrieval8:top>bottom:x0,top_q_retrieval8,bottom_q_retrieval8,x0_relative_rms,log_ratio,pooled,192,32,0.2167922944321483,0.15557261463568667,0.9166666666666666,0.17236590654442405,0.26131957621888335,0.5172287390029325
value_shift:top>random:x0,top_value_shift,random_value_shift,x0_relative_rms,log_ratio,clean,64,32,0.04612078886513736,0.040939562158350346,0.8125,0.03103578714060907,0.062456276454293067,0.29068914956011727
value_shift:top>random:x0,top_value_shift,random_value_shift,x0_relative_rms,log_ratio,noisy_t1000,64,32,0.40251250044246517,0.40167153606219563,0.875,0.31053271543581074,0.49148090182190424,0.35593841642228735
value_shift:top>random:x0,top_value_shift,random_value_shift,x0_relative_rms,log_ratio,noisy_t500,64,32,0.3049247123781494,0.2779545740585429,0.9375,0.24823149140342085,0.36317038433860044,0.11107038123167154
value_shift:top>random:x0,top_value_shift,random_value_shift,x0_relative_rms,log_ratio,pooled,192,32,0.2511860005619173,0.1651638597015664,0.875,0.20556998879982963,0.29765557912255697,0.3203812316715542
value_shift:top>bottom:x0,top_value_shift,bottom_value_shift,x0_relative_rms,log_ratio,clean,64,32,-0.04421276112043426,-0.049058979192631115,0.3125,-0.07538437946557881,-0.011228181874929603,0.5095307917888563
