comparison,axis,policy,control,matched_intervention,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
k:key_shift:top>bottom,k,key_shift,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.5758600050667968,0.5537160683679179,0.953125,0.4801478393334027,0.6703082404605155,0.4013929618768328
k:key_shift:top>bottom,k,key_shift,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.31129311484377664,0.3651731461895985,0.859375,0.2183655952947227,0.3961956928979186,0.41568914956011727
k:key_shift:top>bottom,k,key_shift,bottom,1,x0_relative_rms,paired_log_ratio,pooled,128,32,0.4435765599552867,0.44372523099863487,0.90625,0.3591647292312027,0.5215734544758599,0.44831378299120234
k:key_shift:top>random_ensemble,k,key_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.38147725732299353,0.4136887471569882,0.953125,0.3099533897432496,0.45460209027734216,0.3988269794721407
k:key_shift:top>random_ensemble,k,key_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.2631457307959115,0.2631933570933167,0.9375,0.21475472982384267,0.31196343332776894,0.15799120234604103
k:key_shift:top>random_ensemble,k,key_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,pooled,128,32,0.32231149405945253,0.31652766354460193,0.9453125,0.27685058771986243,0.3681233687723871,0.24596774193548382
k:value_shift:top>bottom,k,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.49500091863904316,0.5094038827561249,0.890625,0.38529701834628083,0.6076436468457775,0.5168621700879765
k:value_shift:top>bottom,k,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.2709579265809364,0.2589486726329026,0.84375,0.17289023632724457,0.3628244386491861,0.4607771260997067
k:value_shift:top>bottom,k,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,0.38297942260998985,0.4182939026792585,0.8671875,0.2873981638998079,0.4732576083278299,0.5186950146627566
k:recent4:top>bottom,k,recent4,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.16519829135909442,0.12441054445345648,0.703125,0.07602191060273816,0.2516114898642273,0.38599706744868034
k:recent4:top>bottom,k,recent4,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.11594687947749552,0.10598809199897888,0.71875,0.07369905680898785,0.15781715206210573,0.1759530791788856
k:recent4:top>bottom,k,recent4,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,0.14057258541829495,0.11412338026505628,0.7109375,0.08266480337594495,0.1983951631479254,0.4670087976539589
v:key_shift:top>bottom,v,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.02063204116299272,0.051753803922706454,0.578125,-0.08210947759737552,0.11286491424186844,-0.02309384164222874
v:key_shift:top>bottom,v,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.1235739323120337,0.1551437193221487,0.84375,0.02723378219343634,0.19745536884539375,0.36253665689149556
v:key_shift:top>bottom,v,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,0.0721029867375132,0.12363808802286114,0.7109375,-0.022637363505397613,0.15111563457716107,0.07881231671554251
v:value_shift:top>bottom,v,value_shift,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.05198421321944876,0.107093302679871,0.640625,-0.058448280830446515,0.15451459643597132,0.3233137829912023
v:value_shift:top>bottom,v,value_shift,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.11347079735593806,0.15546683084526347,0.859375,-0.001447070695885669,0.20459500225940483,0.5579178885630498
v:value_shift:top>bottom,v,value_shift,bottom,1,x0_relative_rms,paired_log_ratio,pooled,128,32,0.0827275052876934,0.1448185676075783,0.75,-0.03251544024780315,0.17414754132330887,0.44831378299120234
v:value_shift:top>random_ensemble,v,value_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.10537602530830227,0.12204562092039262,0.6875,0.04239082337200822,0.17492040810551632,0.05718475073313783
v:value_shift:top>random_ensemble,v,value_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.17930686617520347,0.1851909834635277,0.96875,0.1479540030837731,0.2098815315970624,0.41239002932551316
v:value_shift:top>random_ensemble,v,value_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,pooled,128,32,0.14234144574175286,0.16220130290160706,0.828125,0.10395058473279696,0.18070987660228374,0.20747800586510262
