comparison,axis,policy,control,matched_intervention,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
k:matched>value_shift,k,key_shift,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,0.08085908642775358,0.0768974053534579,0.625,0.01816376082335061,0.1457379917324079,0.2716275659824047
k:matched>value_shift,k,key_shift,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,0.04033518826284022,0.03752572284166221,0.703125,0.01192128478278613,0.0692685533362154,0.04618768328445748
k:matched>value_shift,k,key_shift,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,0.0605971373452969,0.04847860151373837,0.6640625,0.022470643033822877,0.09948964621295737,0.19941348973607034
k:matched>recent4,k,key_shift,recent4,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,0.4106617137077023,0.41456305622460066,0.875,0.30421419868943606,0.5227145423213863,0.27639296187683277
k:matched>recent4,k,key_shift,recent4,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,0.19534623536628115,0.20149268992153524,0.8125,0.11754341180923923,0.2720904550396751,0.4604105571847507
k:matched>recent4,k,key_shift,recent4,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,0.30300397453699174,0.2899420202296684,0.84375,0.2270915201115714,0.37692343497021635,0.3599706744868035
v:matched>key_shift,v,value_shift,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,0.031352172056456046,0.023108840597814484,0.578125,-0.013614166135582355,0.07507788831816042,-0.12903225806451613
v:matched>key_shift,v,value_shift,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,-0.010103134956095633,0.014674184536531881,0.578125,-0.04976272424705833,0.025782574628057508,0.07038123167155425
v:matched>key_shift,v,value_shift,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,0.010624518550180205,0.0175653865556527,0.578125,-0.02798715491605384,0.04602567107163778,-0.01502932551319648
v:matched>recent4,v,value_shift,recent4,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,-0.07646824972208675,-0.11164884341912507,0.328125,-0.18405853878937503,0.036880957897864,0.17668621700879764
v:matched>recent4,v,value_shift,recent4,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,-0.0010760744621926416,0.024058503700103775,0.53125,-0.09471559177342355,0.08150238590529794,0.29912023460410553
v:matched>recent4,v,value_shift,recent4,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,-0.0387721620921397,-0.0397311385536384,0.4296875,-0.1280191908026771,0.054748608684807056,0.3643695014662756
policy:matched>key_shift,policy,recent4,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,-0.09045795040920335,-0.08352553276218706,0.4375,-0.2594356361060835,0.07267726865116185,0.31781524926686217
policy:matched>key_shift,policy,recent4,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,-0.3288589673479456,-0.2869768164747507,0.078125,-0.4280435583995666,-0.2419367625914205,0.30351906158357767
policy:matched>key_shift,policy,recent4,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,-0.20965845887857448,-0.20218006682097683,0.2578125,-0.33227570150685365,-0.09491945508302577,0.4897360703812316
policy:matched>value_shift,policy,recent4,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,-0.10019039527722404,-0.061694833202326244,0.453125,-0.2650459014754567,0.06446029171342468,0.39076246334310843
policy:matched>value_shift,policy,recent4,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,-0.35371696700458005,-0.29231856748126817,0.109375,-0.4648928982990321,-0.25619190045678464,0.2958211143695014
policy:matched>value_shift,policy,recent4,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,-0.22695368114090209,-0.21869337255969257,0.28125,-0.36666318286308763,-0.10202932597402964,0.4479472140762463
