comparison,axis,policy,control,matched_intervention,dose,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
k:key_shift:top>bottom:dose1,k,key_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.6781006201777047,0.6503176216866074,1.0,0.5543495052516596,0.815168800373079,0.2088235294117647
k:key_shift:top>bottom:dose1,k,key_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.5351198884889887,0.5284364088334834,1.0,0.45658116668560617,0.6149909254181571,0.23823529411764705
k:key_shift:top>bottom:dose1,k,key_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,pooled,64,16,0.6066102543333466,0.5597149822214855,1.0,0.5178410651832737,0.7009094722822528,0.14411764705882352
k:key_shift:top>bottom:dose2,k,key_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.4759248953462978,0.4487739137043004,0.9375,0.3803121920486462,0.5714462365839228,0.21176470588235297
k:key_shift:top>bottom:dose2,k,key_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.44939648446339,0.47812826291409377,0.96875,0.33420709964769024,0.561995988326255,0.3941176470588235
k:key_shift:top>bottom:dose2,k,key_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,pooled,64,16,0.4626606899048439,0.46163812294699974,0.953125,0.37108794781187004,0.5570952985559233,0.4558823529411765
k:key_shift:top>bottom:dose3,k,key_shift,bottom,1,3,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.5644752925932845,0.5494041803340091,0.96875,0.48832998238892983,0.6394343883914422,-0.008823529411764706
k:key_shift:top>bottom:dose3,k,key_shift,bottom,1,3,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.3190015880181624,0.38453149086897936,0.875,0.19446266052737377,0.419996741564228,0.2441176470588235
k:key_shift:top>bottom:dose3,k,key_shift,bottom,1,3,x0_relative_rms,paired_log_ratio,pooled,64,16,0.4417384403057235,0.4411059367631825,0.921875,0.3591553396347447,0.5151338658080171,0.2823529411764706
k:key_shift:top>bottom:dose4,k,key_shift,bottom,1,4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.4400561240952547,0.4663874292029252,0.96875,0.34916510648020405,0.5298358186887492,0.2588235294117647
k:key_shift:top>bottom:dose4,k,key_shift,bottom,1,4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.24208419165573436,0.24213741050358495,0.875,0.1532457028173511,0.3210095754141946,0.18529411764705883
k:key_shift:top>bottom:dose4,k,key_shift,bottom,1,4,x0_relative_rms,paired_log_ratio,pooled,64,16,0.34107015787549455,0.32059637653868117,0.921875,0.26981318912062097,0.4127757180396515,0.3205882352941176
v:value_shift:top>bottom:dose1,v,value_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.23746380782177273,-0.13756111630007417,0.3125,-0.4922696774841943,-0.0453217187520988,0.4941176470588235
v:value_shift:top>bottom:dose1,v,value_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.13144754459696228,-0.05436034427068365,0.40625,-0.3798277814680422,0.03477129337803415,0.5205882352941177
v:value_shift:top>bottom:dose1,v,value_shift,bottom,1,1,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.1844556762093675,-0.058966175169932994,0.359375,-0.43081783590352435,-0.017030480384549393,0.4647058823529412
v:value_shift:top>bottom:dose2,v,value_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.001080480306958051,0.07242289498213537,0.6875,-0.2672022529400582,0.18311643805120897,0.2411764705882353
v:value_shift:top>bottom:dose2,v,value_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.06228106360136723,0.19933893916848885,0.75,-0.1324248980207716,0.19404761488944222,0.14411764705882352
v:value_shift:top>bottom:dose2,v,value_shift,bottom,1,2,x0_relative_rms,paired_log_ratio,pooled,64,16,0.03168077195416264,0.1346782889509896,0.71875,-0.1964188849501164,0.18624755204090032,0.4058823529411764
v:value_shift:top>bottom:dose3,v,value_shift,bottom,1,3,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.08316656427738331,0.1322623265041798,0.6875,-0.09649798519719857,0.2287478018748778,0.5705882352941177
