comparison,channel,axis,policy,control,matched_intervention,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:k:key_shift:top>bottom,susceptibility,k,key_shift,bottom,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.5292634985869542,0.5272058510877982,1.0,0.5029561823923624,0.5555555387985306,0.7452346041055719
susceptibility:k:key_shift:top>bottom,susceptibility,k,key_shift,bottom,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.5003776821826742,0.5118685175598399,1.0,0.4681368139716506,0.532143416734848,0.8581378299120235
susceptibility:k:key_shift:top>bottom,susceptibility,k,key_shift,bottom,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.5148205903848142,0.5176493366599266,1.0,0.4862832508788001,0.5435628994687488,0.8123167155425219
susceptibility:k:key_shift:top>random_ensemble,susceptibility,k,key_shift,random_ensemble,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.22653933343426097,0.21608559580305253,1.0,0.20661678769261171,0.24756759487341445,0.6418621700879765
susceptibility:k:key_shift:top>random_ensemble,susceptibility,k,key_shift,random_ensemble,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.20039440489962204,0.20014807489618924,1.0,0.1774501683451581,0.2239675499600149,0.7694281524926685
susceptibility:k:key_shift:top>random_ensemble,susceptibility,k,key_shift,random_ensemble,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.21346686916694152,0.20938403413900164,1.0,0.19192133027351943,0.23504658617514013,0.7683284457478005
susceptibility:k:value_shift:top>bottom,susceptibility,k,value_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.49777361413623716,0.4859351939702976,1.0,0.4714445820268738,0.5260118299814193,0.782624633431085
susceptibility:k:value_shift:top>bottom,susceptibility,k,value_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.4622069516560452,0.45641200051995917,1.0,0.427863030302411,0.4958470829884989,0.8420087976539589
susceptibility:k:value_shift:top>bottom,susceptibility,k,value_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.4799902828961412,0.4798905630997424,1.0,0.4503150115696923,0.5113820588384117,0.8181818181818181
susceptibility:k:policy_contrast:top>bottom,susceptibility,k,policy_contrast,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.22152547798476546,0.21906487188423107,0.953125,0.1841520156959621,0.25975332306807297,0.500366568914956
susceptibility:k:policy_contrast:top>bottom,susceptibility,k,policy_contrast,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.2487629124308732,0.2592830934835078,0.984375,0.2071096939581463,0.2899136772827164,0.5986070381231672
susceptibility:k:policy_contrast:top>bottom,susceptibility,k,policy_contrast,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.23514419520781935,0.2519342140004479,0.96875,0.1966904953225915,0.2735857740092659,0.5744134897360703
susceptibility:v:key_shift:top>bottom,susceptibility,v,key_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.2174064853156864,0.2176941851753636,1.0,0.20239472349544385,0.23303802960522935,0.30021994134897356
susceptibility:v:key_shift:top>bottom,susceptibility,v,key_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.23012185613502215,0.23802645908510978,1.0,0.21553647111020435,0.2447124190138942,0.3955278592375366
susceptibility:v:key_shift:top>bottom,susceptibility,v,key_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.2237641707253543,0.22788079610948353,1.0,0.20978055094458287,0.23833580762226497,0.3310117302052786
susceptibility:v:value_shift:top>bottom,susceptibility,v,value_shift,bottom,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.2292727826114463,0.23471071972813018,1.0,0.2147231306552663,0.24336217329109494,0.2631964809384164
susceptibility:v:value_shift:top>bottom,susceptibility,v,value_shift,bottom,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.24171497215538085,0.24783957246848454,1.0,0.22771120726971406,0.25504262286056967,0.49890029325513185
susceptibility:v:value_shift:top>bottom,susceptibility,v,value_shift,bottom,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.2354938773834136,0.24036568162701222,1.0,0.22214057561352332,0.24863608228515188,0.2848240469208211
susceptibility:v:value_shift:top>random_ensemble,susceptibility,v,value_shift,random_ensemble,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.0763267119269996,0.07163727632218908,0.96875,0.06253404431186857,0.09111164925046178,0.43768328445747795
susceptibility:v:value_shift:top>random_ensemble,susceptibility,v,value_shift,random_ensemble,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.0914614380415861,0.08790346896384493,0.96875,0.07690741232689796,0.10640264219314505,0.14369501466275658
susceptibility:v:value_shift:top>random_ensemble,susceptibility,v,value_shift,random_ensemble,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.08389407498429285,0.07883576184936936,0.96875,0.0705885547071529,0.09841724033945719,0.23936950146627564
susceptibility:v:policy_contrast:top>bottom,susceptibility,v,policy_contrast,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.12597673452553493,0.14777173275727545,0.921875,0.10178239665255687,0.14946167206711078,0.3775659824046921
susceptibility:v:policy_contrast:top>bottom,susceptibility,v,policy_contrast,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.17981515746395374,0.19822010844616283,0.953125,0.15844508387601414,0.19953838281868036,0.33027859237536655
susceptibility:v:policy_contrast:top>bottom,susceptibility,v,policy_contrast,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.15289594599474432,0.17872598219252062,0.9375,0.13201058678997063,0.17380149110187626,0.33651026392961875
susceptibility:policy:key_shift:top>bottom,susceptibility,policy,key_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.06841350691505108,0.10314834940638551,0.6875,0.023643818254883858,0.11189582476087911,0.7565982404692082
susceptibility:policy:key_shift:top>bottom,susceptibility,policy,key_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.10058167858383552,0.13286192998380789,0.78125,0.05498169762124017,0.14320595348200937,0.7683284457478005
susceptibility:policy:key_shift:top>bottom,susceptibility,policy,key_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.0844975927494433,0.12026346381051094,0.734375,0.04098518512336809,0.12822751348865682,0.7752932551319647
susceptibility:policy:value_shift:top>bottom,susceptibility,policy,value_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.0560798169375261,0.08919501710498948,0.640625,0.014899788801756856,0.09646444876155928,0.6477272727272727
susceptibility:policy:value_shift:top>bottom,susceptibility,policy,value_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.08738598457305512,0.1270086667870484,0.71875,0.04511148476224641,0.12963115833151195,0.6499266862170088
susceptibility:policy:value_shift:top>bottom,susceptibility,policy,value_shift,bottom,0,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.0717329007552906,0.10427792262354829,0.6796875,0.028058323424430747,0.11290322262402332,0.6502932551319648
susceptibility:policy:policy_contrast:top>bottom,susceptibility,policy,policy_contrast,bottom,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.14124231475286905,0.14363887601693118,0.875,0.09872632960480898,0.1811964630631465,0.565982404692082
susceptibility:policy:policy_contrast:top>bottom,susceptibility,policy,policy_contrast,bottom,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.23457338138487388,0.24412158946471635,0.953125,0.18951849885191593,0.27615216122496544,0.5560850439882697
susceptibility:policy:policy_contrast:top>bottom,susceptibility,policy,policy_contrast,bottom,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.18790784806887148,0.19417078304573188,0.9140625,0.14756353630808897,0.22810421928740163,0.5923753665689149
susceptibility:policy:policy_contrast:top>random_ensemble,susceptibility,policy,policy_contrast,random_ensemble,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.07417970577176983,-0.07241798602393779,0.078125,-0.08986988053468416,-0.05971024488262008,0.17412023460410556
susceptibility:policy:policy_contrast:top>random_ensemble,susceptibility,policy,policy_contrast,random_ensemble,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.04996738744878911,-0.05039940869299642,0.171875,-0.0699606018664971,-0.030739617027181164,0.4204545454545454
susceptibility:policy:policy_contrast:top>random_ensemble,susceptibility,policy,policy_contrast,random_ensemble,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,-0.06207354661027947,-0.062876078488878,0.125,-0.07838974171967211,-0.04596409962297992,0.2664956011730205
susceptibility:k:key_shift:pfmatched_top>bottom,susceptibility,k,key_shift,pf_label_matched,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.4905518359068926,0.47250952605222724,1.0,0.4639986876598428,0.5197608844168942,0.1983137829912023
susceptibility:k:key_shift:pfmatched_top>bottom,susceptibility,k,key_shift,pf_label_matched,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.4387097030493702,0.43244220645068365,1.0,0.41447131754292993,0.46574288698969596,0.34017595307917886
susceptibility:k:key_shift:pfmatched_top>bottom,susceptibility,k,key_shift,pf_label_matched,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.4646307694781314,0.453663949183002,1.0,0.43983417228012583,0.4914875719767032,0.18475073313782991
susceptibility:v:value_shift:pfmatched_top>bottom,susceptibility,v,value_shift,pf_label_matched,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.05025499545467555,-0.051503200925612946,0.3125,-0.07228015713707528,-0.028342835450649664,0.30975073313782986
susceptibility:v:value_shift:pfmatched_top>bottom,susceptibility,v,value_shift,pf_label_matched,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.03730080597199106,-0.034450161725420175,0.3125,-0.052489534756645966,-0.02176556482815879,0.18878299120234604
susceptibility:v:value_shift:pfmatched_top>bottom,susceptibility,v,value_shift,pf_label_matched,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,-0.043777900713333304,-0.035223140963369606,0.3125,-0.06095287098612406,-0.02668428777582164,0.2415689149560117
susceptibility:policy:policy_contrast:pfmatched_top>bottom,susceptibility,policy,policy_contrast,pf_label_matched,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.10961749524742517,0.11836442429532086,0.78125,0.06248962519700186,0.15681688217405082,0.4637096774193548
susceptibility:policy:policy_contrast:pfmatched_top>bottom,susceptibility,policy,policy_contrast,pf_label_matched,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.13721272610187268,0.15894777245008995,0.875,0.0893868383987247,0.1827785696465542,0.5740469208211143
susceptibility:policy:policy_contrast:pfmatched_top>bottom,susceptibility,policy,policy_contrast,pf_label_matched,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.12341511067464893,0.13864633806787593,0.828125,0.0758666520512863,0.16807163279797477,0.5714809384164222
leverage:k:key_shift:top>bottom,leverage,k,key_shift,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.04092810144154991,0.014373240014338217,0.515625,-0.09271284608756625,0.18528965130917963,0.1997800586510264
leverage:k:key_shift:top>bottom,leverage,k,key_shift,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.11880277944386915,0.1294228904454462,0.671875,0.015140240799648265,0.23357859347906318,0.43145161290322576
