comparison,channel,axis,policy,control,matched_intervention,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:k:matched>value_shift,susceptibility,k,key_shift,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,0.031489884450717015,0.032781095091685364,0.875,0.023300692495195136,0.03990424564632523,0.4321847507331378
susceptibility:k:matched>value_shift,susceptibility,k,key_shift,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,0.03817073052662899,0.038231586772763254,0.90625,0.03038177617950428,0.04611638611106763,0.46847507331378296
susceptibility:k:matched>value_shift,susceptibility,k,key_shift,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,0.034830307488673,0.03573132351712935,0.890625,0.02706999910843718,0.042779576946160205,0.5370234604105572
susceptibility:k:matched>policy_contrast,susceptibility,k,key_shift,policy_contrast,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,0.3077380206021887,0.30831459471321165,1.0,0.28040312153922353,0.3361042736639377,0.4358504398826979
susceptibility:k:matched>policy_contrast,susceptibility,k,key_shift,policy_contrast,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,0.25161476975180097,0.24737733656317568,1.0,0.22300372514605493,0.27837487491589713,0.5230938416422287
susceptibility:k:matched>policy_contrast,susceptibility,k,key_shift,policy_contrast,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,0.27967639517699483,0.27687417858668906,1.0,0.25358728901199507,0.3066035918049082,0.4659090909090909
susceptibility:v:matched>key_shift,susceptibility,v,value_shift,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,0.011866297295759876,0.010485505668068357,0.828125,0.007624652255704088,0.016125871164822583,0.10777126099706744
susceptibility:v:matched>key_shift,susceptibility,v,value_shift,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,0.011593116020358712,0.009301433164324635,0.796875,0.00803797199237245,0.015572528159995614,0.027126099706744865
susceptibility:v:matched>key_shift,susceptibility,v,value_shift,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,0.011729706658059294,0.01000847510891964,0.8125,0.008247088230245008,0.01546438264049394,0.01319648093841642
susceptibility:v:matched>policy_contrast,susceptibility,v,value_shift,policy_contrast,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,0.10329604808591136,0.09126515910184084,0.9375,0.08665118012728121,0.119887232562546,0.12719941348973607
susceptibility:v:matched>policy_contrast,susceptibility,v,value_shift,policy_contrast,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,0.06189981469142713,0.06289658723930505,0.859375,0.046476723161426946,0.07731205225103135,0.1228005865102639
susceptibility:v:matched>policy_contrast,susceptibility,v,value_shift,policy_contrast,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,0.08259793138866925,0.07691041073414696,0.8984375,0.0671447741748279,0.09827317315596196,0.13379765395894427
susceptibility:policy:matched>key_shift,susceptibility,policy,policy_contrast,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,0.07282880783781799,0.08666054352350108,0.75,0.04472890807694284,0.09993125338344822,0.5355571847507331
