probe_name,context,unit_count,selected_head_count,mean_x0_relative_rms,mean_raw_projected_relative_rms,mean_projected_relative_rms,mean_calibration_scale,max_calibration_relative_error,calibration_clipped_count,calibration_degenerate_count
k_bottom_key_shift_cal,noisy_t1000,64,90,0.13093756532180123,0.04272510745386171,0.050003929178152856,5.024611321953126,0.007204264402389526,0,0
k_bottom_key_shift_cal,noisy_t500,64,90,0.05285796435782686,0.044700377615269335,0.050004566284284624,5.330977129198921,0.008563324809074402,0,0
k_bottom_policy_contrast_cal,noisy_t1000,64,90,0.1038254966842942,0.03924958502138906,0.05000383462562846,3.4387236961396415,0.006440281867980957,0,0
k_bottom_policy_contrast_cal,noisy_t500,64,90,0.04425152813200839,0.0371022529666637,0.05000538771855645,4.048389433844326,0.0068540871143341064,0,0
k_bottom_value_shift_cal,noisy_t1000,64,90,0.1326361052924767,0.04399593879467527,0.05000547874369658,4.2341826469559845,0.008155927062034607,0,0
k_bottom_value_shift_cal,noisy_t500,64,90,0.05402521209907718,0.045837580918275,0.05000698492707063,4.416999674231436,0.008531734347343445,0,0
k_pfmatched_bottom_key_shift_cal,noisy_t1000,64,30,0.09662980053690262,0.02275897915475677,0.05000045756848218,9.728835373868545,0.004687681794166565,0,0
k_pfmatched_bottom_key_shift_cal,noisy_t500,64,30,0.045587002678075805,0.023729440864584228,0.050002224458148704,9.208797225464755,0.005446150898933411,0,0
k_pfmatched_top_key_shift_cal,noisy_t1000,64,30,0.09572957269847393,0.03733804676357977,0.050002234147783986,5.19243270472313,0.003900676965713501,0,0
k_pfmatched_top_key_shift_cal,noisy_t500,64,30,0.04821447824360803,0.03693413932739228,0.050000630839106934,4.844091817224399,0.004283785820007324,0,0
k_random0_key_shift_cal,noisy_t1000,64,90,0.11628780839964747,0.05809540828152725,0.05000460974600476,3.1275131147199624,0.006533265113830566,0,0
k_random0_key_shift_cal,noisy_t500,64,90,0.054147482849657536,0.06058425883696448,0.05000472508836538,3.8412461241862426,0.008507072925567627,0,0
k_random1_key_shift_cal,noisy_t1000,64,90,0.15116377326194197,0.05781205807882846,0.0500035837389684,2.5494843063410375,0.006948783993721008,0,0
k_random1_key_shift_cal,noisy_t500,64,90,0.07338837420684285,0.06057161703984093,0.050003591467005504,2.797141202259809,0.006728321313858032,0,0
k_top_key_shift_cal,noisy_t1000,64,90,0.13824174628825858,0.07308094077143323,0.05000437077833339,1.6704440823833768,0.007401183247566223,0,0
k_top_key_shift_cal,noisy_t500,64,90,0.058146060327999294,0.07451625044632237,0.05000383386892887,1.7429747453192248,0.007790178060531616,0,0
k_top_policy_contrast_cal,noisy_t1000,64,90,0.10140039148973301,0.049438119454377254,0.050003489361066994,1.5518909814922761,0.005485266447067261,0,0
k_top_policy_contrast_cal,noisy_t500,64,90,0.042532154388027266,0.04805027189528725,0.050005965020197135,1.7761256956029683,0.006611868739128113,0,0
k_top_value_shift_cal,noisy_t1000,64,90,0.1331213492085226,0.07305535995565152,0.05000543701656473,1.695780165446922,0.008137151598930359,0,0
k_top_value_shift_cal,noisy_t500,64,90,0.05646062013693154,0.07371628081976572,0.050005978737802555,1.8066940535092726,0.007418617606163025,0,0
native_replay,noisy_t1000,64,0,0.0,0.0,0.0,1.0,0.0,0,0
native_replay,noisy_t500,64,0,0.0,0.0,0.0,1.0,0.0,0,0
policy_bottom_key_shift_cal,noisy_t1000,64,90,0.11043048693682067,0.052885886427975495,0.050005318662927796,2.6950928268798937,0.007053539156913757,0,0
policy_bottom_key_shift_cal,noisy_t500,64,90,0.04881444311467931,0.054327852852717726,0.05000289853778668,3.293295579481249,0.007492080330848694,0,0
policy_bottom_policy_contrast_cal,noisy_t1000,64,90,0.10353029178804718,0.038508710620226344,0.05000395461296042,2.156056858187852,0.006111636757850647,0,0
