comparison,channel,axis,policy,control,matched_intervention,dose,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:k:key_shift:top>bottom:dose1,susceptibility,k,key_shift,bottom,1,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.8985943391899831,0.9004976805465724,1.0,0.8693276446478271,0.9229704823400569,0.09117647058823529
susceptibility:k:key_shift:top>bottom:dose1,susceptibility,k,key_shift,bottom,1,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.8536350792279775,0.8580330489391805,1.0,0.8255838909263018,0.8780606536139455,0.2588235294117647
susceptibility:k:key_shift:top>bottom:dose1,susceptibility,k,key_shift,bottom,1,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.8761147092089804,0.8794363484006107,1.0,0.8491375635922301,0.8996129816774812,0.0588235294117647
susceptibility:k:key_shift:top>bottom:dose2,susceptibility,k,key_shift,bottom,1,2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.6850308108481289,0.6770225019249441,1.0,0.658819402637923,0.7144366650260215,0.6235294117647059
susceptibility:k:key_shift:top>bottom:dose2,susceptibility,k,key_shift,bottom,1,2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.6574348633705074,0.6379648772520684,1.0,0.6202413364788653,0.6970866806506693,0.7088235294117646
susceptibility:k:key_shift:top>bottom:dose2,susceptibility,k,key_shift,bottom,1,2,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.6712328371093182,0.6639287089655805,1.0,0.6397350813917213,0.707348439096993,0.5823529411764706
susceptibility:k:key_shift:top>bottom:dose3,susceptibility,k,key_shift,bottom,1,3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.5437938611793723,0.5336776889284451,1.0,0.5118138513784238,0.5761057499067498,0.7088235294117646
susceptibility:k:key_shift:top>bottom:dose3,susceptibility,k,key_shift,bottom,1,3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.5224165577153124,0.5233956384119296,1.0,0.48198305824868876,0.5630570618171599,0.9294117647058824
susceptibility:k:key_shift:top>bottom:dose3,susceptibility,k,key_shift,bottom,1,3,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.5331052094473423,0.529188360699368,1.0,0.49659152246462757,0.5718041179005461,0.7705882352941176
susceptibility:k:key_shift:top>bottom:dose4,susceptibility,k,key_shift,bottom,1,4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.5096549579788558,0.5103418688821183,1.0,0.47725861966630134,0.5432893536996009,0.6823529411764706
susceptibility:k:key_shift:top>bottom:dose4,susceptibility,k,key_shift,bottom,1,4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.4900926099645951,0.48647635568934827,1.0,0.4515918658118854,0.528148860394869,0.8911764705882352
susceptibility:k:key_shift:top>bottom:dose4,susceptibility,k,key_shift,bottom,1,4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.49987378397172544,0.5041661224362141,1.0,0.4652552822762036,0.5352500173192642,0.8117647058823528
susceptibility:v:value_shift:top>bottom:dose1,susceptibility,v,value_shift,bottom,1,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.06515684020027815,0.07694628721006909,0.75,0.03487647379088289,0.09467202738883745,0.22352941176470587
susceptibility:v:value_shift:top>bottom:dose1,susceptibility,v,value_shift,bottom,1,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.05485322210161799,0.07764565718909171,0.84375,0.02204707642966156,0.08412535902633413,0.6176470588235293
susceptibility:v:value_shift:top>bottom:dose1,susceptibility,v,value_shift,bottom,1,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.06000503115094807,0.07694628721006909,0.796875,0.030334357143401627,0.0882837568780006,0.3323529411764706
susceptibility:v:value_shift:top>bottom:dose2,susceptibility,v,value_shift,bottom,1,2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.16839125880552025,0.19676393042856588,0.9375,0.13696039716692626,0.1981918763318178,0.6088235294117647
susceptibility:v:value_shift:top>bottom:dose2,susceptibility,v,value_shift,bottom,1,2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.19779840875283716,0.2183667657093366,1.0,0.17108492593693347,0.22250225384713299,0.5088235294117647
susceptibility:v:value_shift:top>bottom:dose2,susceptibility,v,value_shift,bottom,1,2,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.1830948337791787,0.21107744395662978,0.96875,0.15513216481746206,0.2098832118231481,0.7323529411764707
susceptibility:v:value_shift:top>bottom:dose3,susceptibility,v,value_shift,bottom,1,3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.2473338548118556,0.2660572417375866,1.0,0.22985136164047837,0.26446840702923463,0.2352941176470588
susceptibility:v:value_shift:top>bottom:dose3,susceptibility,v,value_shift,bottom,1,3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.25141227402720945,0.2676630320869233,1.0,0.23033797851432627,0.27110777240687617,0.5264705882352941
susceptibility:v:value_shift:top>bottom:dose3,susceptibility,v,value_shift,bottom,1,3,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.24937306441953253,0.26653896249412967,1.0,0.2315408861567165,0.26683311273398097,0.29705882352941176
susceptibility:v:value_shift:top>bottom:dose4,susceptibility,v,value_shift,bottom,1,4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.22493655445850513,0.2362195799537823,1.0,0.20533383641598676,0.24349752014369433,0.31764705882352945
susceptibility:v:value_shift:top>bottom:dose4,susceptibility,v,value_shift,bottom,1,4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.23291692234346348,0.24901593873852612,1.0,0.20929978737852784,0.2537418235254543,0.7235294117647059
