comparison,channel,axis,policy,target,control,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:key_shift:top4>bottom4:target=0.02,susceptibility,policy,key_shift,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.15332815051415127,0.18327518219831918,0.90625,0.11285220394524689,0.19243101974664076,0.7335043988269794
susceptibility:key_shift:top4>bottom4:target=0.02,susceptibility,policy,key_shift,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.17401556668488433,0.19683911858286232,0.9375,0.13739833518106276,0.21012397407969857,0.7316715542521994
susceptibility:key_shift:top4>bottom4:target=0.02,susceptibility,policy,key_shift,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.16367185859951783,0.1912791789496723,0.921875,0.12530784403280468,0.20105473041933175,0.7653958944281525
susceptibility:key_shift:top4>middle4:target=0.02,susceptibility,policy,key_shift,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.04755384597478247,-0.045910334301218325,0.25,-0.06965319968332107,-0.02603540403740617,0.6708211143695014
susceptibility:key_shift:top4>middle4:target=0.02,susceptibility,policy,key_shift,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.029977738590856236,-0.02263190626168316,0.34375,-0.04930186918386287,-0.011328669200062563,0.533724340175953
susceptibility:key_shift:top4>middle4:target=0.02,susceptibility,policy,key_shift,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,-0.03876579228281935,-0.032222952268080085,0.296875,-0.059168416095455874,-0.018398132524773455,0.6041055718475072
susceptibility:key_shift:top4>random_ensemble:target=0.02,susceptibility,policy,key_shift,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.013270064412488236,0.023136123481293902,0.59375,-0.00579000981243179,0.03103347175686805,0.7445014662756598
susceptibility:key_shift:top4>random_ensemble:target=0.02,susceptibility,policy,key_shift,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.018834126139618705,0.027513065157272365,0.6875,0.002108839728281645,0.034584660697138565,0.6645894428152492
susceptibility:key_shift:top4>random_ensemble:target=0.02,susceptibility,policy,key_shift,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.01605209527605347,0.026453861442886195,0.640625,-0.0016955296190727567,0.03323814250608892,0.7386363636363636
susceptibility:value_shift:top4>bottom4:target=0.02,susceptibility,policy,value_shift,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.15540123575627135,0.18571315484936207,0.90625,0.11744950263522448,0.19291804677290209,0.6788856304985337
susceptibility:value_shift:top4>bottom4:target=0.02,susceptibility,policy,value_shift,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.17845376726127582,0.2034421951681759,0.9375,0.14354164641991868,0.21254704849930767,0.6477272727272727
susceptibility:value_shift:top4>bottom4:target=0.02,susceptibility,policy,value_shift,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.1669275015087736,0.1929573263405264,0.921875,0.12936000828588132,0.20276806621968324,0.6972140762463341
susceptibility:value_shift:top4>middle4:target=0.02,susceptibility,policy,value_shift,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.04440007198042005,-0.03674390189315191,0.25,-0.0650400077058923,-0.024825401144538718,0.6620234604105572
susceptibility:value_shift:top4>middle4:target=0.02,susceptibility,policy,value_shift,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.02528768448637978,-0.021693843578540508,0.34375,-0.044091063424526,-0.007497985340798344,0.49486803519061573
susceptibility:value_shift:top4>middle4:target=0.02,susceptibility,policy,value_shift,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,-0.03484387823339991,-0.030450885353548694,0.296875,-0.05357241641219533,-0.015760236901647677,0.6004398826979471
susceptibility:value_shift:top4>random_ensemble:target=0.02,susceptibility,policy,value_shift,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.01632585654014715,0.025832250198910556,0.609375,-0.0004844738433080576,0.03401704969325382,0.6968475073313782
susceptibility:value_shift:top4>random_ensemble:target=0.02,susceptibility,policy,value_shift,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.023172697778522558,0.03256896391738495,0.734375,0.007364962977559431,0.03908976637399842,0.6041055718475072
susceptibility:value_shift:top4>random_ensemble:target=0.02,susceptibility,policy,value_shift,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.019749277159334853,0.02991992276340172,0.671875,0.0030666748337953792,0.036320798776079966,0.6785190615835777
susceptibility:policy_contrast:top4>bottom4:target=0.02,susceptibility,policy,policy_contrast,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.17724710576392283,0.1784046457095755,0.9375,0.13838094994932107,0.21532419352142632,0.5084310850439883
susceptibility:policy_contrast:top4>bottom4:target=0.02,susceptibility,policy,policy_contrast,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.26190159466232676,0.2714637321847325,0.953125,0.22586710945544472,0.2968805292157205,0.5157624633431084
susceptibility:policy_contrast:top4>bottom4:target=0.02,susceptibility,policy,policy_contrast,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.21957435021312477,0.23755488322239138,0.9453125,0.18040625548512076,0.2540378364240569,0.5285923753665689
susceptibility:policy_contrast:top4>middle4:target=0.02,susceptibility,policy,policy_contrast,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.036943438945906834,-0.03792910117374905,0.28125,-0.05874892548247017,-0.015112749418534679,0.34274193548387094
susceptibility:policy_contrast:top4>middle4:target=0.02,susceptibility,policy,policy_contrast,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.01779255219772663,-0.014255573980828754,0.40625,-0.040148702543885896,0.0038928513183307946,0.32624633431085037
susceptibility:policy_contrast:top4>middle4:target=0.02,susceptibility,policy,policy_contrast,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,-0.027367995571816735,-0.02411309456522452,0.34375,-0.048836627561746546,-0.00657617838363049,0.3387096774193548
susceptibility:policy_contrast:top4>random_ensemble:target=0.02,susceptibility,policy,policy_contrast,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.01833169922334303,0.014872523474876331,0.625,0.0014987300238548866,0.033134214108319085,0.4270527859237536
susceptibility:policy_contrast:top4>random_ensemble:target=0.02,susceptibility,policy,policy_contrast,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.03808362687273597,0.040016595798850085,0.796875,0.022002904088087173,0.05295272561774387,0.3995601173020528
susceptibility:policy_contrast:top4>random_ensemble:target=0.02,susceptibility,policy,policy_contrast,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.0282076630480395,0.034928140010806796,0.7109375,0.01128530504595973,0.04266904136765764,0.4417155425219941
leverage:key_shift:top4>bottom4:target=0.02,leverage,policy,key_shift,0.02,bottom4,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.3167582550025493,0.22960647699714315,0.859375,0.21236203221191358,0.43038784973429833,0.11510263929618768
leverage:key_shift:top4>bottom4:target=0.02,leverage,policy,key_shift,0.02,bottom4,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.24946548400176655,0.19246423307824936,0.90625,0.16920165051380393,0.35638368772059675,0.40909090909090906
leverage:key_shift:top4>bottom4:target=0.02,leverage,policy,key_shift,0.02,bottom4,x0_relative_rms,paired_log_ratio,pooled,128,32,0.28311186950215794,0.2087127625094895,0.8828125,0.20015477196549036,0.38666939645353365,0.15249266862170086
leverage:key_shift:top4>middle4:target=0.02,leverage,policy,key_shift,0.02,middle4,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.16123077254682505,0.14832461975971387,0.78125,0.10677161707176551,0.21276544470760894,-0.15762463343108502
leverage:key_shift:top4>middle4:target=0.02,leverage,policy,key_shift,0.02,middle4,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.09337642094289964,0.07726539266653727,0.78125,0.0533432885062147,0.1288968234574199,0.08394428152492668
leverage:key_shift:top4>middle4:target=0.02,leverage,policy,key_shift,0.02,middle4,x0_relative_rms,paired_log_ratio,pooled,128,32,0.12730359674486233,0.11738300188690509,0.78125,0.08582789881265851,0.16781189000312313,0.03519061583577712
leverage:key_shift:top4>random_ensemble:target=0.02,leverage,policy,key_shift,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.1907601447899987,0.20124609837684315,0.90625,0.1503612268368341,0.23017592055266387,0.002932551319648094
leverage:key_shift:top4>random_ensemble:target=0.02,leverage,policy,key_shift,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.12877553426430283,0.1139411748849053,0.921875,0.09993535478188922,0.16274712455737098,0.38196480938416416
leverage:key_shift:top4>random_ensemble:target=0.02,leverage,policy,key_shift,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,pooled,128,32,0.15976783952715073,0.14276330121173553,0.9140625,0.1280885332936423,0.19267591743659537,0.13709677419354838
leverage:value_shift:top4>bottom4:target=0.02,leverage,policy,value_shift,0.02,bottom4,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.26461259016268324,0.16980841199718574,0.78125,0.1424770126870433,0.39566191582372867,0.3504398826979471
leverage:value_shift:top4>bottom4:target=0.02,leverage,policy,value_shift,0.02,bottom4,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.25747334315104886,0.20091653878594073,0.859375,0.17379869568700368,0.3683022299828843,0.4659090909090909
leverage:value_shift:top4>bottom4:target=0.02,leverage,policy,value_shift,0.02,bottom4,x0_relative_rms,paired_log_ratio,pooled,128,32,0.261042966656866,0.18736021698280203,0.8203125,0.16842257447598943,0.371034609913632,0.35630498533724336
leverage:value_shift:top4>middle4:target=0.02,leverage,policy,value_shift,0.02,middle4,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.1947526727898438,0.1323948579223476,0.8125,0.1254630368424212,0.2709293289991961,0.40579178885630496
leverage:value_shift:top4>middle4:target=0.02,leverage,policy,value_shift,0.02,middle4,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.11808779050750151,0.11980662104463105,0.828125,0.07604741462617727,0.15742967049418716,0.11803519061583577
leverage:value_shift:top4>middle4:target=0.02,leverage,policy,value_shift,0.02,middle4,x0_relative_rms,paired_log_ratio,pooled,128,32,0.15642023164867266,0.12533263779190282,0.8203125,0.1070445280754946,0.20580498072974152,0.48680351906158353
leverage:value_shift:top4>random_ensemble:target=0.02,leverage,policy,value_shift,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.19820866391337172,0.1503105657227961,0.859375,0.13964022126182637,0.25801678734388706,0.2958211143695014
leverage:value_shift:top4>random_ensemble:target=0.02,leverage,policy,value_shift,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.14137239162065204,0.12146731850737646,0.921875,0.10906063905226251,0.17889193609912993,0.4050586510263929
leverage:value_shift:top4>random_ensemble:target=0.02,leverage,policy,value_shift,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,pooled,128,32,0.16979052776701187,0.1344197500943336,0.890625,0.13067439387660182,0.21027905834225738,0.4105571847507331
leverage:policy_contrast:top4>bottom4:target=0.02,leverage,policy,policy_contrast,0.02,bottom4,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.20658843981086863,0.20650668124442584,0.8125,0.12136602127764215,0.29313830644781386,0.11803519061583577
leverage:policy_contrast:top4>bottom4:target=0.02,leverage,policy,policy_contrast,0.02,bottom4,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.12780369306627085,0.09993326939395294,0.90625,0.08687157432594482,0.17456895295929326,0.595307917888563
leverage:policy_contrast:top4>bottom4:target=0.02,leverage,policy,policy_contrast,0.02,bottom4,x0_relative_rms,paired_log_ratio,pooled,128,32,0.16719606643856977,0.1330830640682646,0.859375,0.1125171653372905,0.2225776924825215,0.2910557184750733
leverage:policy_contrast:top4>middle4:target=0.02,leverage,policy,policy_contrast,0.02,middle4,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.07353417793201135,0.12040268446538993,0.609375,-0.034423279349882985,0.1707411107397212,0.1279325513196481
leverage:policy_contrast:top4>middle4:target=0.02,leverage,policy,policy_contrast,0.02,middle4,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.07293974244258518,-0.057845415281478296,0.296875,-0.13452049394011253,-0.01703318213273679,0.32991202346041054
leverage:policy_contrast:top4>middle4:target=0.02,leverage,policy,policy_contrast,0.02,middle4,x0_relative_rms,paired_log_ratio,pooled,128,32,0.00029721774471308006,-0.023701998313983286,0.453125,-0.07716824055518698,0.07228298857125832,0.21444281524926684
leverage:policy_contrast:top4>random_ensemble:target=0.02,leverage,policy,policy_contrast,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.16172797098691621,0.1544793408511218,0.8125,0.10783167857936723,0.2146418891433513,0.022727272727272724
leverage:policy_contrast:top4>random_ensemble:target=0.02,leverage,policy,policy_contrast,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.06509042151599667,0.058237063060873506,0.8125,0.03996867624533014,0.09076638787222487,0.3662023460410557
leverage:policy_contrast:top4>random_ensemble:target=0.02,leverage,policy,policy_contrast,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,pooled,128,32,0.11340919625145644,0.09712128704738254,0.8125,0.08110098728771432,0.1463159617912781,0.09420821114369501
