comparison,channel,axis,policy,target,control,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:policy_contrast>key_shift:target=0.02,susceptibility,policy,policy_contrast,0.02,key_shift,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,0.02391895524977155,0.04406635978222205,0.625,0.000236182246192011,0.047619781606923026,0.469941348973607
susceptibility:policy_contrast>key_shift:target=0.02,susceptibility,policy,policy_contrast,0.02,key_shift,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,0.0878860279774424,0.09749341789070914,0.890625,0.06396192425917299,0.11158977040656293,0.375366568914956
susceptibility:policy_contrast>key_shift:target=0.02,susceptibility,policy,policy_contrast,0.02,key_shift,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,0.05590249161360697,0.05662931614028033,0.7578125,0.032495713443029664,0.07898418556521665,0.45894428152492656
susceptibility:policy_contrast>value_shift:target=0.02,susceptibility,policy,policy_contrast,0.02,value_shift,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,0.021845870007651487,0.022526925879502918,0.640625,-0.00022558924243136442,0.04310282413849892,0.468841642228739
susceptibility:policy_contrast>value_shift:target=0.02,susceptibility,policy,policy_contrast,0.02,value_shift,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,0.08344782740105089,0.08631214376845299,0.84375,0.06069697935626009,0.10583161466654364,0.2734604105571847
susceptibility:policy_contrast>value_shift:target=0.02,susceptibility,policy,policy_contrast,0.02,value_shift,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,0.052646848704351185,0.05229512591535028,0.7421875,0.031082178762811462,0.07323074035960528,0.3896627565982404
leverage:policy_contrast>key_shift:target=0.02,leverage,policy,policy_contrast,0.02,key_shift,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,-0.11016981519168065,-0.10643845816639537,0.34375,-0.23686979042138173,0.012755111389926478,0.01063049853372434
leverage:policy_contrast>key_shift:target=0.02,leverage,policy,policy_contrast,0.02,key_shift,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,-0.12166179093549571,-0.08090327007220033,0.25,-0.20537847466336712,-0.052966715367180374,0.3566715542521994
leverage:policy_contrast>key_shift:target=0.02,leverage,policy,policy_contrast,0.02,key_shift,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,-0.11591580306358817,-0.0904982106009461,0.296875,-0.198132600825631,-0.03965300500074373,-0.032991202346041054
leverage:policy_contrast>value_shift:target=0.02,leverage,policy,policy_contrast,0.02,value_shift,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,-0.0580241503518146,-0.014240869835596168,0.453125,-0.1783181383117893,0.0769787197702981,0.15175953079178883
leverage:policy_contrast>value_shift:target=0.02,leverage,policy,policy_contrast,0.02,value_shift,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,-0.129669650084778,-0.0713320098483662,0.34375,-0.2204681841012397,-0.05349880144571514,0.5080645161290323
leverage:policy_contrast>value_shift:target=0.02,leverage,policy,policy_contrast,0.02,value_shift,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,-0.09384690021829628,-0.06126065953893817,0.3984375,-0.17887109104044394,-0.012354188099701707,0.16532258064516128
