probe_name,policy,rank_group,target,context,unit_count,calibrated_layer_count,calibration_clipped_count,calibration_degenerate_count,calibration_max_relative_error,calibration_scale_min,calibration_scale_max,target_consistent,policy_or_shift_valid,integrity_pass
policy_bottom4_key_shift_t020,key_shift,bottom4,0.02,noisy_t1000,64,1920,0,0,0.018029846251010895,0.08907781541347504,13.113922119140625,1,1,1
policy_bottom4_key_shift_t020,key_shift,bottom4,0.02,noisy_t500,64,1920,0,0,0.017401669174432755,0.07804491370916367,15.914420127868652,1,1,1
policy_bottom4_policy_contrast_t020,policy_contrast,bottom4,0.02,noisy_t1000,64,1920,0,0,0.022085104137659073,0.05813830345869064,6.098742961883545,1,1,0
policy_bottom4_policy_contrast_t020,policy_contrast,bottom4,0.02,noisy_t500,64,1920,0,0,0.01976415514945984,0.07352282106876373,8.510754585266113,1,1,1
policy_bottom4_value_shift_t020,value_shift,bottom4,0.02,noisy_t1000,64,1920,0,0,0.016898103058338165,0.08448537439107895,11.033355712890625,1,1,1
policy_bottom4_value_shift_t020,value_shift,bottom4,0.02,noisy_t500,64,1920,0,0,0.019223615527153015,0.07605835050344467,14.889190673828125,1,1,1
policy_middle4_key_shift_t020,key_shift,middle4,0.02,noisy_t1000,64,1920,0,0,0.016090180724859238,0.06563988327980042,10.387334823608398,1,1,1
policy_middle4_key_shift_t020,key_shift,middle4,0.02,noisy_t500,64,1920,0,0,0.01766253262758255,0.06193463131785393,13.559340476989746,1,1,1
policy_middle4_policy_contrast_t020,policy_contrast,middle4,0.02,noisy_t1000,64,1920,0,0,0.014335662126541138,0.06604417413473129,3.4586589336395264,1,1,1
policy_middle4_policy_contrast_t020,policy_contrast,middle4,0.02,noisy_t500,64,1920,0,0,0.016156304627656937,0.05267243832349777,4.159023761749268,1,1,1
policy_middle4_value_shift_t020,value_shift,middle4,0.02,noisy_t1000,64,1920,0,0,0.019140634685754776,0.06667803972959518,10.197380065917969,1,1,1
policy_middle4_value_shift_t020,value_shift,middle4,0.02,noisy_t500,64,1920,0,0,0.014946423470973969,0.06415991485118866,9.958083152770996,1,1,1
policy_random0_key_shift_t020,key_shift,random0,0.02,noisy_t1000,64,1920,0,0,0.01779543235898018,0.07815377414226532,12.018227577209473,1,1,1
policy_random0_key_shift_t020,key_shift,random0,0.02,noisy_t500,64,1920,0,0,0.0205380842089653,0.067569300532341,16.04886817932129,1,1,0
policy_random0_policy_contrast_t020,policy_contrast,random0,0.02,noisy_t1000,64,1920,0,0,0.018710270524024963,0.04844975844025612,4.5377020835876465,1,1,1
policy_random0_policy_contrast_t020,policy_contrast,random0,0.02,noisy_t500,64,1920,0,0,0.017705652862787247,0.03970715031027794,6.42271089553833,1,1,1
policy_random0_value_shift_t020,value_shift,random0,0.02,noisy_t1000,64,1920,0,0,0.01662392169237137,0.07524222880601883,11.381758689880371,1,1,1
policy_random0_value_shift_t020,value_shift,random0,0.02,noisy_t500,64,1920,0,0,0.019191578030586243,0.06462613493204117,13.005681037902832,1,1,1
policy_random1_key_shift_t020,key_shift,random1,0.02,noisy_t1000,64,1920,0,0,0.019186735153198242,0.0774197056889534,11.684365272521973,1,1,1
policy_random1_key_shift_t020,key_shift,random1,0.02,noisy_t500,64,1920,0,0,0.020032096654176712,0.06832714378833771,18.425243377685547,1,1,0
policy_random1_policy_contrast_t020,policy_contrast,random1,0.02,noisy_t1000,64,1920,0,0,0.01826845109462738,0.05521544814109802,4.400084495544434,1,1,1
policy_random1_policy_contrast_t020,policy_contrast,random1,0.02,noisy_t500,64,1920,0,0,0.022130366414785385,0.05018342286348343,5.051277160644531,1,1,0
policy_random1_value_shift_t020,value_shift,random1,0.02,noisy_t1000,64,1920,0,0,0.01943567767739296,0.07858459651470184,14.69963550567627,1,1,1
policy_random1_value_shift_t020,value_shift,random1,0.02,noisy_t500,64,1920,0,0,0.023971963673830032,0.06952047348022461,12.358304023742676,1,1,0
policy_random2_key_shift_t020,key_shift,random2,0.02,noisy_t1000,64,1920,0,0,0.020210910588502884,0.06370169669389725,13.091415405273438,1,1,0
policy_random2_key_shift_t020,key_shift,random2,0.02,noisy_t500,64,1920,0,0,0.021099206060171127,0.05941145122051239,9.871620178222656,1,1,0
policy_random2_policy_contrast_t020,policy_contrast,random2,0.02,noisy_t1000,64,1920,0,0,0.01779254525899887,0.03630688786506653,7.086825370788574,1,1,1
policy_random2_policy_contrast_t020,policy_contrast,random2,0.02,noisy_t500,64,1920,0,0,0.020644627511501312,0.04791269823908806,6.7723212242126465,1,1,0
policy_random2_value_shift_t020,value_shift,random2,0.02,noisy_t1000,64,1920,0,0,0.023029930889606476,0.0629432201385498,11.278064727783203,1,1,0
policy_random2_value_shift_t020,value_shift,random2,0.02,noisy_t500,64,1920,0,0,0.02013426274061203,0.060290753841400146,10.863243103027344,1,1,0
policy_random3_key_shift_t020,key_shift,random3,0.02,noisy_t1000,64,1920,0,0,0.022502802312374115,0.07333710789680481,11.504594802856445,1,1,0
policy_random3_key_shift_t020,key_shift,random3,0.02,noisy_t500,64,1920,0,0,0.023292936384677887,0.06574489921331406,9.149150848388672,1,1,0
policy_random3_policy_contrast_t020,policy_contrast,random3,0.02,noisy_t1000,64,1920,0,0,0.017781928181648254,0.03401254490017891,4.983043670654297,1,1,1
