comparison,channel,axis,policy,target,control,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:key_shift:top4>random0:target=0.02,susceptibility,policy,key_shift,0.02,random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.01092483270632977,0.013618958462241064,0.640625,-0.00648970953494324,0.02670190732951257,0.49010263929618764
susceptibility:key_shift:top4>random0:target=0.02,susceptibility,policy,key_shift,0.02,random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.02706894394061904,0.030213276359840405,0.75,0.01259896919754442,0.04060455278169521,0.32661290322580644
susceptibility:key_shift:top4>random0:target=0.02,susceptibility,policy,key_shift,0.02,random0,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.018996888323474403,0.022170485640036916,0.6953125,0.003164884562810462,0.03357265399703691,0.4101906158357771
susceptibility:key_shift:top4>random1:target=0.02,susceptibility,policy,key_shift,0.02,random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.050816539272034424,0.05474169485824548,0.75,0.029380883857225155,0.0724354464890808,0.8024193548387096
susceptibility:key_shift:top4>random1:target=0.02,susceptibility,policy,key_shift,0.02,random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.03938525175644834,0.04778877440823628,0.75,0.018645335366442778,0.05989116434017069,0.7767595307917888
susceptibility:key_shift:top4>random1:target=0.02,susceptibility,policy,key_shift,0.02,random1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.045100895514241374,0.052971822606061605,0.75,0.024063405777386918,0.06591661080908666,0.8159824046920819
susceptibility:key_shift:top4>random2:target=0.02,susceptibility,policy,key_shift,0.02,random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.001983842639743125,0.010361355401252915,0.5625,-0.026501833916178986,0.022364842642349437,0.7327712609970675
susceptibility:key_shift:top4>random2:target=0.02,susceptibility,policy,key_shift,0.02,random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.015530202120730708,0.023562086120431508,0.65625,-0.007350304457097399,0.03892087243607909,0.7294721407624633
susceptibility:key_shift:top4>random2:target=0.02,susceptibility,policy,key_shift,0.02,random2,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.006773179740493791,0.0187606145324325,0.609375,-0.016725034481861845,0.02989528570315432,0.7324046920821115
susceptibility:key_shift:top4>random3:target=0.02,susceptibility,policy,key_shift,0.02,random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.01871637361199215,-0.009552115846282168,0.421875,-0.036173856084965386,-0.002322092202234665,0.6022727272727273
susceptibility:key_shift:top4>random3:target=0.02,susceptibility,policy,key_shift,0.02,random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.017401690762526394,-0.010347879838750604,0.390625,-0.032844836762224855,-0.0033946614662419875,0.4857038123167155
susceptibility:key_shift:top4>random3:target=0.02,susceptibility,policy,key_shift,0.02,random3,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,-0.018059032187259273,-0.010269475716135047,0.40625,-0.033764198249890985,-0.0030019396168244014,0.5300586510263929
susceptibility:key_shift:top4>random4:target=0.02,susceptibility,policy,key_shift,0.02,random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.07837181203052396,0.08275371233691516,0.765625,0.050946713043520754,0.10806468525414127,0.6656891495601173
susceptibility:key_shift:top4>random4:target=0.02,susceptibility,policy,key_shift,0.02,random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.09578226240252342,0.10397857139831229,0.890625,0.06834723276795768,0.12317956768783082,0.7008797653958942
susceptibility:key_shift:top4>random4:target=0.02,susceptibility,policy,key_shift,0.02,random4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,128,32,0.0870770372165237,0.09751542944045558,0.828125,0.059578601185068296,0.11513579468919846,0.7052785923753665
susceptibility:key_shift:top4>random5:target=0.02,susceptibility,policy,key_shift,0.02,random5,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.004402369557045639,0.0052921606005538555,0.515625,-0.020514226889367337,0.012520819762511516,0.5249266862170088
susceptibility:key_shift:top4>random5:target=0.02,susceptibility,policy,key_shift,0.02,random5,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.0026556472811705015,0.009957897708456367,0.609375,-0.013070647055279298,0.01787411109695314,0.49010263929618764
