comparison,channel,axis,policy,target,control,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:policy_contrast:top4>bottom4:target=0.01,susceptibility,policy,policy_contrast,0.01,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.21897500787630225,0.1999259019370988,0.96875,0.17372751771748635,0.26284678128284905,0.4676470588235294
susceptibility:policy_contrast:top4>bottom4:target=0.01,susceptibility,policy,policy_contrast,0.01,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.2950923240135224,0.30225727299899985,1.0,0.24792657179698926,0.33749065581851306,0.5470588235294118
susceptibility:policy_contrast:top4>bottom4:target=0.01,susceptibility,policy,policy_contrast,0.01,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.2570336659449124,0.25580503482288763,0.984375,0.21116085375724045,0.3001692217996595,0.5176470588235293
susceptibility:policy_contrast:top4>middle4:target=0.01,susceptibility,policy,policy_contrast,0.01,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.02983937792650945,-0.040784760570758256,0.3125,-0.05373615873976229,-0.0055166897652969,0.2411764705882353
susceptibility:policy_contrast:top4>middle4:target=0.01,susceptibility,policy,policy_contrast,0.01,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.00470067297850034,-0.00725669879882042,0.40625,-0.02662089915453539,0.016847229812183364,0.19117647058823528
susceptibility:policy_contrast:top4>middle4:target=0.01,susceptibility,policy,policy_contrast,0.01,middle4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,-0.017270025452504896,-0.015739335553544065,0.359375,-0.04039376835354002,0.005370909286738576,0.2588235294117647
susceptibility:policy_contrast:top4>random_ensemble:target=0.01,susceptibility,policy,policy_contrast,0.01,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.029989349819993114,0.02354568328286022,0.65625,0.010860454927364059,0.047669092819207726,0.3764705882352941
susceptibility:policy_contrast:top4>random_ensemble:target=0.01,susceptibility,policy,policy_contrast,0.01,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.05013968072240908,0.04604916469550613,0.875,0.03391372690955278,0.06630033821584397,0.3529411764705882
susceptibility:policy_contrast:top4>random_ensemble:target=0.01,susceptibility,policy,policy_contrast,0.01,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.0400645152712011,0.03816158964774519,0.765625,0.023245064577857008,0.057171066804977216,0.2647058823529412
susceptibility:policy_contrast:top4>bottom4:target=0.02,susceptibility,policy,policy_contrast,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.22328956663833938,0.20229765450333617,0.96875,0.1775060935534603,0.26843329347392936,0.4441176470588235
susceptibility:policy_contrast:top4>bottom4:target=0.02,susceptibility,policy,policy_contrast,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.29595948573997133,0.3002761026557167,1.0,0.25282926259494437,0.33707176679636114,0.5323529411764706
susceptibility:policy_contrast:top4>bottom4:target=0.02,susceptibility,policy,policy_contrast,0.02,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.2596245261891554,0.2572703778011638,0.984375,0.213232932476753,0.30172810002537825,0.5411764705882353
susceptibility:policy_contrast:top4>middle4:target=0.02,susceptibility,policy,policy_contrast,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.026863770893435106,-0.03804198403087504,0.3125,-0.05181752294347178,-0.0019691166713202476,0.22647058823529412
susceptibility:policy_contrast:top4>middle4:target=0.02,susceptibility,policy,policy_contrast,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.0033838865728871843,-0.007380026033945187,0.4375,-0.025998967176723082,0.01818409564213038,0.16176470588235295
susceptibility:policy_contrast:top4>middle4:target=0.02,susceptibility,policy,policy_contrast,0.02,middle4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,-0.015123828733161145,-0.014255573980828754,0.375,-0.0380139615821375,0.006932373216414175,0.22647058823529412
susceptibility:policy_contrast:top4>random_ensemble:target=0.02,susceptibility,policy,policy_contrast,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.032843883489475395,0.026313557039440827,0.65625,0.01471280582854696,0.050838838284464616,0.33529411764705885
susceptibility:policy_contrast:top4>random_ensemble:target=0.02,susceptibility,policy,policy_contrast,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.05137685233197144,0.04750878421619076,0.84375,0.034962642699151024,0.06743803676160491,0.2764705882352941
susceptibility:policy_contrast:top4>random_ensemble:target=0.02,susceptibility,policy,policy_contrast,0.02,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.042110367910723416,0.041042202401773586,0.75,0.025344940502722426,0.058744340087564066,0.27941176470588236
susceptibility:policy_contrast:top4>bottom4:target=0.05,susceptibility,policy,policy_contrast,0.05,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.23710571374124562,0.2099318157526448,1.0,0.19228708732376484,0.28011988004835225,0.4088235294117647
susceptibility:policy_contrast:top4>bottom4:target=0.05,susceptibility,policy,policy_contrast,0.05,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.30050358851080444,0.2989785189142684,1.0,0.25835145278961175,0.3398361697028,0.5235294117647059
susceptibility:policy_contrast:top4>bottom4:target=0.05,susceptibility,policy,policy_contrast,0.05,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.26880465112602503,0.26714399053699145,1.0,0.2263890427941777,0.309867656516038,0.411764705882353
susceptibility:policy_contrast:top4>middle4:target=0.05,susceptibility,policy,policy_contrast,0.05,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.01580496768703342,-0.013861160669524527,0.34375,-0.042264877835541836,0.009070354418981831,0.15882352941176472
