probe_name,policy,rank_group,target,context,unit_count,calibrated_layer_count,calibration_clipped_count,calibration_degenerate_count,calibration_max_relative_error,calibration_scale_min,calibration_scale_max,target_consistent,policy_or_shift_valid,integrity_pass
policy_bottom4_policy_contrast_t010,policy_contrast,bottom4,0.01,noisy_t1000,32,960,0,0,0.02599405124783516,0.029139727354049683,3.0439906120300293,1,1,0
policy_bottom4_policy_contrast_t010,policy_contrast,bottom4,0.01,noisy_t500,32,960,0,0,0.037741195410490036,0.0369868166744709,4.007809638977051,1,1,0
policy_bottom4_policy_contrast_t020,policy_contrast,bottom4,0.02,noisy_t1000,32,960,0,0,0.015565566718578339,0.05813830345869064,6.098742961883545,1,1,1
policy_bottom4_policy_contrast_t020,policy_contrast,bottom4,0.02,noisy_t500,32,960,0,0,0.014396756887435913,0.07352282106876373,8.010665893554688,1,1,1
policy_bottom4_policy_contrast_t050,policy_contrast,bottom4,0.05,noisy_t1000,32,960,0,0,0.005802363157272339,0.14431896805763245,15.313919067382812,1,1,1
policy_bottom4_policy_contrast_t050,policy_contrast,bottom4,0.05,noisy_t500,32,960,0,0,0.006821677088737488,0.179718017578125,20.05428123474121,1,1,1
policy_middle4_policy_contrast_t010,policy_contrast,middle4,0.01,noisy_t1000,32,960,0,0,0.03156792372465134,0.03293241560459137,1.611711025238037,1,1,0
policy_middle4_policy_contrast_t010,policy_contrast,middle4,0.01,noisy_t500,32,960,0,0,0.03449944779276848,0.026332447305321693,1.7643464803695679,1,1,0
policy_middle4_policy_contrast_t020,policy_contrast,middle4,0.02,noisy_t1000,32,960,0,0,0.014335662126541138,0.06604417413473129,3.154611349105835,1,1,1
policy_middle4_policy_contrast_t020,policy_contrast,middle4,0.02,noisy_t500,32,960,0,0,0.013732444494962692,0.05267243832349777,3.5202550888061523,1,1,1
policy_middle4_policy_contrast_t050,policy_contrast,middle4,0.05,noisy_t1000,32,960,0,0,0.008437037467956543,0.16595855355262756,7.991046905517578,1,1,1
policy_middle4_policy_contrast_t050,policy_contrast,middle4,0.05,noisy_t500,32,960,0,0,0.006058588624000549,0.1321120411157608,8.779271125793457,1,1,1
policy_random0_policy_contrast_t010,policy_contrast,random0,0.01,noisy_t1000,32,960,0,0,0.02999464049935341,0.024070044979453087,2.2758545875549316,1,1,0
policy_random0_policy_contrast_t010,policy_contrast,random0,0.01,noisy_t500,32,960,0,0,0.03397827968001366,0.019728291779756546,3.2245750427246094,1,1,0
policy_random0_policy_contrast_t020,policy_contrast,random0,0.02,noisy_t1000,32,960,0,0,0.018710270524024963,0.04844975844025612,4.5377020835876465,1,1,1
policy_random0_policy_contrast_t020,policy_contrast,random0,0.02,noisy_t500,32,960,0,0,0.017705652862787247,0.03970715031027794,6.42271089553833,1,1,1
policy_random0_policy_contrast_t050,policy_contrast,random0,0.05,noisy_t1000,32,960,0,0,0.007501840591430664,0.12318044900894165,11.229376792907715,1,1,1
policy_random0_policy_contrast_t050,policy_contrast,random0,0.05,noisy_t500,32,960,0,0,0.005842074751853943,0.10112043470144272,15.771774291992188,1,1,1
policy_random1_policy_contrast_t010,policy_contrast,random1,0.01,noisy_t1000,32,960,0,0,0.04265615716576576,0.027549805119633675,1.7503445148468018,1,1,0
policy_random1_policy_contrast_t010,policy_contrast,random1,0.01,noisy_t500,32,960,0,0,0.0299026258289814,0.025039609521627426,2.0475265979766846,1,1,0
policy_random1_policy_contrast_t020,policy_contrast,random1,0.02,noisy_t1000,32,960,0,0,0.012077763676643372,0.05521544814109802,3.5192201137542725,1,1,1
policy_random1_policy_contrast_t020,policy_contrast,random1,0.02,noisy_t500,32,960,0,0,0.020109117031097412,0.05018342286348343,4.096032619476318,1,1,0
policy_random1_policy_contrast_t050,policy_contrast,random1,0.05,noisy_t1000,32,960,0,0,0.00654563307762146,0.1388329714536667,8.857966423034668,1,1,1
