comparison,channel,axis,policy,target,control,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:policy_contrast:top4>random0:target=0.01,susceptibility,policy,policy_contrast,0.01,random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.060706532548049696,0.06656440224651913,0.75,0.038111971550776724,0.0829219320597103,0.3
susceptibility:policy_contrast:top4>random0:target=0.01,susceptibility,policy,policy_contrast,0.01,random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.08518545618318528,0.09241824415985553,0.90625,0.06707841522760206,0.10250068346198819,0.1411764705882353
susceptibility:policy_contrast:top4>random0:target=0.01,susceptibility,policy,policy_contrast,0.01,random0,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.07294599436561747,0.08117641138994482,0.828125,0.05307029176813775,0.0919432291126247,0.36764705882352944
susceptibility:policy_contrast:top4>random1:target=0.01,susceptibility,policy,policy_contrast,0.01,random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.07218384384130344,0.06948427927167802,0.9375,0.05189810138906038,0.09295736396112715,0.3
susceptibility:policy_contrast:top4>random1:target=0.01,susceptibility,policy,policy_contrast,0.01,random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.07399419973543733,0.0670156852530222,0.90625,0.053303811651233025,0.0948294006198184,0.3058823529411765
susceptibility:policy_contrast:top4>random1:target=0.01,susceptibility,policy,policy_contrast,0.01,random1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.07308902178837037,0.06948427927167802,0.921875,0.052374159355732454,0.09351509220676674,0.31176470588235294
susceptibility:policy_contrast:top4>random2:target=0.01,susceptibility,policy,policy_contrast,0.01,random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.008379198392047135,-0.0004532304570636947,0.5,-0.022161083798180492,0.03754205701335496,0.5294117647058824
susceptibility:policy_contrast:top4>random2:target=0.01,susceptibility,policy,policy_contrast,0.01,random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.05403820221671121,0.04956094037701449,0.78125,0.027555553532156357,0.07832262980753497,0.5088235294117647
susceptibility:policy_contrast:top4>random2:target=0.01,susceptibility,policy,policy_contrast,0.01,random2,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.031208700304379174,0.03269570638675903,0.640625,0.0035706872316766934,0.056201916763404275,0.44705882352941173
susceptibility:policy_contrast:top4>random3:target=0.01,susceptibility,policy,policy_contrast,0.01,random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.0046887454266851805,-0.003755737903085551,0.5,-0.023901493501152404,0.012256028617584113,0.35000000000000003
susceptibility:policy_contrast:top4>random3:target=0.01,susceptibility,policy,policy_contrast,0.01,random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.022119239428005387,0.012820104276948744,0.6875,0.008536564059969,0.035063907456562196,0.2911764705882353
susceptibility:policy_contrast:top4>random3:target=0.01,susceptibility,policy,policy_contrast,0.01,random3,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.008715247000660106,0.006155192835271599,0.59375,-0.006770432550914741,0.02343378979137579,0.34411764705882353
susceptibility:policy_contrast:top4>random4:target=0.01,susceptibility,policy,policy_contrast,0.01,random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.051671679392512174,0.039324268431262896,0.78125,0.021536816996377658,0.07834551936707783,0.08529411764705883
susceptibility:policy_contrast:top4>random4:target=0.01,susceptibility,policy,policy_contrast,0.01,random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.07754801671211581,0.0717946375001563,0.8125,0.04867787457359843,0.10561241324603818,0.28529411764705886
susceptibility:policy_contrast:top4>random4:target=0.01,susceptibility,policy,policy_contrast,0.01,random4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.06460984805231398,0.06280013153387926,0.796875,0.03638180393789383,0.09132775792766949,0.19705882352941176
