comparison,channel,axis,policy,target,control,rank_group,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
leverage:top4:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,top4,x0_relative_rms,target_log_ratio,noisy_t1000,32,16,1.3453041771796728,1.318846099782114,1.0,1.278841533127958,1.411077318023555,0.3294117647058824
leverage:top4:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,top4,x0_relative_rms,target_log_ratio,noisy_t500,32,16,1.225487518728971,1.2310697066652425,1.0,1.1941128806279357,1.2560963286404419,0.2911764705882353
leverage:top4:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,top4,x0_relative_rms,target_log_ratio,pooled,64,16,1.2853958479543217,1.2488105873228452,1.0,1.2546067229224458,1.3163065036437276,0.17941176470588235
leverage:bottom4:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,bottom4,x0_relative_rms,target_log_ratio,noisy_t1000,32,16,1.2413441243935792,1.2701250949036145,1.0,1.1795308214778937,1.2913388486471495,0.12352941176470587
leverage:bottom4:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,bottom4,x0_relative_rms,target_log_ratio,noisy_t500,32,16,1.1447892254154195,1.1340826963000756,1.0,1.1099282891473459,1.1806535612491562,0.36176470588235293
leverage:bottom4:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,bottom4,x0_relative_rms,target_log_ratio,pooled,64,16,1.1930666749044994,1.1930472596968493,1.0,1.154960604644177,1.223905365552324,0.18529411764705883
leverage:middle4:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,middle4,x0_relative_rms,target_log_ratio,noisy_t1000,32,16,1.394533019725338,1.3468075086236826,1.0,1.3117959909757169,1.4792885253205288,-0.0411764705882353
leverage:middle4:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,middle4,x0_relative_rms,target_log_ratio,noisy_t500,32,16,1.2865924459362983,1.2002760823553058,1.0,1.1995049726656986,1.397381268952664,0.21764705882352942
leverage:middle4:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,middle4,x0_relative_rms,target_log_ratio,pooled,64,16,1.3405627328308183,1.2430626126334758,1.0,1.2702954085972011,1.4219533804160005,-0.032352941176470584
leverage:random_ensemble:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,random_ensemble,x0_relative_rms,target_log_ratio,noisy_t1000,32,16,1.282563648957539,1.292103227448977,1.0,1.2387856675313254,1.321402135531774,0.3852941176470588
leverage:random_ensemble:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,random_ensemble,x0_relative_rms,target_log_ratio,noisy_t500,32,16,1.1772598660160762,1.1642617862054148,1.0,1.135920168063676,1.2229859547181656,0.6147058823529412
leverage:random_ensemble:target0.05>0.01,leverage,policy,policy_contrast,0.05,target0.01,random_ensemble,x0_relative_rms,target_log_ratio,pooled,64,16,1.2299117574868077,1.2139974945329506,1.0,1.2007886437580952,1.2607816494996833,0.36764705882352944
