prompt_slot,seed_replicate,context,probe_name,policy,rank_group,layer,calibration_relative_error,calibration_scale,reasons,profile
0,0,noisy_t750,scalar_high4_value_shift_t020,value_shift,scalar_high4,8,0.023007672280073166,2.502861976623535,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00000_v151_p00_src009_s0.pt
1,0,noisy_t250,scalar_low4_uniform_t020,policy_contrast,scalar_low4,10,0.020518340170383453,0.5004721879959106,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00002_v151_p01_src014_s0.pt
1,0,noisy_t250,signed_middle4_uniform_t020,policy_contrast,signed_middle4,6,0.021172314882278442,0.5005427002906799,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00002_v151_p01_src014_s0.pt
1,1,noisy_t1000,signed_middle4_uniform_t020,policy_contrast,signed_middle4,21,0.02030869945883751,0.5001499652862549,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00003_v151_p01_src014_s1.pt
2,1,noisy_t250,scalar_high4_value_shift_t020,value_shift,scalar_high4,8,0.02409936860203743,1.5017632246017456,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00005_v151_p02_src016_s1.pt
3,0,noisy_t500,random6_uniform_t020,policy_contrast,random6,12,0.020471680909395218,1.5000524520874023,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00006_v151_p03_src020_s0.pt
3,0,noisy_t250,scalar_high4_boundary_t020,policy_contrast,scalar_high4,7,0.020156148821115494,0.5027713775634766,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00006_v151_p03_src020_s0.pt
4,0,noisy_t1000,scalar_high4_value_shift_t020,value_shift,scalar_high4,8,0.02390919253230095,2.50443434715271,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00008_v151_p04_src022_s0.pt
4,1,noisy_t500,scalar_high4_uniform_t020,policy_contrast,scalar_high4,19,0.020159408450126648,0.5005127787590027,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00009_v151_p04_src022_s1.pt
5,1,noisy_t500,scalar_high4_key_shift_t020,key_shift,scalar_high4,8,0.022744573652744293,2.5048134326934814,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00011_v151_p05_src025_s1.pt
5,1,noisy_t250,scalar_low4_uniform_t020,policy_contrast,scalar_low4,0,0.023586582392454147,6.504014015197754,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00011_v151_p05_src025_s1.pt
5,1,noisy_t250,signed_middle4_uniform_t020,policy_contrast,signed_middle4,6,0.021550804376602173,0.5001835227012634,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00011_v151_p05_src025_s1.pt
6,0,noisy_t750,signed_high4_key_shift_t020,key_shift,signed_high4,0,0.025816448032855988,2.519385814666748,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00012_v151_p06_src026_s0.pt
7,0,noisy_t1000,random6_uniform_t020,policy_contrast,random6,20,0.024075806140899658,7.507736682891846,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00014_v151_p07_src029_s0.pt
7,1,noisy_t750,scalar_high4_key_shift_t020,key_shift,scalar_high4,8,0.02440260723233223,3.507211446762085,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00015_v151_p07_src029_s1.pt
7,1,noisy_t500,scalar_high4_uniform_t020,policy_contrast,scalar_high4,8,0.02382975071668625,2.501645565032959,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00015_v151_p07_src029_s1.pt
