comparison,channel,family,intervention,control,comparison_group,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:scalar:uniform>boundary:middle>low,susceptibility,scalar,uniform,boundary,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,0.17693138075598408,0.18242282440783558,1.0,0.1659573333542895,0.1879170214186947,0.48093841642228735
susceptibility:scalar:uniform>boundary:middle>low,susceptibility,scalar,uniform,boundary,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,0.15064478631664957,0.15275300920255783,1.0,0.14037512442838135,0.1610910853208563,0.20894428152492667
susceptibility:scalar:uniform>boundary:middle>low,susceptibility,scalar,uniform,boundary,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,0.15836464157111607,0.16029306173844096,1.0,0.14872398668278825,0.1683136250601162,0.2624633431085044
susceptibility:scalar:uniform>boundary:middle>low,susceptibility,scalar,uniform,boundary,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,0.16531968790183527,0.17299306601406594,1.0,0.15462461452837872,0.17591849237870086,0.2774926686217008
susceptibility:scalar:uniform>boundary:middle>low,susceptibility,scalar,uniform,boundary,middle>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,0.16281512413639626,0.1646848094511425,1.0,0.15309562153074857,0.17301094272239448,0.34860703812316707
leverage:scalar:uniform>boundary:middle>low,leverage,scalar,uniform,boundary,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,-0.015195125395241097,-0.014278375821314623,0.4375,-0.07676344727140609,0.05173171951344094,0.2987536656891495
leverage:scalar:uniform>boundary:middle>low,leverage,scalar,uniform,boundary,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,-0.06427104688592922,-0.06451082993923399,0.15625,-0.07878986162088147,-0.04973078083017659,0.05095307917888562
leverage:scalar:uniform>boundary:middle>low,leverage,scalar,uniform,boundary,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,-0.07790229733881546,-0.05709202419127546,0.171875,-0.10938482676169689,-0.05071428500790072,0.06158357771260996
leverage:scalar:uniform>boundary:middle>low,leverage,scalar,uniform,boundary,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,-0.04546377655233602,-0.02433210496574014,0.40625,-0.07827443415117864,-0.01294263287214325,-0.03409090909090909
leverage:scalar:uniform>boundary:middle>low,leverage,scalar,uniform,boundary,middle>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,-0.05070806154308045,-0.04917067910392781,0.29296875,-0.07557249863320055,-0.026344560505842312,0.32111436950146627
susceptibility:signed:uniform>boundary:high>low,susceptibility,signed,uniform,boundary,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,0.31149821499290015,0.3163586936953673,1.0,0.2951011477840753,0.32801401632752847,0.18878299120234604
susceptibility:signed:uniform>boundary:high>low,susceptibility,signed,uniform,boundary,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,0.25137594082806447,0.24646841828392965,1.0,0.235435720199477,0.2677325146898824,0.32184750733137824
susceptibility:signed:uniform>boundary:high>low,susceptibility,signed,uniform,boundary,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,0.2727546346295816,0.2728464299564262,1.0,0.25720068901035487,0.28921453821452014,0.2888563049853372
susceptibility:signed:uniform>boundary:high>low,susceptibility,signed,uniform,boundary,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,0.2914437711077461,0.29507302698921856,1.0,0.2754135496941783,0.3074471375395705,0.17338709677419353
susceptibility:signed:uniform>boundary:high>low,susceptibility,signed,uniform,boundary,high>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,0.2817681403895731,0.2864876533220621,1.0,0.26572286395779926,0.2976296260736209,0.27675953079178883
leverage:signed:uniform>boundary:high>low,leverage,signed,uniform,boundary,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,0.0035968636733815663,-0.03480942936153289,0.4375,-0.051362036502668816,0.05929863504415627,-0.006231671554252198
leverage:signed:uniform>boundary:high>low,leverage,signed,uniform,boundary,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,0.03247811744654541,0.03406277479881019,0.734375,0.011538435756051792,0.053325023426828606,0.06268328445747799
leverage:signed:uniform>boundary:high>low,leverage,signed,uniform,boundary,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,0.042343035961224365,0.03134975710688898,0.65625,0.003949768040477113,0.09047927994953872,0.18401759530791786
leverage:signed:uniform>boundary:high>low,leverage,signed,uniform,boundary,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,0.027134362236795516,0.012565905939723253,0.5625,-0.015678696928311312,0.0771017931728715,-0.009530791788856303
leverage:signed:uniform>boundary:high>low,leverage,signed,uniform,boundary,high>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,0.026388094829486713,0.02509474672091621,0.59765625,-0.000448771617541419,0.054665380794449485,0.18951612903225803
