comparison,channel,family,intervention,comparison_group,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:scalar:uniform:high>low,susceptibility,scalar,uniform,high>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.1833380415888498,0.18925107195911084,0.921875,0.14883544305244623,0.21748061666282675,0.5564516129032258
susceptibility:scalar:uniform:high>low,susceptibility,scalar,uniform,high>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.28736193308462504,0.2803951223913965,0.984375,0.25479509135559864,0.31773990533128227,0.47140762463343105
susceptibility:scalar:uniform:high>low,susceptibility,scalar,uniform,high>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.2664003124381673,0.26087826369455186,0.984375,0.2333229747594421,0.2990725583806185,0.5791788856304985
susceptibility:scalar:uniform:high>low,susceptibility,scalar,uniform,high>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.24215505775881857,0.24383230508488896,0.984375,0.2081613946198158,0.27556969491203176,0.6092375366568915
susceptibility:scalar:uniform:high>low,susceptibility,scalar,uniform,high>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.24481383621761516,0.2513892024323552,0.96875,0.2116290393422248,0.2767114164630827,0.6070381231671553
susceptibility:scalar:uniform:middle>low,susceptibility,scalar,uniform,middle>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.24218074262824724,0.2573904800080186,0.984375,0.21368714114941179,0.26870727492973145,0.7598973607038123
susceptibility:scalar:uniform:middle>low,susceptibility,scalar,uniform,middle>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.3272899676744233,0.33383677057000927,1.0,0.30624152740275185,0.3477953231606519,0.5586510263929617
susceptibility:scalar:uniform:middle>low,susceptibility,scalar,uniform,middle>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.30202864893849524,0.3050687711388704,1.0,0.2789804744074937,0.325809223405977,0.7368035190615836
susceptibility:scalar:uniform:middle>low,susceptibility,scalar,uniform,middle>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.28353400584055977,0.2981948808784784,1.0,0.2563387717752352,0.3083148173646856,0.7943548387096774
susceptibility:scalar:uniform:middle>low,susceptibility,scalar,uniform,middle>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.2887583412704314,0.30212784340844895,0.99609375,0.26393541711054064,0.3115374808052009,0.7565982404692082
