comparison,channel,family,intervention,control,comparison_group,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:scalar:uniform>key_shift:middle>low,susceptibility,scalar,uniform,key_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,0.027277082756459663,0.03827112348548094,0.6875,0.011530277801956146,0.04228845227143553,0.26722873900293254
susceptibility:scalar:uniform>key_shift:middle>low,susceptibility,scalar,uniform,key_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,0.10398000705127741,0.1076927933585482,0.921875,0.09011900561450603,0.11657014745386708,0.06378299120234603
susceptibility:scalar:uniform>key_shift:middle>low,susceptibility,scalar,uniform,key_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,0.0880564479054546,0.09783183185108815,0.90625,0.07419686797017654,0.10168027510294218,0.04252199413489736
susceptibility:scalar:uniform>key_shift:middle>low,susceptibility,scalar,uniform,key_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,0.07136953757227185,0.0798874666853305,0.875,0.05708777524104572,0.08540430042034355,0.18914956011730205
susceptibility:scalar:uniform>key_shift:middle>low,susceptibility,scalar,uniform,key_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,0.07267076882136589,0.08140681777871665,0.84765625,0.0585728185063076,0.08579882021312778,0.10410557184750732
susceptibility:scalar:uniform>value_shift:middle>low,susceptibility,scalar,uniform,value_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,0.02801429612343644,0.04093379460613436,0.703125,0.01281435416449226,0.04286194426968691,0.2653958944281525
susceptibility:scalar:uniform>value_shift:middle>low,susceptibility,scalar,uniform,value_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,0.10317019975738702,0.11043341850521964,0.9375,0.08878811165811092,0.11676291962687411,0.05351906158357771
susceptibility:scalar:uniform>value_shift:middle>low,susceptibility,scalar,uniform,value_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,0.08813663092154905,0.09508442392349101,0.90625,0.07403584567412655,0.10199416172180535,0.05791788856304985
susceptibility:scalar:uniform>value_shift:middle>low,susceptibility,scalar,uniform,value_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,0.07150966700216166,0.07604819612817798,0.875,0.05671776393340345,0.08546708363950847,0.16055718475073313
susceptibility:scalar:uniform>value_shift:middle>low,susceptibility,scalar,uniform,value_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,0.07270769845113353,0.08282232292453412,0.85546875,0.058554296087755565,0.08600381354402553,0.12316715542521992
leverage:scalar:uniform>key_shift:middle>low,leverage,scalar,uniform,key_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,-0.1190042613014035,-0.08193752980637907,0.328125,-0.19496227480300748,-0.04038555530882284,-0.1528592375366569
leverage:scalar:uniform>key_shift:middle>low,leverage,scalar,uniform,key_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,-0.005307138067572189,0.020514321036215658,0.5625,-0.04205890069281938,0.028937450185623128,0.19574780058651026
leverage:scalar:uniform>key_shift:middle>low,leverage,scalar,uniform,key_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,-0.018236828610955772,-0.00466968629173484,0.484375,-0.07758129141793231,0.03458802306550694,-0.14919354838709678
leverage:scalar:uniform>key_shift:middle>low,leverage,scalar,uniform,key_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,-0.03868582915079416,-0.03630292274533899,0.4375,-0.10578968902487021,0.026473075050272285,0.00879765395894428
leverage:scalar:uniform>key_shift:middle>low,leverage,scalar,uniform,key_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,-0.0453085142826814,-0.02658163486443746,0.453125,-0.08993452616148008,-0.00019862007602192733,-0.029325513196480937
leverage:scalar:uniform>value_shift:middle>low,leverage,scalar,uniform,value_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,0.014708058026685109,-0.002499282202226019,0.5,-0.07812261742931723,0.09966655745700242,-0.01979472140762463
leverage:scalar:uniform>value_shift:middle>low,leverage,scalar,uniform,value_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,0.03429218935326247,0.04433130230751753,0.5625,0.0008095523266725491,0.06752761897287099,-0.13563049853372433
leverage:scalar:uniform>value_shift:middle>low,leverage,scalar,uniform,value_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,0.028252867627043293,0.013694078133337763,0.515625,-0.023784121477629067,0.07905382720083005,-0.07734604105571846
leverage:scalar:uniform>value_shift:middle>low,leverage,scalar,uniform,value_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,0.017321368059583415,0.0016600022988135614,0.515625,-0.043867110924893406,0.07764761237930577,-0.26796187683284456
leverage:scalar:uniform>value_shift:middle>low,leverage,scalar,uniform,value_shift,middle>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,0.023643620766643572,0.016259124372607812,0.5234375,-0.01835384732648636,0.06319392647598673,-0.10227272727272727
