probe_name,policy,rank_group,target,context,unit_count,calibrated_layer_count,calibration_clipped_count,calibration_degenerate_count,calibration_max_relative_error,calibration_scale_min,calibration_scale_max,target_consistent,policy_or_shift_valid,integrity_pass
random0_uniform_t020,policy_contrast,random0,0.02,noisy_t1000,64,1920,0,0,0.015123654156923294,0.03420231491327286,4.171567440032959,1,1,1
random0_uniform_t020,policy_contrast,random0,0.02,noisy_t250,64,1920,0,0,0.019617285579442978,0.06414421647787094,6.25722599029541,1,1,1
random0_uniform_t020,policy_contrast,random0,0.02,noisy_t500,64,1920,0,0,0.0192263163626194,0.046803541481494904,5.288429260253906,1,1,1
random0_uniform_t020,policy_contrast,random0,0.02,noisy_t750,64,1920,0,0,0.018656253814697266,0.03831017017364502,4.724121570587158,1,1,1
random1_uniform_t020,policy_contrast,random1,0.02,noisy_t1000,64,1920,0,0,0.019409507513046265,0.06995446234941483,2.863475799560547,1,1,1
random1_uniform_t020,policy_contrast,random1,0.02,noisy_t250,64,1920,0,0,0.02114139497280121,0.06623919308185577,6.349549293518066,1,1,0
random1_uniform_t020,policy_contrast,random1,0.02,noisy_t500,64,1920,0,0,0.018861331045627594,0.0651312842965126,4.086974620819092,1,1,1
random1_uniform_t020,policy_contrast,random1,0.02,noisy_t750,64,1920,0,0,0.017562322318553925,0.06601601839065552,3.653862237930298,1,1,1
random2_uniform_t020,policy_contrast,random2,0.02,noisy_t1000,64,1920,0,0,0.01814328134059906,0.07178708165884018,7.252847671508789,1,1,1
random2_uniform_t020,policy_contrast,random2,0.02,noisy_t250,64,1920,0,0,0.020825862884521484,0.07217831164598465,9.166876792907715,1,1,0
random2_uniform_t020,policy_contrast,random2,0.02,noisy_t500,64,1920,0,0,0.021743960678577423,0.07022340595722198,7.27256965637207,1,1,0
random2_uniform_t020,policy_contrast,random2,0.02,noisy_t750,64,1920,0,0,0.02122623845934868,0.0703108087182045,7.350830554962158,1,1,0
random3_uniform_t020,policy_contrast,random3,0.02,noisy_t1000,64,1920,0,0,0.019117631018161774,0.06777609884738922,3.9117226600646973,1,1,1
random3_uniform_t020,policy_contrast,random3,0.02,noisy_t250,64,1920,0,0,0.017476454377174377,0.06886236369609833,6.415666103363037,1,1,1
random3_uniform_t020,policy_contrast,random3,0.02,noisy_t500,64,1920,0,0,0.018825940787792206,0.06491634249687195,6.070549488067627,1,1,1
random3_uniform_t020,policy_contrast,random3,0.02,noisy_t750,64,1920,0,0,0.019013043493032455,0.06314432621002197,5.563441753387451,1,1,1
random4_uniform_t020,policy_contrast,random4,0.02,noisy_t1000,64,1920,0,0,0.018301699310541153,0.04902280494570732,2.882175922393799,1,1,1
random4_uniform_t020,policy_contrast,random4,0.02,noisy_t250,64,1920,0,0,0.019384361803531647,0.06991564482450485,5.203757286071777,1,1,1
random4_uniform_t020,policy_contrast,random4,0.02,noisy_t500,64,1920,0,0,0.018613971769809723,0.06207858771085739,3.751957893371582,1,1,1
random4_uniform_t020,policy_contrast,random4,0.02,noisy_t750,64,1920,0,0,0.01981845125555992,0.055193185806274414,3.4993340969085693,1,1,1
random5_uniform_t020,policy_contrast,random5,0.02,noisy_t1000,64,1920,0,0,0.020454172044992447,0.03308628126978874,4.541505336761475,1,1,0
random5_uniform_t020,policy_contrast,random5,0.02,noisy_t250,64,1920,0,0,0.020893849432468414,0.06459177285432816,6.318197727203369,1,1,0
random5_uniform_t020,policy_contrast,random5,0.02,noisy_t500,64,1920,0,0,0.0219712033867836,0.04539156332612038,5.373725414276123,1,1,0
random5_uniform_t020,policy_contrast,random5,0.02,noisy_t750,64,1920,0,0,0.021325424313545227,0.03710106387734413,4.990418434143066,1,1,0
random6_uniform_t020,policy_contrast,random6,0.02,noisy_t1000,64,1920,0,0,0.024075806140899658,0.04963221400976181,7.534931659698486,1,1,0
random6_uniform_t020,policy_contrast,random6,0.02,noisy_t250,64,1920,0,0,0.01888750120997429,0.06048371642827988,7.483574390411377,1,1,1
random6_uniform_t020,policy_contrast,random6,0.02,noisy_t500,64,1920,0,0,0.020471680909395218,0.0593189001083374,6.349483489990234,1,1,0
random6_uniform_t020,policy_contrast,random6,0.02,noisy_t750,64,1920,0,0,0.020603835582733154,0.05588008835911751,7.243744373321533,1,1,0
random7_uniform_t020,policy_contrast,random7,0.02,noisy_t1000,64,1920,0,0,0.01802230253815651,0.03170933574438095,3.387014150619507,1,1,1
random7_uniform_t020,policy_contrast,random7,0.02,noisy_t250,64,1920,0,0,0.02091275528073311,0.061467040330171585,6.371188163757324,1,1,0
random7_uniform_t020,policy_contrast,random7,0.02,noisy_t500,64,1920,0,0,0.01925630494952202,0.04341655224561691,4.93417501449585,1,1,1
random7_uniform_t020,policy_contrast,random7,0.02,noisy_t750,64,1920,0,0,0.018195994198322296,0.03553955629467964,3.9283416271209717,1,1,1
scalar_high4_boundary_t020,policy_contrast,scalar_high4,0.02,noisy_t1000,64,1920,0,0,0.027257297188043594,0.038044169545173645,3.4990618228912354,1,0,0
scalar_high4_boundary_t020,policy_contrast,scalar_high4,0.02,noisy_t250,64,1920,0,0,0.020156148821115494,0.055555559694767,2.4820547103881836,1,0,0
scalar_high4_boundary_t020,policy_contrast,scalar_high4,0.02,noisy_t500,64,1920,0,0,0.018094200640916824,0.0540398508310318,2.890202045440674,1,0,0
