comparison,channel,family,intervention,comparison_group,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:scalar:uniform:high>random0,susceptibility,scalar,uniform,high>random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.11556946404921785,-0.11088125095529766,0.015625,-0.13453379644803837,-0.09725865396687833,0.23533724340175952
susceptibility:scalar:uniform:high>random0,susceptibility,scalar,uniform,high>random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,-0.08107238918892903,-0.07921896328439448,0.125,-0.09891791858738373,-0.062440702214264565,0.3247800586510263
susceptibility:scalar:uniform:high>random0,susceptibility,scalar,uniform,high>random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.0887869081990017,-0.08437342142313399,0.09375,-0.1081348993752836,-0.07099757454263762,0.29032258064516125
susceptibility:scalar:uniform:high>random0,susceptibility,scalar,uniform,high>random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,-0.09955141445089534,-0.09388438682300664,0.0625,-0.11872198250342318,-0.08157309307604121,0.2855571847507331
susceptibility:scalar:uniform:high>random0,susceptibility,scalar,uniform,high>random0,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,-0.09624504397201099,-0.08918606655907742,0.07421875,-0.11475691253475356,-0.07756938173817064,0.3082844574780058
susceptibility:scalar:uniform:random0>low,susceptibility,scalar,uniform,random0>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.29890750563806767,0.31783077816515737,1.0,0.2715470536193662,0.32313241373383,0.4890029325513196
susceptibility:scalar:uniform:random0>low,susceptibility,scalar,uniform,random0>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.36843432227355405,0.37689161706290963,1.0,0.3493930501847767,0.3863266051545649,0.4560117302052785
susceptibility:scalar:uniform:random0>low,susceptibility,scalar,uniform,random0>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.35518722063716907,0.36819352556520524,1.0,0.3354002752222972,0.37420809462319515,0.5267595307917888
susceptibility:scalar:uniform:random0>low,susceptibility,scalar,uniform,random0>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.34170647220971395,0.35607723208380826,1.0,0.31959234795638775,0.36296706513784255,0.5472873900293254
susceptibility:scalar:uniform:random0>low,susceptibility,scalar,uniform,random0>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.34105888018962616,0.34529708659453745,1.0,0.3199319991713967,0.36242997316342535,0.530425219941349
susceptibility:scalar:uniform:high>random1,susceptibility,scalar,uniform,high>random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.05421425220258058,0.05997530409043851,0.859375,0.03838823889298638,0.06914395805089883,0.2716275659824047
susceptibility:scalar:uniform:high>random1,susceptibility,scalar,uniform,high>random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.07586543004548552,0.08373761753278286,0.96875,0.06249075694283822,0.08850485760705189,0.38269794721407624
susceptibility:scalar:uniform:high>random1,susceptibility,scalar,uniform,high>random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.07814251494957491,0.09154619428430244,0.953125,0.06390116884059753,0.09131419843519384,0.38599706744868034
susceptibility:scalar:uniform:high>random1,susceptibility,scalar,uniform,high>random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.07373539248702429,0.08290813050364354,0.9375,0.05848646344530176,0.08809298323329083,0.3192815249266862
susceptibility:scalar:uniform:high>random1,susceptibility,scalar,uniform,high>random1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.07048939742116632,0.07975073883444783,0.9296875,0.05626729537443366,0.08382843753194766,0.3581378299120234
susceptibility:scalar:uniform:random1>low,susceptibility,scalar,uniform,random1>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.12912378938626923,0.13134454256381795,0.9375,0.1057866952086786,0.15278556589634584,0.5707478005865102
susceptibility:scalar:uniform:random1>low,susceptibility,scalar,uniform,random1>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.21149650303913947,0.20187803017271305,1.0,0.18812505225447043,0.2352417286791358,0.6081378299120235
susceptibility:scalar:uniform:random1>low,susceptibility,scalar,uniform,random1>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.18825779748859245,0.18755048796615698,1.0,0.16493221794787655,0.21236911237700254,0.6638563049853371
susceptibility:scalar:uniform:random1>low,susceptibility,scalar,uniform,random1>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.1684196652717943,0.1709027487586734,0.984375,0.14402976871788056,0.19237560885792043,0.6425953079178884
susceptibility:scalar:uniform:random1>low,susceptibility,scalar,uniform,random1>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.17432443879644888,0.18208744925602438,0.98046875,0.1503484150973644,0.19764136394566012,0.6535923753665689
susceptibility:scalar:uniform:high>random2,susceptibility,scalar,uniform,high>random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.12426504618944109,0.12543788324004668,0.953125,0.10513077537317148,0.1430497987475244,0.39222873900293254
susceptibility:scalar:uniform:high>random2,susceptibility,scalar,uniform,high>random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.15121092049104373,0.1526366103135131,1.0,0.13470447582483044,0.16745328330655462,0.31891495601173014
susceptibility:scalar:uniform:high>random2,susceptibility,scalar,uniform,high>random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.15043422287473304,0.1506799210481993,0.984375,0.13357326022804933,0.1667336364552362,0.26099706744868034
susceptibility:scalar:uniform:high>random2,susceptibility,scalar,uniform,high>random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.14596226404901413,0.146741076481872,0.984375,0.12844881382355774,0.16291019199893694,0.31341642228739
susceptibility:scalar:uniform:high>random2,susceptibility,scalar,uniform,high>random2,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.14296811340105803,0.14665112447149964,0.98046875,0.12585082533942585,0.16024825869343226,0.3255131964809384
susceptibility:scalar:uniform:random2>low,susceptibility,scalar,uniform,random2>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.05907299539940872,0.05861836856749114,0.84375,0.03549265635699425,0.08162348847121281,0.5249266862170088
susceptibility:scalar:uniform:random2>low,susceptibility,scalar,uniform,random2>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.13615101259358126,0.1393376578754595,0.96875,0.11487006093396038,0.15719712287074436,0.2892228739002932
susceptibility:scalar:uniform:random2>low,susceptibility,scalar,uniform,random2>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.1159660895634343,0.11799132195281387,0.96875,0.0936517868133278,0.137628229655242,0.4127565982404692
susceptibility:scalar:uniform:random2>low,susceptibility,scalar,uniform,random2>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.09619279370980441,0.10192147377962218,0.9375,0.0715334616934397,0.11880715792638202,0.4574780058651026
susceptibility:scalar:uniform:random2>low,susceptibility,scalar,uniform,random2>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.10184572281655717,0.10767739379863056,0.9296875,0.07934461768424353,0.12295627036520755,0.3914956011730205
susceptibility:scalar:uniform:high>random3,susceptibility,scalar,uniform,high>random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.046155226701812345,0.05626804212872101,0.8125,0.027490038269858567,0.06358458602257652,0.2921554252199413
susceptibility:scalar:uniform:high>random3,susceptibility,scalar,uniform,high>random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.05330856814655663,0.055943979545688825,0.84375,0.03550312342482061,0.0705794840796534,0.4211876832844574
susceptibility:scalar:uniform:high>random3,susceptibility,scalar,uniform,high>random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.06794655336119151,0.07132111045024234,0.890625,0.051663179071001715,0.08441143980487399,0.36950146627565983
susceptibility:scalar:uniform:high>random3,susceptibility,scalar,uniform,high>random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.0704874005335741,0.07280160748230255,0.890625,0.0522448639324811,0.08774780489497318,0.346041055718475
susceptibility:scalar:uniform:high>random3,susceptibility,scalar,uniform,high>random3,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.05947443718578365,0.06360615294426136,0.859375,0.041691612295743564,0.07576302451955982,0.3691348973607038
susceptibility:scalar:uniform:random3>low,susceptibility,scalar,uniform,random3>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.13718281488703743,0.14248025931024533,0.96875,0.11566477324168817,0.15696255958313618,0.6535923753665689
susceptibility:scalar:uniform:random3>low,susceptibility,scalar,uniform,random3>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.2340533649380684,0.24155895226396262,1.0,0.2175469939455159,0.25122475724863697,0.4127565982404692
susceptibility:scalar:uniform:random3>low,susceptibility,scalar,uniform,random3>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.19845375907697582,0.20599827148492386,1.0,0.18014787186771714,0.21680330642271314,0.562683284457478
susceptibility:scalar:uniform:random3>low,susceptibility,scalar,uniform,random3>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.17166765722524446,0.18198174632169,1.0,0.1513738472118287,0.19235988255337294,0.6315982404692081
susceptibility:scalar:uniform:random3>low,susceptibility,scalar,uniform,random3>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.18533939903183155,0.19536927486245123,0.9921875,0.16717570399558812,0.20382639018450846,0.6000733137829912
susceptibility:scalar:uniform:high>random4,susceptibility,scalar,uniform,high>random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.02185372058450554,0.02936791630412336,0.703125,0.004658331199646741,0.038348994615896415,0.29912023460410553
susceptibility:scalar:uniform:high>random4,susceptibility,scalar,uniform,high>random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.06904807504163599,0.07276113560733674,0.921875,0.05178597512554819,0.08569373572069462,0.34237536656891493
susceptibility:scalar:uniform:high>random4,susceptibility,scalar,uniform,high>random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.05559067334748186,0.05097809080846177,0.890625,0.0371100504844945,0.07262083745584931,0.3673020527859237
susceptibility:scalar:uniform:high>random4,susceptibility,scalar,uniform,high>random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.04456566552933297,0.04656511610114271,0.84375,0.026021254863748303,0.0624066663686644,0.3321114369501466
susceptibility:scalar:uniform:high>random4,susceptibility,scalar,uniform,high>random4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.04776453362573909,0.04930237908596363,0.83984375,0.030178202735661117,0.06417572510758657,0.3544721407624633
susceptibility:scalar:uniform:random4>low,susceptibility,scalar,uniform,random4>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.16148432100434426,0.17173420046072652,0.984375,0.13812039425241865,0.18354862772150154,0.6741202346041055
susceptibility:scalar:uniform:random4>low,susceptibility,scalar,uniform,random4>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.21831385804298903,0.21736343148433301,1.0,0.1959869367900589,0.24083253626745044,0.5667155425219941
susceptibility:scalar:uniform:random4>low,susceptibility,scalar,uniform,random4>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.21080963909068545,0.2097966496552398,1.0,0.18996088099363292,0.23123574528485524,0.6447947214076246
susceptibility:scalar:uniform:random4>low,susceptibility,scalar,uniform,random4>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.19758939222948563,0.200683571148564,1.0,0.1761572655287563,0.21958030337234574,0.6763196480938416
susceptibility:scalar:uniform:random4>low,susceptibility,scalar,uniform,random4>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.19704930259187609,0.19939393392700183,0.99609375,0.1749799527402371,0.21830996590299032,0.6521260997067447
susceptibility:scalar:uniform:high>random5,susceptibility,scalar,uniform,high>random5,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.025670183110018056,-0.024962377126132636,0.359375,-0.0409681277359502,-0.01102561468813809,0.1917155425219941
susceptibility:scalar:uniform:high>random5,susceptibility,scalar,uniform,high>random5,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.0048044076176161805,0.006769483972372991,0.546875,-0.009322491675042018,0.01904420791694833,0.2855571847507331
susceptibility:scalar:uniform:high>random5,susceptibility,scalar,uniform,high>random5,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.006091817069833021,-0.002111613363482549,0.484375,-0.020283543885755213,0.0076699107461967,0.31781524926686217
susceptibility:scalar:uniform:high>random5,susceptibility,scalar,uniform,high>random5,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,-0.018353921810263192,-0.013401926353669361,0.40625,-0.03335151507915841,-0.004252825949653633,0.2730938416422287
