dataset_index,family_index,seed_replicate,variant,seed,declared_seed,reference_seed,state_count,record_count,path
0,0,0,base,145000,145000,145000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00000_v145_f00_s0_base.pt
1,0,0,paraphrase,145000,145000,145000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00001_v145_f00_s0_paraphrase.pt
2,0,0,identity,145000,145000,145000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00002_v145_f00_s0_identity.pt
3,0,0,scene,145000,145000,145000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00003_v145_f00_s0_scene.pt
4,0,0,full_semantic,145000,145000,145000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00004_v145_f00_s0_full_semantic.pt
5,0,1,base,155000,155000,155000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00005_v145_f00_s1_base.pt
6,0,1,paraphrase,155000,155000,155000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00006_v145_f00_s1_paraphrase.pt
7,0,1,identity,155000,155000,155000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00007_v145_f00_s1_identity.pt
8,0,1,scene,155000,155000,155000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00008_v145_f00_s1_scene.pt
9,0,1,full_semantic,155000,155000,155000,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00009_v145_f00_s1_full_semantic.pt
10,1,0,base,145001,145001,145001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00010_v145_f01_s0_base.pt
11,1,0,paraphrase,145001,145001,145001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00011_v145_f01_s0_paraphrase.pt
12,1,0,identity,145001,145001,145001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00012_v145_f01_s0_identity.pt
13,1,0,scene,145001,145001,145001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00013_v145_f01_s0_scene.pt
14,1,0,full_semantic,145001,145001,145001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00014_v145_f01_s0_full_semantic.pt
15,1,1,base,155001,155001,155001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00015_v145_f01_s1_base.pt
16,1,1,paraphrase,155001,155001,155001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00016_v145_f01_s1_paraphrase.pt
17,1,1,identity,155001,155001,155001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00017_v145_f01_s1_identity.pt
18,1,1,scene,155001,155001,155001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00018_v145_f01_s1_scene.pt
19,1,1,full_semantic,155001,155001,155001,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00019_v145_f01_s1_full_semantic.pt
