factor,contrast,mode,current_frame,nominal_timestep,layer_residual_family_split_spearman,layer_residual_seed_replicate_spearman,layer_residual_signed_split_spearman,validation_high_low_ratio,validation_positive_layer_fraction,validation_factor_paraphrase_ratio,candidate_screen_pass
full_semantic,boundary_vs_recent,clean,63,0,0.7083328832269796,0.7701669508766785,-0.30202213494445684,1.786479218925721,1.0,1.1878270927694987,1
full_semantic,boundary_vs_recent,clean,117,0,0.678622263031865,0.673753655506601,0.18397801423364893,1.7610363888640947,1.0,1.050680083192921,1
full_semantic,boundary_vs_recent,noisy,63,500,0.6940817444579047,0.7176073889459023,-0.28314930413557715,1.8343690453913328,1.0,1.226977686511935,1
full_semantic,boundary_vs_recent,noisy,63,1000,0.7428647854793118,0.7795960359776437,-0.17472254158339698,1.940972795740874,0.9666666666666667,1.2335170991465358,1
full_semantic,boundary_vs_recent,noisy,117,500,0.7122801873471245,0.6918024058827614,0.1436335671314336,1.8426476489787984,1.0,1.097635517469194,1
full_semantic,boundary_vs_recent,noisy,117,1000,0.7558810896174609,0.7280418830392209,0.1520436114476192,1.939776679277806,1.0,1.1057249135554268,1
full_semantic,uniform_vs_recent,clean,63,0,0.7883278927260189,0.7795564266185181,-0.23417567522383145,2.2846673137491003,1.0,1.1394946505793295,1
full_semantic,uniform_vs_recent,clean,117,0,0.7956339683690974,0.802090036702958,0.05942226920475209,2.073714697300236,1.0,1.0369493500014482,0
full_semantic,uniform_vs_recent,noisy,63,500,0.7532352358685894,0.7931727868270588,-0.26044465363673075,2.3703735243707937,1.0,1.2175642401557285,1
full_semantic,uniform_vs_recent,noisy,63,1000,0.7955434326910958,0.7939047883599925,-0.210959189499919,2.3675353994988004,1.0,1.2307242632936612,1
full_semantic,uniform_vs_recent,noisy,117,500,0.831241753408591,0.8261159422526407,0.02798889909129957,2.5125910523605883,1.0,1.0862921546636746,1
full_semantic,uniform_vs_recent,noisy,117,1000,0.7986177876886908,0.8010213556174558,0.0199566869085924,2.566303960180072,1.0,1.0953203479069713,1
identity,boundary_vs_recent,clean,63,0,0.6761811433730198,0.7148347338071024,0.1413408539674946,1.7619539579435213,0.9666666666666667,0.9273439091246073,0
identity,boundary_vs_recent,clean,117,0,0.7137835425684869,0.7225526431531106,0.17940621969819726,1.8378676743885503,1.0,1.0151674450770072,0
identity,boundary_vs_recent,noisy,63,500,0.617186089398838,0.7122755576817722,0.017580896971941654,1.7620034160559264,1.0,0.9415712903583655,0
identity,boundary_vs_recent,noisy,63,1000,0.6229911753434311,0.7211562846421139,0.037735116268901255,1.8540873239373779,1.0,0.9268250370688852,0
identity,boundary_vs_recent,noisy,117,500,0.6822778982348113,0.6492575817200236,0.15534764928741734,1.685768213039611,1.0,1.0299667396162187,0
identity,boundary_vs_recent,noisy,117,1000,0.7399187750934291,0.6759452876436803,0.12104928793174843,1.8304630195570182,1.0,0.9922033624931734,0
identity,uniform_vs_recent,clean,63,0,0.7201776248273519,0.767208594716523,0.05182087310344473,2.2089317717119683,1.0,0.9900016637540281,0
identity,uniform_vs_recent,clean,117,0,0.7677507799700098,0.7801773161829952,0.05985874376602699,2.15287752556584,1.0,0.9961123945471189,0
identity,uniform_vs_recent,noisy,63,500,0.744214847336785,0.7800132202666171,0.01182596573533232,2.609160320535225,1.0,0.9811773415602347,0
identity,uniform_vs_recent,noisy,63,1000,0.7709028104640725,0.8022278978490059,-0.031441600629634484,2.791216575354515,1.0,0.9991815181914157,0
identity,uniform_vs_recent,noisy,117,500,0.7802102382477231,0.7868540652319846,0.02347214613281481,2.5438584404638243,0.9666666666666667,0.987348304114082,0
identity,uniform_vs_recent,noisy,117,1000,0.8095142195027223,0.7956365404054042,-0.05582579083686345,2.5116675010013676,1.0,0.9842789853765166,0
paraphrase,boundary_vs_recent,clean,63,0,0.6889713655197955,0.7060723205168763,-0.06179060023611293,1.6571475975951058,1.0,1.0,1
paraphrase,boundary_vs_recent,clean,117,0,0.6459141917247303,0.6414473362705988,-0.10785525608479489,1.677936326502577,1.0,1.0,1
paraphrase,boundary_vs_recent,noisy,63,500,0.7107812045874838,0.7072361669457325,-0.10406921864109034,1.8413885742434,1.0,1.0,1
