comparison,group,context,metric,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
mass_recent4:uniform_over_recent:x0,mass_recent4,noisy_f117_t1000,uniform_advantage_x0,128,64,-0.04931504957721047,-0.054556884846930304,0.40625,-0.08699590524317095,-0.013003870229349603,0.3322802197802197
mass_recent4:preferred_policy:x0,mass_recent4,noisy_f117_t1000,preferred_advantage_x0,128,64,0.04931504957721047,0.054556884846930304,0.59375,0.012648802535443041,0.08541153351916846,0.3322802197802197
mass_recent4:uniform_over_recent:x0,mass_recent4,noisy_f117_t750,uniform_advantage_x0,128,64,-0.03138846333427374,-0.00015420354630324236,0.5,-0.06980607318462978,0.0074585500467633705,0.38406593406593403
mass_recent4:preferred_policy:x0,mass_recent4,noisy_f117_t750,preferred_advantage_x0,128,64,0.03138846333427374,0.00015420354630324236,0.5,-0.0043335958804944855,0.0699782008916418,0.38406593406593403
mass_recent4:uniform_over_recent:x0,mass_recent4,noisy_f117_t500,uniform_advantage_x0,128,64,-0.010121040648398423,0.023591306202016514,0.5859375,-0.04550762337303589,0.02050772350802305,0.1927197802197802
mass_recent4:preferred_policy:x0,mass_recent4,noisy_f117_t500,preferred_advantage_x0,128,64,0.010121040648398423,-0.023591306202016514,0.4140625,-0.022942110912250967,0.044711992595937715,0.1927197802197802
mass_recent4:uniform_over_recent:x0,mass_recent4,noisy_f117_t250,uniform_advantage_x0,128,64,0.022670604416408193,0.03856083505180122,0.6875,-0.0036947918850461143,0.04532232649444758,0.26108058608058604
mass_recent4:preferred_policy:x0,mass_recent4,noisy_f117_t250,preferred_advantage_x0,128,64,-0.022670604416408193,-0.03856083505180122,0.3125,-0.04682064082783726,0.0037311880039415514,0.26108058608058604
mass_uniform4:uniform_over_recent:x0,mass_uniform4,noisy_f117_t1000,uniform_advantage_x0,128,64,0.4376257903309101,0.42195594601132247,0.96875,0.37293609013159046,0.5032775615179238,0.26675824175824175
mass_uniform4:preferred_policy:x0,mass_uniform4,noisy_f117_t1000,preferred_advantage_x0,128,64,0.4376257903309101,0.42195594601132247,0.96875,0.37254418610652756,0.5031664722434984,0.26675824175824175
mass_uniform4:uniform_over_recent:x0,mass_uniform4,noisy_f117_t750,uniform_advantage_x0,128,64,0.38419331360157793,0.26617844506966415,0.9140625,0.29690526655010474,0.4837083625458528,0.4121336996336996
mass_uniform4:preferred_policy:x0,mass_uniform4,noisy_f117_t750,preferred_advantage_x0,128,64,0.38419331360157793,0.26617844506966415,0.9140625,0.30319869469265204,0.47667131245637023,0.4121336996336996
mass_uniform4:uniform_over_recent:x0,mass_uniform4,noisy_f117_t500,uniform_advantage_x0,128,64,0.36265020973404943,0.23298923546002437,0.921875,0.2711819840190907,0.4627062348414323,0.509065934065934
mass_uniform4:preferred_policy:x0,mass_uniform4,noisy_f117_t500,preferred_advantage_x0,128,64,0.36265020973404943,0.23298923546002437,0.921875,0.2748047442068374,0.4674320823012254,0.509065934065934
mass_uniform4:uniform_over_recent:x0,mass_uniform4,noisy_f117_t250,uniform_advantage_x0,128,64,0.3674470682203014,0.29307071809781055,0.9765625,0.3056383223919891,0.43735828760677964,0.2583333333333333
mass_uniform4:preferred_policy:x0,mass_uniform4,noisy_f117_t250,preferred_advantage_x0,128,64,0.3674470682203014,0.29307071809781055,0.9765625,0.30561185218404824,0.4367846594479304,0.2583333333333333
oracle_recent4:uniform_over_recent:x0,oracle_recent4,noisy_f117_t1000,uniform_advantage_x0,128,64,-0.1566612952142514,-0.14963617823560518,0.1953125,-0.20051000416198406,-0.11403240830590201,0.28946886446886444
oracle_recent4:preferred_policy:x0,oracle_recent4,noisy_f117_t1000,preferred_advantage_x0,128,64,0.1566612952142514,0.14963617823560518,0.8046875,0.11289589320355195,0.19663511088001334,0.28946886446886444
oracle_recent4:uniform_over_recent:x0,oracle_recent4,noisy_f117_t750,uniform_advantage_x0,128,64,-0.10637726407933182,-0.08535469516403425,0.28125,-0.14438670250831603,-0.06976337586698689,0.25586080586080584
oracle_recent4:preferred_policy:x0,oracle_recent4,noisy_f117_t750,preferred_advantage_x0,128,64,0.10637726407933182,0.08535469516403425,0.71875,0.06786466136787277,0.14338229682148187,0.25586080586080584
oracle_recent4:uniform_over_recent:x0,oracle_recent4,noisy_f117_t500,uniform_advantage_x0,128,64,-0.051464649839868336,-0.029074147855852384,0.4296875,-0.08551578262008697,-0.021698024331767853,0.22477106227106222
