comparison,group,context,metric,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
mass_recent4:preferred_minus_random,mass_recent4,noisy_f117_t1000,preferred_minus_random,128,64,0.26193605796192637,0.23000699542312056,0.8828125,0.21602314412264284,0.30793139188476254,0.29331501831501827
mass_recent4:preferred_minus_random,mass_recent4,noisy_f117_t750,preferred_minus_random,128,64,0.23581368171294378,0.2025134458660748,0.875,0.19508224033593438,0.2773508336045136,0.4513736263736263
mass_recent4:preferred_minus_random,mass_recent4,noisy_f117_t500,preferred_minus_random,128,64,0.2146975138452775,0.17851845049403653,0.921875,0.17639145630779512,0.253000994026703,0.5030677655677654
mass_recent4:preferred_minus_random,mass_recent4,noisy_f117_t250,preferred_minus_random,128,64,0.18077591868686588,0.14813684471591648,0.984375,0.1548626852879536,0.20905289238263128,0.36130952380952375
mass_uniform4:preferred_minus_random,mass_uniform4,noisy_f117_t1000,preferred_minus_random,128,64,0.2250047819461941,0.2207944069322873,0.7890625,0.17705252665024987,0.27866051816010884,0.21927655677655675
mass_uniform4:preferred_minus_random,mass_uniform4,noisy_f117_t750,preferred_minus_random,128,64,0.1797680952229079,0.12444424987143167,0.6953125,0.11079889940302214,0.2506972385523922,0.48626373626373626
mass_uniform4:preferred_minus_random,mass_uniform4,noisy_f117_t500,preferred_minus_random,128,64,0.15807373653717038,0.0534927958071842,0.625,0.07966455087900653,0.24394014408242834,0.49629120879120875
mass_uniform4:preferred_minus_random,mass_uniform4,noisy_f117_t250,preferred_minus_random,128,64,0.16400054511702727,0.10176503523025399,0.8203125,0.11416695653411903,0.22355453117647917,0.3888736263736263
oracle_recent4:preferred_minus_random,oracle_recent4,noisy_f117_t1000,preferred_minus_random,128,64,0.3692823035989674,0.3693712014721694,0.9609375,0.3243565250352609,0.41278242098961515,0.10380036630036628
oracle_recent4:preferred_minus_random,oracle_recent4,noisy_f117_t750,preferred_minus_random,128,64,0.3108024824580019,0.2831763964386945,0.9375,0.27005330961894364,0.3559701521154211,0.31346153846153846
oracle_recent4:preferred_minus_random,oracle_recent4,noisy_f117_t500,preferred_minus_random,128,64,0.2560411230367474,0.21989098422679967,0.984375,0.22107272417243934,0.29138138143932457,0.3679029304029303
oracle_recent4:preferred_minus_random,oracle_recent4,noisy_f117_t250,preferred_minus_random,128,64,0.2162808101818889,0.1913701984920454,1.0,0.19161913177272424,0.24352643053060385,0.3994505494505495
oracle_uniform4:preferred_minus_random,oracle_uniform4,noisy_f117_t1000,preferred_minus_random,128,64,0.30039470924177336,0.26577774745400506,0.859375,0.2397689005719873,0.35889193695837895,0.29450549450549446
oracle_uniform4:preferred_minus_random,oracle_uniform4,noisy_f117_t750,preferred_minus_random,128,64,0.31394453410155476,0.21604970193718692,0.8984375,0.25323056499044583,0.37817184117085595,0.21405677655677652
oracle_uniform4:preferred_minus_random,oracle_uniform4,noisy_f117_t500,preferred_minus_random,128,64,0.28503847887326395,0.18021035851311415,0.890625,0.21400323143923108,0.3583938083619302,0.24871794871794867
oracle_uniform4:preferred_minus_random,oracle_uniform4,noisy_f117_t250,preferred_minus_random,128,64,0.27690538042145585,0.20709549050524015,0.96875,0.23186049459788502,0.33104003040544466,0.18228021978021977
qk_recent4:preferred_minus_random,qk_recent4,noisy_f117_t1000,preferred_minus_random,128,64,0.2679534531034551,0.24564301945759437,0.9375,0.22603917950165434,0.309940393569955,0.11749084249084248
qk_recent4:preferred_minus_random,qk_recent4,noisy_f117_t750,preferred_minus_random,128,64,0.20658951001049436,0.17167924462116507,0.859375,0.16740484241959927,0.2498828247688942,0.2983974358974359
qk_recent4:preferred_minus_random,qk_recent4,noisy_f117_t500,preferred_minus_random,128,64,0.16016828825821827,0.13147685637454345,0.875,0.1285222259305877,0.19451579569956476,0.24294871794871792
qk_recent4:preferred_minus_random,qk_recent4,noisy_f117_t250,preferred_minus_random,128,64,0.1372497965250644,0.12112952018640703,0.9296875,0.11271404710083996,0.1657562163821071,0.18823260073260073
qk_uniform4:preferred_minus_random,qk_uniform4,noisy_f117_t1000,preferred_minus_random,128,64,0.23116321592917627,0.19874127801049943,0.7734375,0.17653471026599352,0.2920991217520911,0.16153846153846152
qk_uniform4:preferred_minus_random,qk_uniform4,noisy_f117_t750,preferred_minus_random,128,64,0.15205816472973985,0.07338121694458696,0.625,0.08121878729392035,0.23235583019014822,0.3095238095238095
qk_uniform4:preferred_minus_random,qk_uniform4,noisy_f117_t500,preferred_minus_random,128,64,0.12177529485586047,0.030424378185489556,0.5546875,0.031447024820650184,0.21958146865533257,0.6134157509157508
qk_uniform4:preferred_minus_random,qk_uniform4,noisy_f117_t250,preferred_minus_random,128,64,0.13440147118238627,0.07082112483615932,0.75,0.08993145354753358,0.1812061231434928,0.3206501831501831
