layer,head_count,score_median,score_q25,score_q75,prompt_conditional_head_fraction
0,12,0.0,0.0,0.0,0.0
1,12,-0.4057633782153578,-0.5703502133311102,-0.14194517353870376,0.0
2,12,-0.18701268199000398,-0.33543111357254396,-0.07414865763232127,0.0
3,12,-0.07951874209723529,-0.13427258637711287,-0.026764719447443228,0.0
4,12,-0.18994688016018263,-0.2894832171848881,-0.12372739149603176,0.0
5,12,-0.10296082364911896,-0.15587000739337353,-0.0006486475607873959,0.0
6,12,-0.10500447607245514,-0.191636838395233,-0.04554818363300519,0.0
7,12,-0.1397722009881852,-0.17212013888387367,-0.10192056074670137,0.0
8,12,-0.20469642428561527,-0.2528873924502546,-0.11088752433844007,0.0
9,12,-0.07881869872520707,-0.09957112703774271,-0.04198864720135859,0.0
10,12,-0.11111662652780357,-0.12191002922409588,-0.08168659014783695,0.0
11,12,-0.07987273415267108,-0.09942404517898246,-0.05787240693263444,0.0
12,12,-0.07458057584228893,-0.10584996823365506,-0.026363731491885034,0.0
13,12,-0.06761593588938894,-0.1212765649427721,-0.05177372573544213,0.0
14,12,-0.056371744415545495,-0.10226528523572401,-0.03203137044341234,0.0
15,12,-0.11878941992377245,-0.1374820565429077,-0.08216659809035735,0.0
16,12,-0.17565541467114182,-0.2456813484816052,-0.11811420612242182,0.0
17,12,-0.07166075324835344,-0.12934945065014827,-0.020942003791448574,0.0
18,12,-0.1670724173202996,-0.19680786353271013,-0.15848409153564436,0.0
19,12,-0.2257203901912903,-0.3290443987589078,-0.20478436206314649,0.0
20,12,-0.4849089845714508,-0.6732703147483579,-0.3054712619485779,0.0
21,12,-0.4096629330020135,-0.495698807891912,-0.3487249860159225,0.0
22,12,-0.3830495840357506,-0.41874581002948974,-0.3463211709434644,0.0
23,12,-0.39719256006347603,-0.43291574153580076,-0.32206221748303276,0.0
24,12,-0.334598819656977,-0.3702412529677591,-0.2942251098525671,0.0
25,12,-0.47026574823628553,-0.5296940860718469,-0.4019818558619208,0.0
26,12,-0.5541536445058777,-0.6224020425399382,-0.41937852540679454,0.0
27,12,-0.6359532465260507,-0.7527650805596413,-0.48423262044225845,0.0
28,12,-0.43189186372743993,-0.5337324352196557,-0.3498690877116679,0.0
29,12,-0.41106818392265054,-0.6392174232199567,-0.3353947307091338,0.0
